FederationsCount
49.0
5.0
2.0
2.0
2.0
11.0
9.0
4.0
4.0
5.0
6.0
9.0
8.0
7.0
6.0
6.0
12.0
12.0
9.0
12.0
12.0
17.0
15.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
15.0
14.0
15.0
17.0
17.0
18.0
17.0
17.0
17.0
17.0
17.0
17.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
13.0
13.0
13.0
13.0
13.0
13.0
10.0
10.0
10.0
10.0
10.0
10.0
8.0
8.0
8.0
8.0
7.0
7.0
6.0
6.0
