TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.928,0.012,2.782,3.108,6.927,0.082,6.479,7.353,0.079,0.001,0.018,0.195
2.138,0.023,1.672,2.403,5.645,0.066,4.7,6.072,0.147,0.003,0.055,0.26
1.802,0.015,1.605,2.025,4.933,0.233,4.027,5.91,0.248,0.005,0.122,0.407
1.528,0.012,1.324,1.721,4.411,0.203,3.608,5.31,0.326,0.005,0.138,0.44
1.276,0.014,0.959,1.46,4.211,0.166,3.497,5.188,0.361,0.003,0.239,0.47
1.115,0.023,0.955,2.0,4.434,0.437,3.565,7.045,0.338,0.005,0.163,0.456
2.334,0.674,1.644,4.792,4.439,0.259,3.44,5.48,0.335,0.006,0.132,0.448
1.663,0.086,1.146,2.35,4.245,0.202,3.517,5.599,0.359,0.004,0.201,0.465
1.405,0.055,1.118,1.947,4.457,0.499,3.516,7.039,0.337,0.006,0.146,0.493
1.19,0.04,0.899,1.683,5.227,2.497,3.68,13.773,0.285,0.008,0.105,0.44
1.096,0.129,0.784,2.839,6.103,3.413,3.781,12.067,0.23,0.009,0.071,0.452
2.118,1.293,1.096,5.492,5.132,2.172,3.52,11.818,0.272,0.013,0.043,0.465
1.497,0.149,0.914,2.478,5.578,3.378,3.554,14.296,0.254,0.011,0.069,0.469
1.217,0.09,0.759,1.994,6.339,4.596,3.868,12.933,0.227,0.01,0.05,0.415
1.028,0.063,0.639,1.642,6.2,3.164,3.663,10.358,0.23,0.01,0.056,0.448
0.86,0.045,0.531,1.407,6.345,4.418,3.689,11.441,0.237,0.011,0.043,0.44
1.744,0.408,1.035,3.326,5.033,0.778,3.715,7.52,0.277,0.006,0.145,0.444
1.327,0.115,0.909,2.063,5.397,1.419,3.356,9.76,0.26,0.008,0.056,0.481
1.089,0.071,0.729,1.726,5.519,1.641,3.192,9.76,0.256,0.01,0.056,0.515
0.882,0.054,0.595,1.424,5.963,3.567,3.741,13.355,0.253,0.011,0.071,0.451
0.756,0.042,0.462,1.243,6.349,3.128,4.102,12.306,0.232,0.008,0.094,0.447
1.606,0.342,1.006,2.833,4.62,0.495,3.166,6.499,0.319,0.006,0.121,0.498
1.168,0.126,0.543,2.017,5.333,1.997,3.575,11.469,0.279,0.009,0.071,0.465
0.957,0.077,0.543,1.589,5.846,2.309,3.47,11.469,0.246,0.009,0.083,0.46
0.787,0.054,0.44,1.333,5.909,4.51,3.617,12.685,0.269,0.012,0.054,0.445
0.705,0.053,0.378,1.335,6.065,5.11,3.03,16.482,0.266,0.012,0.067,0.507
1.496,0.388,0.859,2.855,4.874,1.046,3.267,7.545,0.305,0.009,0.096,0.498
1.102,0.129,0.609,1.964,5.722,1.791,3.682,9.69,0.251,0.008,0.083,0.437
0.86,0.081,0.392,1.533,5.817,2.418,3.72,10.551,0.259,0.009,0.083,0.439
0.704,0.057,0.36,1.27,6.183,3.17,3.518,12.594,0.246,0.01,0.05,0.484
0.575,0.04,0.298,1.035,6.402,3.368,3.682,11.492,0.244,0.009,0.075,0.461
1.382,0.405,0.703,3.027,5.038,1.216,2.902,9.358,0.294,0.008,0.124,0.5
1.011,0.138,0.528,1.807,5.846,1.899,3.4,9.057,0.244,0.008,0.067,0.484
0.803,0.088,0.4,1.446,6.212,3.599,3.238,11.772,0.247,0.012,0.079,0.5
0.63,0.061,0.282,1.181,6.165,2.876,3.827,10.301,0.253,0.007,0.1,0.414
0.521,0.045,0.228,1.013,6.277,3.19,3.473,12.983,0.242,0.009,0.082,0.502
