TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.204,0.009,2.979,3.336,8.271,2.203,6.997,11.337,0.045,0.0,0.013,0.099
2.228,0.03,1.713,2.46,7.885,1.833,5.994,11.24,0.079,0.002,0.02,0.193
1.703,0.009,1.362,1.892,7.133,0.756,5.84,9.413,0.144,0.004,0.039,0.265
1.267,0.004,1.124,1.41,6.489,0.763,5.161,9.168,0.212,0.003,0.105,0.332
0.895,0.009,0.579,1.025,6.076,0.889,4.809,8.795,0.259,0.002,0.183,0.356
0.687,0.068,0.579,2.483,5.963,0.91,4.658,8.54,0.279,0.002,0.187,0.363
2.351,0.59,1.633,5.308,6.118,0.755,4.591,8.435,0.242,0.005,0.046,0.403
1.546,0.152,0.893,2.624,5.843,0.852,4.462,8.334,0.275,0.003,0.176,0.373
1.145,0.091,0.764,2.017,5.674,0.999,4.362,8.695,0.302,0.002,0.202,0.399
0.822,0.058,0.524,1.507,5.712,1.024,4.506,8.48,0.303,0.002,0.202,0.399
0.691,0.208,0.345,2.226,5.756,0.872,4.393,8.647,0.307,0.002,0.198,0.395
2.004,0.316,0.65,4.168,5.667,1.534,4.252,8.885,0.298,0.003,0.16,0.408
1.345,0.096,0.46,2.263,5.576,1.199,4.171,8.233,0.314,0.002,0.228,0.431
0.914,0.059,0.301,1.696,5.567,0.949,4.177,8.374,0.321,0.002,0.183,0.434
0.659,0.034,0.19,1.274,5.693,1.486,4.201,10.973,0.321,0.002,0.199,0.399
0.459,0.018,0.123,0.909,5.782,1.114,4.093,8.78,0.319,0.002,0.255,0.425
1.744,0.274,0.789,3.476,5.283,1.19,3.882,8.55,0.338,0.003,0.194,0.431
1.171,0.083,0.568,1.813,5.329,1.042,3.915,8.668,0.348,0.003,0.235,0.444
0.813,0.048,0.357,1.311,5.236,0.738,4.109,7.825,0.348,0.002,0.262,0.433
0.528,0.027,0.232,0.913,5.436,0.926,4.119,8.409,0.349,0.002,0.256,0.421
0.4,0.052,0.144,1.788,5.519,0.921,4.293,7.785,0.348,0.001,0.275,0.423
1.68,0.343,0.851,3.328,5.185,1.144,3.876,8.642,0.351,0.002,0.266,0.455
1.023,0.114,0.438,1.765,5.193,1.121,3.78,8.589,0.354,0.002,0.247,0.44
0.71,0.06,0.277,1.211,5.194,0.762,3.999,7.733,0.364,0.002,0.288,0.451
0.477,0.029,0.178,0.843,5.303,0.987,3.941,7.747,0.363,0.002,0.281,0.47
0.425,0.114,0.119,1.737,5.335,1.069,3.915,9.035,0.366,0.002,0.281,0.484
1.557,0.39,0.71,3.068,5.013,1.022,3.623,8.139,0.375,0.003,0.246,0.5
0.963,0.126,0.326,1.659,5.022,1.094,3.733,8.338,0.382,0.002,0.246,0.477
0.609,0.061,0.206,1.147,5.134,0.977,3.798,7.688,0.376,0.002,0.276,0.463
0.413,0.029,0.127,0.785,5.223,0.909,3.846,7.542,0.38,0.001,0.281,0.463
0.27,0.014,0.085,0.55,5.301,1.037,3.852,8.1,0.379,0.002,0.281,0.49
1.426,0.417,0.331,3.311,4.979,1.284,3.488,8.258,0.378,0.003,0.229,0.497
0.882,0.128,0.267,1.668,5.011,1.036,3.579,7.577,0.385,0.002,0.288,0.485
0.574,0.061,0.14,1.134,5.096,0.934,3.764,7.277,0.384,0.002,0.268,0.464
0.363,0.027,0.062,0.777,5.245,1.216,3.719,8.732,0.386,0.002,0.292,0.503
0.269,0.046,0.062,1.561,5.339,1.265,3.773,8.453,0.379,0.002,0.246,0.466
1.387,0.41,0.454,3.046,4.894,0.982,3.448,7.511,0.39,0.003,0.246,0.49
