TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.173,0.061,1.778,2.645,5.587,2.212,3.24,8.433,0.114,0.002,0.051,0.223
1.373,0.043,0.929,1.792,4.798,1.794,2.413,7.4,0.201,0.008,0.073,0.387
1.067,0.034,0.746,1.427,3.798,0.614,2.296,5.103,0.357,0.022,0.083,0.654
0.828,0.024,0.582,1.11,3.252,0.444,2.107,4.786,0.456,0.016,0.172,0.684
0.622,0.016,0.313,0.832,3.027,0.444,1.852,4.416,0.493,0.014,0.24,0.688
0.508,0.036,0.313,1.637,3.002,0.506,1.724,4.692,0.511,0.013,0.057,0.68
1.891,1.164,0.76,4.257,3.421,0.589,2.271,5.06,0.416,0.027,0.057,0.643
1.08,0.126,0.416,1.872,3.264,0.669,2.015,5.164,0.459,0.021,0.205,0.673
0.84,0.084,0.393,1.428,3.019,0.548,1.858,4.669,0.498,0.013,0.23,0.688
0.65,0.054,0.275,1.149,2.977,0.595,1.63,4.668,0.522,0.01,0.256,0.688
0.647,0.366,0.191,4.003,2.978,0.543,1.64,4.772,0.513,0.018,0.057,0.695
1.49,1.068,0.415,4.288,3.186,0.576,2.034,5.194,0.468,0.031,0.082,0.703
0.919,0.153,0.305,1.819,3.124,0.537,2.092,5.082,0.478,0.029,0.135,0.68
0.681,0.094,0.245,1.402,3.006,0.59,1.756,5.216,0.519,0.013,0.306,0.692
0.533,0.065,0.169,1.162,2.859,0.492,1.65,4.199,0.542,0.009,0.344,0.726
0.408,0.043,0.128,0.919,2.942,0.661,1.574,4.96,0.549,0.008,0.273,0.696
1.18,0.365,0.341,2.669,2.891,0.595,1.67,4.92,0.532,0.015,0.182,0.689
0.825,0.161,0.206,1.615,2.843,0.599,1.601,4.972,0.54,0.011,0.289,0.722
0.624,0.098,0.144,1.255,2.829,0.576,1.601,4.56,0.557,0.009,0.306,0.707
0.464,0.059,0.1,0.982,2.815,0.649,1.491,4.648,0.565,0.009,0.303,0.698
0.384,0.056,0.07,1.32,2.924,0.871,1.451,5.317,0.565,0.007,0.372,0.715
1.074,0.383,0.193,2.148,2.806,0.671,1.62,4.778,0.56,0.01,0.331,0.719
0.698,0.155,0.11,1.453,2.858,0.799,1.429,5.485,0.563,0.008,0.38,0.711
0.531,0.095,0.068,1.092,2.841,0.736,1.466,4.793,0.57,0.007,0.413,0.699
0.408,0.058,0.061,0.874,2.824,0.794,1.383,4.931,0.578,0.007,0.347,0.729
0.362,0.075,0.056,1.391,2.894,1.062,1.441,6.104,0.576,0.007,0.399,0.699
0.945,0.341,0.152,2.059,2.774,0.67,1.449,5.093,0.565,0.009,0.372,0.722
0.639,0.155,0.078,1.302,2.863,0.917,1.506,5.566,0.569,0.007,0.412,0.709
0.456,0.086,0.052,0.991,2.755,0.916,1.306,5.429,0.583,0.008,0.339,0.752
0.353,0.052,0.043,0.771,2.84,0.914,1.306,5.209,0.585,0.007,0.372,0.726
0.269,0.031,0.029,0.618,2.952,1.129,1.378,5.878,0.581,0.007,0.372,0.714
0.889,0.332,0.084,1.779,2.849,0.967,1.437,5.798,0.574,0.007,0.397,0.744
0.6,0.143,0.052,1.228,2.866,1.394,1.418,7.448,0.587,0.007,0.412,0.744
0.446,0.083,0.034,0.923,2.809,1.0,1.306,5.21,0.587,0.006,0.421,0.733
0.322,0.045,0.029,0.713,2.885,1.263,1.371,6.362,0.593,0.006,0.444,0.718
0.26,0.045,0.018,1.238,2.999,1.296,1.339,5.904,0.584,0.008,0.322,0.719
0.859,0.324,0.078,1.805,2.898,1.248,1.339,5.899,0.589,0.007,0.412,0.727
0.533,0.128,0.053,1.194,2.808,1.14,1.254,6.147,0.593,0.006,0.438,0.72
0.4,0.072,0.029,0.888,2.872,1.304,1.301,6.865,0.588,0.006,0.395,0.729
0.298,0.042,0.022,0.652,2.961,1.39,1.258,7.393,0.589,0.006,0.463,0.734
0.275,0.081,0.015,1.315,2.94,1.5,1.274,7.375,0.6,0.005,0.463,0.714
0.802,0.315,0.051,1.712,2.763,0.949,1.373,5.922,0.589,0.006,0.458,0.708
0.518,0.129,0.028,1.046,2.883,1.165,1.338,5.242,0.591,0.005,0.435,0.726
0.358,0.064,0.016,0.838,2.793,1.256,1.231,6.97,0.603,0.006,0.424,0.73
0.267,0.035,0.016,0.606,2.991,1.827,1.298,6.97,0.602,0.005,0.405,0.737
0.2,0.02,0.01,0.484,3.089,1.828,1.299,7.76,0.595,0.007,0.365,0.741
0.739,0.31,0.038,1.805,2.797,1.201,1.168,5.456,0.598,0.007,0.407,0.752
0.485,0.123,0.026,1.084,2.869,1.554,1.205,6.939,0.607,0.004,0.459,0.703
0.349,0.067,0.015,0.823,2.965,1.672,1.205,7.845,0.603,0.004,0.446,0.722
0.247,0.034,0.018,0.624,3.048,2.217,1.33,9.339,0.602,0.005,0.451,0.73
0.201,0.032,0.011,1.033,3.029,1.537,1.11,6.268,0.605,0.004,0.472,0.73
0.722,0.288,0.021,1.735,2.947,1.855,1.267,8.552,0.595,0.006,0.435,0.707
0.444,0.104,0.016,1.097,2.999,1.888,1.283,7.239,0.601,0.006,0.401,0.733
0.317,0.056,0.013,0.815,2.937,1.539,1.162,6.475,0.606,0.005,0.435,0.716
0.235,0.031,0.007,0.575,3.021,2.176,1.205,8.512,0.61,0.003,0.506,0.714
0.255,0.11,0.01,1.6,3.209,2.403,1.222,8.614,0.593,0.005,0.446,0.7
0.701,0.285,0.024,1.661,2.891,1.579,1.181,6.541,0.599,0.005,0.461,0.737
0.436,0.106,0.014,1.05,2.814,1.609,1.232,6.243,0.62,0.004,0.48,0.73
0.294,0.048,0.012,0.686,3.08,1.929,1.262,6.693,0.606,0.004,0.466,0.741
0.213,0.026,0.007,0.556,2.978,1.645,1.111,6.404,0.61,0.005,0.418,0.752
0.158,0.014,0.008,0.435,3.223,2.59,1.191,8.568,0.608,0.005,0.438,0.719
0.683,0.293,0.017,1.691,2.878,1.549,1.143,5.808,0.612,0.005,0.469,0.733
0.435,0.108,0.012,1.026,2.972,2.032,1.143,6.942,0.611,0.006,0.407,0.733
0.3,0.052,0.009,0.709,3.001,2.111,1.14,7.266,0.618,0.005,0.371,0.73
0.202,0.025,0.008,0.531,3.048,2.116,1.005,8.071,0.615,0.005,0.484,0.715
0.166,0.026,0.007,0.982,3.107,1.843,1.263,6.859,0.611,0.004,0.475,0.702
0.658,0.274,0.013,1.767,2.912,1.649,1.232,7.013,0.608,0.006,0.434,0.737
0.393,0.097,0.007,0.991,2.944,1.914,1.202,6.657,0.612,0.005,0.452,0.729
0.279,0.047,0.007,0.694,3.043,2.001,1.118,6.976,0.611,0.006,0.376,0.729
0.2,0.024,0.007,0.52,3.13,2.548,1.118,7.561,0.618,0.005,0.48,0.742
0.179,0.04,0.007,1.026,3.223,2.974,1.179,9.304,0.618,0.004,0.463,0.725
0.642,0.254,0.009,1.581,2.997,2.41,1.176,7.742,0.611,0.005,0.445,0.729
0.396,0.095,0.007,0.978,2.959,1.88,0.97,6.887,0.616,0.005,0.444,0.742
0.261,0.044,0.006,0.692,3.049,2.574,1.304,8.996,0.623,0.004,0.458,0.734
0.183,0.021,0.006,0.475,3.047,2.505,1.082,8.906,0.621,0.005,0.395,0.741
0.134,0.011,0.004,0.392,3.106,2.079,1.26,6.832,0.626,0.005,0.459,0.726
0.611,0.244,0.007,1.634,2.857,1.811,1.153,7.345,0.618,0.005,0.497,0.749
0.387,0.092,0.005,1.022,2.957,2.252,0.998,7.13,0.622,0.005,0.424,0.726
0.262,0.041,0.007,0.714,3.025,2.621,1.069,7.973,0.628,0.003,0.5,0.73
