TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.05,0.008,2.943,3.178,7.605,0.151,6.902,8.118,0.068,0.001,0.019,0.124
2.265,0.021,1.776,2.512,5.851,0.076,4.803,6.36,0.118,0.002,0.025,0.286
1.932,0.015,1.736,2.16,5.113,0.16,4.348,5.73,0.225,0.005,0.111,0.369
1.666,0.011,1.498,1.907,4.513,0.154,3.817,5.244,0.318,0.004,0.211,0.433
1.439,0.014,1.1,1.689,4.474,0.273,3.376,6.207,0.321,0.003,0.191,0.484
1.291,0.028,1.1,2.306,4.618,0.853,3.498,9.228,0.324,0.005,0.133,0.47
3.084,2.56,1.658,6.954,4.923,0.552,3.408,6.446,0.267,0.011,0.075,0.477
1.91,0.136,1.399,2.627,4.701,0.533,3.416,7.178,0.295,0.008,0.112,0.477
1.641,0.09,1.216,2.182,4.996,1.682,3.34,10.159,0.289,0.009,0.081,0.465
1.429,0.066,1.066,1.915,5.744,3.786,3.65,12.22,0.257,0.008,0.062,0.429
1.349,0.192,0.915,3.413,6.94,10.461,3.628,19.591,0.218,0.009,0.05,0.433
2.051,0.941,0.886,5.205,6.014,3.739,3.487,12.068,0.238,0.013,0.068,0.459
1.536,0.159,0.749,2.3,6.952,7.491,3.522,14.682,0.218,0.012,0.062,0.456
1.284,0.096,0.66,1.946,8.439,13.977,3.622,21.12,0.183,0.01,0.043,0.468
1.127,0.077,0.563,1.709,8.851,14.198,3.391,23.058,0.178,0.01,0.031,0.452
0.98,0.062,0.484,1.502,8.94,14.077,3.966,23.715,0.176,0.008,0.031,0.382
2.259,1.378,0.413,5.084,6.228,6.098,3.602,20.384,0.218,0.006,0.05,0.442
1.581,0.179,0.371,2.462,7.026,3.565,3.651,11.225,0.199,0.007,0.056,0.445
1.335,0.107,0.288,2.008,7.47,8.243,3.585,15.951,0.205,0.009,0.043,0.438
1.121,0.078,0.247,1.744,7.349,6.825,4.18,17.095,0.196,0.006,0.043,0.408
0.996,0.064,0.237,1.651,7.974,9.497,3.887,18.253,0.19,0.007,0.062,0.417
2.119,0.752,1.182,3.921,5.405,0.801,4.033,8.403,0.243,0.005,0.075,0.382
1.493,0.154,0.973,2.358,6.066,3.674,3.35,13.25,0.237,0.009,0.062,0.47
1.261,0.081,0.851,1.888,6.789,5.482,3.629,14.549,0.21,0.007,0.056,0.41
1.079,0.058,0.706,1.593,7.092,6.786,4.16,15.562,0.209,0.007,0.043,0.344
0.979,0.056,0.591,1.615,7.311,4.05,4.149,12.412,0.197,0.006,0.043,0.419
1.826,0.54,1.054,3.7,5.206,1.099,3.709,8.166,0.269,0.008,0.106,0.444
1.363,0.116,0.848,2.122,6.161,3.8,3.452,15.528,0.229,0.007,0.068,0.461
1.124,0.074,0.714,1.743,6.946,5.825,4.021,13.567,0.209,0.008,0.062,0.427
0.969,0.053,0.595,1.513,7.545,10.153,3.219,18.511,0.201,0.008,0.056,0.488
0.827,0.042,0.483,1.282,7.561,6.896,3.962,15.864,0.199,0.009,0.025,0.421
1.755,0.538,1.043,3.324,5.41,1.693,3.898,9.796,0.264,0.008,0.068,0.419
1.313,0.142,0.833,2.153,6.344,6.921,3.773,17.068,0.236,0.009,0.043,0.401
1.085,0.085,0.681,1.71,6.367,3.286,3.758,11.007,0.226,0.007,0.037,0.438
0.895,0.054,0.526,1.46,6.184,3.463,3.622,13.966,0.244,0.009,0.025,0.463
0.785,0.045,0.459,1.237,7.107,3.926,3.998,14.902,0.207,0.006,0.075,0.386
1.633,0.46,0.906,3.549,5.243,1.828,3.189,10.246,0.284,0.007,0.118,0.502
1.196,0.133,0.712,2.172,6.142,2.991,3.696,11.465,0.224,0.008,0.056,0.436
0.996,0.081,0.575,1.736,6.258,4.132,3.677,13.103,0.231,0.008,0.058,0.415
0.839,0.056,0.475,1.519,6.69,3.799,4.27,11.229,0.216,0.007,0.025,0.414
0.797,0.154,0.376,2.893,6.352,5.033,4.044,13.72,0.244,0.009,0.074,0.394
1.596,0.478,0.854,3.241,5.023,2.65,3.353,13.53,0.306,0.01,0.112,0.482
1.172,0.138,0.65,2.062,5.724,3.817,3.23,12.303,0.257,0.01,0.019,0.49
0.939,0.08,0.522,1.686,5.702,3.108,3.616,11.857,0.27,0.008,0.062,0.465
0.795,0.059,0.404,1.371,6.639,5.386,3.896,15.784,0.225,0.008,0.062,0.448
0.663,0.041,0.33,1.179,6.818,7.657,3.384,18.011,0.235,0.009,0.062,0.515
1.59,0.578,0.737,3.38,4.891,1.235,3.33,8.744,0.309,0.01,0.111,0.513
