TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.487,0.008,3.323,3.6,9.004,1.939,7.845,11.602,0.037,0.0,0.01,0.099
2.714,0.021,2.345,2.873,7.833,1.613,6.333,10.467,0.062,0.001,0.013,0.143
2.339,0.01,2.043,2.489,7.165,0.766,6.042,9.614,0.123,0.004,0.02,0.253
2.021,0.007,1.791,2.148,6.639,0.901,5.458,8.824,0.182,0.004,0.086,0.309
1.725,0.009,1.441,1.878,6.571,2.333,4.866,10.504,0.214,0.003,0.093,0.322
1.536,0.037,1.328,2.805,7.136,7.866,4.62,16.722,0.206,0.005,0.034,0.331
3.422,1.247,1.154,5.301,7.228,1.511,6.091,14.93,0.129,0.008,0.025,0.335
2.379,0.166,0.973,2.949,6.834,1.461,5.359,12.466,0.165,0.005,0.046,0.326
2.034,0.101,0.812,2.45,6.955,3.395,5.359,13.732,0.18,0.003,0.099,0.297
1.756,0.075,0.678,2.136,7.508,7.695,4.989,15.415,0.178,0.003,0.045,0.285
1.595,0.155,0.579,3.022,8.327,12.33,4.677,19.96,0.167,0.005,0.026,0.305
2.389,0.343,1.465,4.726,6.686,3.605,4.678,13.396,0.207,0.003,0.089,0.331
1.947,0.068,1.438,2.63,7.648,5.539,4.751,13.34,0.165,0.003,0.066,0.298
1.641,0.054,1.043,2.159,9.302,10.365,4.86,20.376,0.135,0.004,0.04,0.309
1.429,0.04,0.866,1.836,11.111,11.175,4.979,18.744,0.104,0.003,0.015,0.309
1.224,0.028,0.819,1.582,12.919,14.686,6.311,23.885,0.086,0.002,0.007,0.219
2.058,0.385,0.597,4.498,10.265,16.025,4.873,22.604,0.118,0.004,0.013,0.298
1.693,0.126,0.493,2.597,12.323,22.294,5.42,26.603,0.093,0.003,0.013,0.301
1.438,0.086,0.493,2.122,13.762,19.451,6.565,25.33,0.086,0.003,0.02,0.237
1.207,0.065,0.328,1.788,14.635,22.933,7.683,29.008,0.081,0.002,0.02,0.244
1.044,0.043,0.553,1.549,13.7,16.638,7.673,26.023,0.084,0.002,0.02,0.227
1.813,0.441,0.579,5.46,12.503,21.621,6.17,25.091,0.097,0.004,0.02,0.305
1.431,0.145,0.349,2.988,13.874,16.62,7.914,28.263,0.079,0.002,0.007,0.216
1.221,0.108,0.287,2.46,14.225,26.15,7.415,30.033,0.086,0.004,0.0,0.323
1.027,0.079,0.287,2.044,14.281,29.471,6.814,29.915,0.084,0.004,0.013,0.281
0.921,0.078,0.435,1.845,12.883,18.739,7.089,27.511,0.088,0.002,0.013,0.213
1.535,0.354,0.481,4.731,12.027,19.807,5.759,24.905,0.101,0.003,0.013,0.227
1.211,0.133,0.481,2.72,12.264,12.11,7.207,22.843,0.091,0.003,0.015,0.275
0.979,0.089,0.28,2.118,12.866,21.555,6.51,24.737,0.098,0.005,0.007,0.305
0.825,0.066,0.215,1.769,12.805,17.049,8.045,23.931,0.089,0.003,0.007,0.237
0.682,0.048,0.215,1.516,12.775,21.172,6.755,34.72,0.098,0.003,0.01,0.219
1.378,0.331,0.414,3.609,11.694,14.175,5.857,23.636,0.102,0.005,0.007,0.312
1.07,0.128,0.305,2.192,11.642,12.364,6.117,19.769,0.097,0.004,0.013,0.297
0.866,0.085,0.305,1.779,12.203,15.041,6.352,25.645,0.096,0.004,0.013,0.286
0.695,0.064,0.191,1.483,12.145,16.989,5.799,26.085,0.103,0.003,0.007,0.226
0.581,0.041,0.201,1.273,12.484,26.523,6.806,36.094,0.098,0.004,0.007,0.283
1.229,0.372,0.342,4.132,9.788,7.768,5.878,17.653,0.135,0.005,0.02,0.307
0.891,0.152,0.221,2.388,11.485,22.921,5.669,31.555,0.11,0.005,0.013,0.316
0.717,0.098,0.162,1.86,11.172,14.643,5.748,31.555,0.112,0.004,0.015,0.279
0.577,0.066,0.157,1.471,11.859,15.958,6.506,23.119,0.114,0.006,0.01,0.319
0.545,0.123,0.117,1.87,11.847,21.682,6.266,34.786,0.119,0.005,0.02,0.335
1.187,0.441,0.218,4.107,10.07,11.666,5.776,20.803,0.138,0.005,0.033,0.323
0.859,0.182,0.155,2.42,11.596,15.341,6.664,22.175,0.111,0.006,0.02,0.346
0.66,0.119,0.118,1.857,11.175,8.798,6.295,17.755,0.119,0.007,0.015,0.374
0.534,0.077,0.091,1.452,11.604,19.566,6.295,30.313,0.122,0.007,0.02,0.374
0.425,0.052,0.073,1.192,11.423,14.48,6.463,25.293,0.13,0.009,0.02,0.409
1.146,0.375,0.182,3.76,9.746,9.602,5.033,21.338,0.135,0.006,0.02,0.323
0.841,0.165,0.131,2.271,10.517,15.168,6.081,22.141,0.13,0.005,0.02,0.361
0.651,0.103,0.083,1.728,10.184,8.748,5.865,19.648,0.14,0.009,0.02,0.357
0.501,0.069,0.067,1.373,10.354,19.011,5.225,34.692,0.153,0.009,0.026,0.368
0.415,0.047,0.05,1.09,10.077,13.565,6.07,24.983,0.152,0.009,0.02,0.4
1.553,1.575,0.579,5.285,8.837,6.864,5.602,16.61,0.167,0.011,0.025,0.398
0.982,0.411,0.335,2.64,9.453,13.703,5.689,23.057,0.149,0.009,0.025,0.383
0.761,0.238,0.26,2.013,8.929,10.363,4.776,20.65,0.175,0.01,0.02,0.404
0.594,0.145,0.195,1.565,8.698,5.658,4.859,15.944,0.178,0.013,0.015,0.383
0.565,0.242,0.15,3.152,8.938,9.441,4.799,19.062,0.183,0.012,0.01,0.398
1.276,0.584,0.428,3.659,7.877,7.899,4.882,18.017,0.204,0.012,0.01,0.446
0.887,0.234,0.35,2.188,8.57,8.713,4.986,18.242,0.185,0.012,0.033,0.404
0.659,0.145,0.243,1.651,8.515,7.285,5.346,19.259,0.179,0.01,0.02,0.398
0.522,0.09,0.178,1.316,8.502,11.362,4.345,26.663,0.202,0.012,0.04,0.401
0.409,0.057,0.157,1.091,8.669,14.932,4.797,23.308,0.207,0.015,0.026,0.444
1.299,0.612,0.439,3.799,7.658,7.47,4.024,17.389,0.211,0.015,0.02,0.422
0.925,0.244,0.334,2.244,7.205,4.849,4.573,16.532,0.226,0.011,0.053,0.424
0.708,0.146,0.242,1.692,7.722,13.451,4.522,24.391,0.232,0.015,0.04,0.45
0.532,0.092,0.179,1.305,7.575,10.082,4.775,23.051,0.229,0.012,0.053,0.43
0.456,0.088,0.133,1.683,7.251,4.191,4.152,12.994,0.243,0.011,0.046,0.428
1.367,0.597,0.466,3.701,6.843,5.22,4.286,13.704,0.254,0.01,0.073,0.428
0.917,0.215,0.302,2.17,7.218,6.695,4.582,16.981,0.237,0.014,0.02,0.446
0.716,0.142,0.199,1.633,7.076,5.287,3.884,15.299,0.252,0.013,0.053,0.458
0.555,0.088,0.173,1.28,6.796,3.164,4.181,11.875,0.255,0.012,0.033,0.476
0.53,0.158,0.122,2.075,7.023,4.534,4.3,12.951,0.253,0.012,0.06,0.428
1.504,0.688,0.427,3.945,6.482,5.206,4.266,15.47,0.282,0.013,0.06,0.439
1.04,0.254,0.259,2.327,6.826,6.662,4.43,15.406,0.272,0.014,0.04,0.457
0.774,0.15,0.177,1.703,6.631,5.905,4.45,17.737,0.279,0.014,0.04,0.435
0.609,0.094,0.132,1.331,6.302,4.537,4.317,16.546,0.299,0.01,0.066,0.457
0.474,0.059,0.099,1.036,6.359,3.535,3.855,11.63,0.298,0.012,0.066,0.465
1.414,0.625,0.386,3.812,6.121,3.263,4.0,11.441,0.302,0.013,0.073,0.483
0.998,0.247,0.226,2.242,6.013,3.184,3.868,10.723,0.313,0.011,0.046,0.483
0.754,0.144,0.154,1.621,6.225,4.98,3.678,14.499,0.308,0.01,0.06,0.506
0.563,0.085,0.112,1.299,6.27,3.655,4.116,11.827,0.305,0.011,0.099,0.439
