TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.171,0.013,2.93,3.39,8.106,2.528,6.923,11.419,0.053,0.0,0.02,0.105
2.194,0.033,1.688,2.478,7.978,2.184,6.295,11.996,0.08,0.001,0.025,0.177
1.651,0.013,1.227,1.919,7.208,0.665,5.51,9.342,0.149,0.005,0.059,0.289
1.211,0.006,1.042,1.422,6.547,0.782,5.128,9.005,0.209,0.004,0.066,0.323
0.833,0.011,0.509,0.991,6.33,1.006,4.861,8.655,0.248,0.002,0.125,0.359
0.628,0.07,0.505,2.436,6.2,1.171,4.813,9.16,0.278,0.002,0.153,0.398
2.311,0.576,0.357,4.563,6.4,1.213,4.771,9.153,0.22,0.006,0.079,0.346
1.488,0.177,0.241,2.621,6.121,1.028,4.368,9.058,0.255,0.004,0.092,0.399
1.081,0.111,0.167,2.016,5.842,0.907,4.669,8.783,0.294,0.003,0.133,0.414
0.755,0.063,0.116,1.519,5.953,1.067,4.488,9.467,0.3,0.003,0.172,0.429
0.695,0.44,0.083,4.275,6.003,1.308,4.384,9.705,0.304,0.002,0.192,0.436
1.95,0.399,1.034,4.275,5.713,0.832,4.535,8.671,0.302,0.002,0.192,0.399
1.271,0.125,0.7,2.326,5.536,0.64,4.533,7.708,0.318,0.002,0.227,0.436
0.838,0.076,0.319,1.67,5.615,0.893,4.355,8.099,0.328,0.002,0.227,0.417
0.578,0.038,0.277,1.242,5.603,0.936,4.16,8.778,0.339,0.002,0.276,0.44
0.383,0.017,0.17,0.838,5.924,1.258,4.51,9.597,0.328,0.002,0.255,0.44
1.675,0.348,0.844,3.603,5.326,0.776,4.167,8.123,0.338,0.003,0.148,0.47
1.085,0.11,0.519,2.222,5.332,0.793,4.225,8.123,0.347,0.002,0.177,0.47
0.72,0.053,0.395,1.529,5.528,0.988,4.381,8.22,0.342,0.002,0.255,0.459
0.45,0.027,0.214,1.064,5.59,1.023,4.015,8.05,0.348,0.002,0.246,0.447
0.324,0.023,0.168,1.071,5.771,1.016,4.513,8.706,0.346,0.003,0.248,0.477
1.552,0.235,1.065,3.099,5.233,0.85,3.911,8.187,0.357,0.003,0.236,0.492
0.916,0.097,0.346,1.83,5.221,0.653,3.81,7.322,0.361,0.002,0.241,0.436
0.593,0.039,0.251,1.215,5.331,0.72,3.834,7.68,0.365,0.002,0.255,0.444
0.387,0.019,0.201,0.86,5.506,1.147,4.063,8.136,0.362,0.001,0.286,0.433
0.347,0.098,0.128,1.529,5.651,1.179,3.716,8.484,0.365,0.001,0.291,0.462
1.469,0.319,0.476,3.452,5.113,0.817,3.716,7.112,0.367,0.002,0.266,0.485
0.889,0.098,0.47,1.945,5.167,0.865,3.918,8.347,0.374,0.003,0.217,0.492
0.543,0.052,0.205,1.302,5.269,0.954,3.897,8.489,0.375,0.002,0.266,0.489
0.353,0.021,0.134,0.864,5.408,0.789,3.896,8.04,0.374,0.002,0.275,0.454
0.23,0.008,0.104,0.551,5.678,1.086,4.03,8.733,0.368,0.002,0.266,0.468
1.342,0.36,0.382,2.962,4.978,0.717,3.474,7.365,0.383,0.003,0.263,0.504
0.784,0.091,0.238,1.666,5.081,0.84,3.697,7.365,0.379,0.003,0.227,0.511
0.493,0.038,0.234,1.102,5.236,0.794,3.704,7.342,0.387,0.002,0.283,0.504
0.302,0.017,0.074,0.671,5.438,0.801,4.047,7.761,0.383,0.002,0.281,0.485
0.209,0.01,0.082,0.636,5.668,1.205,4.097,9.264,0.377,0.002,0.261,0.477
1.313,0.326,0.625,2.873,4.986,0.799,3.365,7.057,0.384,0.003,0.268,0.516
0.706,0.096,0.18,1.524,5.035,0.7,3.615,8.11,0.39,0.003,0.271,0.492
0.446,0.039,0.116,0.978,5.159,0.951,3.809,7.779,0.391,0.002,0.297,0.515
0.285,0.014,0.096,0.611,5.413,0.869,3.884,7.862,0.389,0.002,0.291,0.492
