TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.339,0.058,1.982,2.769,6.158,1.784,3.724,8.08,0.113,0.001,0.033,0.184
1.493,0.041,1.119,1.94,4.837,1.549,2.545,7.546,0.188,0.007,0.073,0.367
1.199,0.035,0.904,1.537,3.924,0.564,2.373,5.705,0.325,0.02,0.09,0.599
0.97,0.025,0.706,1.253,3.354,0.422,2.194,5.093,0.436,0.018,0.131,0.633
0.766,0.019,0.436,1.035,3.312,2.11,1.838,10.771,0.47,0.014,0.195,0.687
0.644,0.032,0.436,1.641,3.776,7.789,1.654,15.249,0.468,0.017,0.15,0.642
2.181,2.125,0.85,5.471,3.754,1.516,2.429,8.925,0.395,0.022,0.172,0.648
1.163,0.13,0.468,1.921,3.826,3.86,2.11,11.846,0.409,0.019,0.166,0.655
0.937,0.087,0.468,1.594,3.918,5.037,1.797,11.628,0.424,0.018,0.127,0.644
0.768,0.065,0.349,1.33,4.215,9.792,1.709,18.056,0.439,0.016,0.101,0.674
0.702,0.14,0.28,1.781,4.175,9.369,1.565,20.453,0.423,0.02,0.082,0.652
1.688,1.395,0.435,5.326,3.913,4.695,2.313,16.162,0.391,0.022,0.109,0.661
1.033,0.112,0.297,1.651,4.131,9.011,2.145,19.032,0.407,0.024,0.079,0.674
0.795,0.062,0.225,1.288,3.682,1.78,1.836,7.822,0.431,0.016,0.164,0.653
0.649,0.046,0.181,1.068,3.529,2.136,1.654,9.242,0.462,0.016,0.187,0.715
0.527,0.033,0.144,0.889,3.542,1.615,1.525,6.387,0.472,0.013,0.158,0.653
1.492,0.496,0.272,3.065,3.105,0.675,1.701,6.123,0.505,0.01,0.322,0.708
1.012,0.156,0.179,1.653,3.149,0.804,1.692,5.423,0.487,0.012,0.221,0.708
0.803,0.106,0.13,1.336,3.19,1.146,1.56,7.464,0.497,0.01,0.295,0.679
0.624,0.071,0.094,1.109,3.181,1.1,1.504,6.513,0.502,0.013,0.205,0.712
0.544,0.117,0.074,2.359,3.479,1.673,1.551,6.879,0.474,0.017,0.181,0.678
1.292,0.289,0.144,2.536,2.984,0.526,1.663,4.644,0.526,0.009,0.358,0.7
0.869,0.113,0.102,1.503,3.119,0.955,1.58,6.802,0.506,0.013,0.244,0.723
0.692,0.074,0.084,1.162,3.26,1.179,1.612,6.802,0.492,0.02,0.2,0.727
0.557,0.055,0.064,0.968,3.572,2.436,1.518,11.332,0.466,0.022,0.072,0.686
0.52,0.092,0.049,1.592,3.752,2.446,1.683,8.325,0.456,0.027,0.111,0.749
1.188,0.233,0.092,2.187,3.053,0.764,1.746,5.69,0.517,0.013,0.293,0.738
0.834,0.114,0.068,1.555,3.22,1.296,1.667,6.593,0.488,0.019,0.156,0.705
0.627,0.069,0.042,1.216,3.378,1.704,1.597,9.703,0.482,0.021,0.18,0.715
0.502,0.049,0.034,0.958,3.549,1.768,1.633,7.099,0.476,0.024,0.139,0.704
0.393,0.032,0.028,0.731,3.744,2.579,1.64,10.779,0.47,0.03,0.128,0.706
1.083,0.195,0.066,2.023,3.067,0.607,1.68,4.525,0.502,0.016,0.254,0.734
0.774,0.093,0.035,1.294,3.255,1.059,1.56,6.548,0.483,0.018,0.221,0.7
0.595,0.062,0.026,1.057,3.431,1.748,1.67,8.274,0.482,0.027,0.131,0.715
