TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.017,0.051,2.713,3.432,8.46,5.216,4.38,11.429,0.106,0.001,0.058,0.201
2.089,0.029,1.657,2.421,5.801,1.294,3.069,7.111,0.171,0.006,0.066,0.379
1.83,0.045,1.49,2.175,4.512,0.589,2.559,6.192,0.263,0.014,0.074,0.546
1.642,0.05,1.3,1.99,4.149,1.302,2.468,7.491,0.33,0.011,0.133,0.58
1.488,0.047,1.077,1.843,4.933,7.834,2.055,15.081,0.319,0.009,0.127,0.565
1.438,0.212,1.067,4.297,6.322,26.046,2.055,26.841,0.274,0.011,0.112,0.522
2.968,1.424,1.407,5.753,5.053,2.242,2.772,8.868,0.258,0.006,0.104,0.451
1.829,0.074,1.291,2.467,4.552,3.786,2.08,11.594,0.306,0.007,0.135,0.535
1.616,0.057,1.147,2.093,5.17,8.556,2.08,16.049,0.294,0.006,0.112,0.5
1.468,0.053,1.046,1.929,8.01,52.292,1.991,34.634,0.214,0.007,0.078,0.478
1.441,0.178,0.972,2.919,12.437,170.958,2.185,55.431,0.172,0.005,0.078,0.356
2.399,1.769,1.055,7.02,7.798,21.942,2.119,22.017,0.188,0.007,0.0,0.359
1.654,0.171,0.965,2.582,11.103,75.503,2.064,33.124,0.185,0.007,0.072,0.41
1.447,0.103,0.881,1.955,13.778,138.138,2.137,52.535,0.172,0.006,0.073,0.333
1.332,0.083,0.81,1.785,16.024,195.781,2.269,69.576,0.145,0.003,0.073,0.27
1.234,0.072,0.757,1.651,15.977,185.992,2.649,78.341,0.136,0.003,0.073,0.328
1.972,1.315,0.87,6.22,13.375,269.717,2.216,81.564,0.177,0.005,0.073,0.328
1.466,0.213,0.781,2.606,14.787,176.474,2.196,51.827,0.149,0.004,0.067,0.311
1.318,0.151,0.701,2.206,15.401,205.733,2.391,73.331,0.151,0.004,0.073,0.279
1.202,0.113,0.652,1.863,17.342,194.859,3.344,60.385,0.139,0.003,0.067,0.29
1.143,0.138,0.602,2.572,15.463,160.92,2.426,58.19,0.14,0.004,0.066,0.335
1.575,0.566,0.714,3.621,13.186,123.116,2.1,53.746,0.151,0.003,0.058,0.372
1.269,0.199,0.605,2.151,14.62,139.214,2.441,49.103,0.151,0.004,0.073,0.297
1.167,0.161,0.605,1.937,14.796,123.137,2.666,44.364,0.133,0.004,0.073,0.396
1.08,0.137,0.557,1.761,16.679,198.409,3.349,67.773,0.138,0.002,0.073,0.25
1.024,0.124,0.494,1.844,15.983,184.33,3.14,62.691,0.145,0.005,0.046,0.412
1.403,0.631,0.505,3.745,12.125,92.397,2.772,51.549,0.153,0.005,0.066,0.412
1.139,0.197,0.474,2.094,14.172,116.199,2.951,42.133,0.152,0.004,0.066,0.382
1.03,0.151,0.427,1.859,16.536,210.797,2.932,61.322,0.146,0.003,0.071,0.308
0.958,0.128,0.409,1.679,15.264,119.03,2.546,49.416,0.141,0.003,0.056,0.309
0.89,0.109,0.39,1.555,17.223,170.958,3.046,62.945,0.134,0.003,0.061,0.296
1.408,0.856,0.358,5.491,11.829,110.715,2.374,46.225,0.169,0.006,0.066,0.478
1.107,0.188,0.339,2.005,13.691,107.985,3.149,46.225,0.146,0.004,0.037,0.306
1.001,0.139,0.32,1.77,14.424,140.698,3.338,57.449,0.139,0.004,0.066,0.297
0.911,0.112,0.293,1.609,15.134,116.662,4.299,47.524,0.141,0.003,0.061,0.25
