TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.277,0.01,3.047,3.413,8.275,2.002,7.155,11.152,0.044,0.0,0.013,0.085
2.352,0.028,1.752,2.54,7.678,1.621,6.019,10.553,0.079,0.002,0.02,0.197
1.858,0.008,1.569,2.05,7.026,0.627,5.81,8.717,0.15,0.006,0.026,0.295
1.443,0.005,1.313,1.594,6.413,0.627,5.524,8.169,0.215,0.003,0.112,0.341
1.069,0.009,0.739,1.216,6.035,0.723,5.137,7.871,0.26,0.002,0.19,0.373
0.859,0.072,0.72,2.686,5.953,0.903,4.789,8.378,0.272,0.002,0.203,0.352
3.025,1.342,1.806,5.668,6.336,0.56,5.33,8.363,0.21,0.007,0.039,0.375
1.896,0.194,1.27,2.748,6.111,0.719,5.148,7.924,0.244,0.005,0.046,0.373
1.463,0.114,0.935,2.118,5.894,0.784,4.755,8.543,0.275,0.004,0.105,0.373
1.107,0.081,0.647,1.68,5.813,0.825,4.688,7.917,0.292,0.002,0.15,0.381
1.097,0.79,0.481,4.995,5.936,0.951,4.763,8.478,0.288,0.002,0.177,0.388
2.583,1.167,1.206,4.995,5.82,1.094,4.431,8.789,0.276,0.005,0.092,0.41
1.683,0.245,0.88,2.559,5.623,0.948,4.274,8.269,0.302,0.003,0.207,0.388
1.217,0.139,0.628,1.927,5.565,0.792,4.256,7.515,0.311,0.002,0.216,0.434
0.927,0.093,0.411,1.492,5.64,0.921,4.277,8.137,0.317,0.002,0.203,0.407
0.685,0.056,0.285,1.152,5.765,0.705,4.514,7.672,0.313,0.002,0.19,0.414
2.021,0.605,0.827,4.495,5.35,1.027,3.776,7.888,0.327,0.005,0.105,0.442
1.394,0.149,0.739,2.481,5.407,0.907,4.098,7.928,0.326,0.003,0.211,0.431
1.027,0.087,0.489,1.847,5.463,0.712,4.412,7.527,0.328,0.002,0.255,0.418
0.724,0.055,0.33,1.398,5.55,0.961,4.259,8.309,0.333,0.002,0.241,0.418
0.563,0.071,0.215,1.915,5.716,0.951,4.404,8.172,0.325,0.002,0.229,0.412
1.839,0.438,1.059,3.641,5.223,1.089,3.705,7.556,0.344,0.004,0.145,0.446
1.19,0.125,0.615,2.069,5.362,0.913,3.923,7.798,0.338,0.004,0.222,0.464
0.866,0.07,0.402,1.528,5.435,0.935,3.819,8.29,0.342,0.003,0.248,0.444
0.626,0.043,0.261,1.16,5.564,1.002,3.936,8.167,0.334,0.003,0.153,0.427
0.545,0.123,0.18,1.676,5.742,1.316,4.239,9.241,0.337,0.004,0.202,0.464
1.668,0.4,0.881,3.414,5.09,0.917,3.694,7.257,0.357,0.004,0.171,0.464
1.106,0.121,0.517,2.006,5.27,1.072,3.821,8.028,0.35,0.004,0.196,0.463
0.747,0.066,0.317,1.445,5.306,0.745,3.851,7.629,0.354,0.002,0.222,0.433
0.536,0.036,0.197,1.038,5.569,1.135,4.183,8.762,0.344,0.002,0.251,0.437
0.373,0.019,0.152,0.747,5.73,1.25,4.227,9.43,0.347,0.003,0.15,0.451
1.548,0.572,0.482,3.679,5.174,1.117,3.815,7.46,0.372,0.003,0.224,0.464
0.988,0.132,0.409,1.941,5.217,1.105,4.015,7.572,0.368,0.004,0.17,0.464
0.683,0.067,0.241,1.352,5.402,1.005,3.984,7.522,0.36,0.005,0.133,0.468
0.452,0.037,0.115,0.976,5.446,1.155,3.991,9.07,0.362,0.003,0.194,0.478
0.344,0.045,0.115,1.47,5.749,1.2,4.225,8.131,0.354,0.003,0.212,0.47
1.521,0.554,0.641,3.545,5.186,1.161,3.73,7.824,0.362,0.004,0.203,0.478
0.903,0.151,0.328,1.886,5.227,1.173,3.862,7.567,0.372,0.004,0.216,0.504
0.622,0.074,0.207,1.351,5.414,1.181,3.912,8.022,0.364,0.005,0.163,0.497
0.426,0.036,0.126,0.961,5.689,1.304,4.094,8.973,0.353,0.004,0.15,0.485
0.378,0.088,0.079,1.326,5.64,1.586,3.969,8.556,0.368,0.004,0.203,0.458
1.412,0.476,0.576,3.418,5.234,1.254,3.62,8.224,0.366,0.006,0.184,0.489
0.862,0.14,0.276,1.767,5.17,1.221,3.604,7.84,0.38,0.004,0.217,0.485
0.547,0.068,0.157,1.232,5.578,1.092,4.096,7.455,0.347,0.006,0.157,0.477
0.374,0.032,0.101,0.872,5.725,1.444,3.341,8.857,0.353,0.005,0.157,0.471
0.25,0.014,0.078,0.618,5.913,1.889,4.115,8.967,0.352,0.005,0.176,0.466
1.274,0.401,0.511,3.296,5.098,1.276,3.71,8.661,0.381,0.004,0.203,0.503
0.774,0.098,0.242,1.682,5.32,1.348,3.71,8.106,0.376,0.005,0.15,0.463
0.509,0.045,0.138,1.177,5.183,1.285,3.786,8.185,0.392,0.002,0.268,0.474
0.327,0.021,0.091,0.814,5.635,2.38,3.74,12.57,0.379,0.004,0.105,0.464
0.243,0.032,0.057,1.317,5.707,2.329,4.273,12.57,0.377,0.004,0.105,0.496
1.31,0.552,0.464,3.918,5.068,1.484,3.219,8.082,0.391,0.005,0.246,0.575
0.731,0.149,0.217,1.97,5.251,1.179,3.672,7.832,0.386,0.004,0.197,0.51
0.482,0.064,0.117,1.273,5.284,1.391,3.503,8.354,0.39,0.004,0.133,0.536
0.319,0.029,0.077,0.873,5.557,1.512,4.06,8.825,0.377,0.004,0.235,0.497
0.349,0.298,0.059,3.565,5.468,1.661,3.721,9.25,0.396,0.002,0.236,0.477
1.274,0.586,0.433,3.565,5.14,2.192,3.171,10.799,0.398,0.006,0.092,0.575
0.729,0.157,0.202,1.948,5.214,1.617,3.64,8.475,0.385,0.006,0.183,0.523
0.445,0.06,0.114,1.294,5.345,1.378,3.596,8.205,0.386,0.003,0.248,0.49
0.3,0.031,0.073,0.875,5.249,1.479,3.931,8.554,0.404,0.003,0.276,0.516
0.195,0.013,0.049,0.597,5.588,1.902,3.873,8.882,0.391,0.004,0.176,0.569
1.115,0.369,0.173,3.136,4.984,1.096,3.337,7.208,0.405,0.003,0.275,0.526
0.661,0.114,0.148,1.662,5.008,1.292,3.405,7.735,0.406,0.003,0.276,0.516
0.42,0.049,0.087,1.085,5.131,1.357,3.809,8.197,0.406,0.003,0.261,0.529
0.257,0.021,0.057,0.749,5.433,1.478,3.803,8.337,0.393,0.003,0.242,0.497
0.192,0.029,0.037,1.169,5.515,1.504,3.801,8.161,0.396,0.003,0.257,0.536
1.192,0.464,0.355,3.079,4.937,1.225,3.511,7.322,0.405,0.003,0.257,0.529
0.632,0.119,0.143,1.534,5.149,1.385,3.471,8.348,0.398,0.005,0.209,0.515
0.407,0.053,0.083,1.034,5.192,1.377,3.647,7.891,0.397,0.002,0.28,0.497
0.262,0.022,0.06,0.681,5.382,1.962,3.444,9.21,0.402,0.003,0.256,0.49
0.241,0.056,0.043,1.042,5.347,1.74,3.527,8.874,0.401,0.002,0.268,0.51
1.132,0.443,0.315,2.992,4.868,1.634,3.169,8.111,0.414,0.004,0.235,0.542
0.625,0.125,0.12,1.539,4.934,1.609,3.281,8.359,0.418,0.003,0.283,0.529
0.37,0.052,0.075,1.048,5.217,1.783,3.756,8.922,0.407,0.002,0.309,0.536
0.243,0.021,0.05,0.694,5.324,1.841,3.873,8.635,0.402,0.003,0.268,0.51
0.154,0.008,0.033,0.454,5.538,1.75,3.749,8.708,0.408,0.002,0.291,0.489
1.113,0.541,0.146,2.98,4.986,1.48,3.394,7.79,0.409,0.004,0.25,0.582
0.61,0.133,0.115,1.527,5.0,1.564,3.374,8.107,0.416,0.003,0.283,0.493
0.371,0.051,0.064,1.0,5.097,1.777,3.523,9.258,0.417,0.002,0.303,0.529
0.225,0.019,0.035,0.648,5.32,2.039,3.179,9.056,0.414,0.003,0.281,0.542
