TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.926,0.005,3.82,4.013,8.701,0.028,8.388,8.897,0.051,0.0,0.014,0.095
3.07,0.007,2.792,3.174,7.265,0.238,6.176,7.956,0.048,0.0,0.014,0.098
2.87,0.004,2.767,2.964,6.217,0.053,5.797,6.562,0.07,0.001,0.019,0.149
2.744,0.009,2.578,2.866,5.976,0.116,5.379,7.235,0.094,0.001,0.044,0.181
2.623,0.015,2.329,2.789,6.419,1.478,5.083,10.789,0.096,0.001,0.037,0.206
2.54,0.017,2.329,2.925,8.284,13.53,5.575,21.151,0.076,0.001,0.019,0.16
3.657,1.231,2.422,6.778,7.284,12.654,5.458,29.461,0.077,0.001,0.0,0.184
2.888,0.115,2.333,4.057,7.437,64.683,5.461,62.839,0.085,0.001,0.033,0.185
2.662,0.024,2.265,3.118,9.259,67.274,5.663,60.909,0.071,0.001,0.02,0.158
2.544,0.017,2.19,2.887,14.444,155.59,5.742,76.46,0.063,0.001,0.02,0.139
2.47,0.025,2.122,2.944,17.296,170.53,5.832,66.752,0.06,0.0,0.02,0.095
2.883,0.944,2.225,8.343,17.784,404.579,5.832,123.962,0.059,0.001,0.0,0.131
2.566,0.103,2.166,4.298,19.856,231.912,5.899,62.427,0.061,0.001,0.0,0.156
2.425,0.032,2.109,3.031,22.543,386.574,5.904,112.92,0.054,0.0,0.019,0.089
2.348,0.026,2.065,2.875,23.595,435.01,6.955,123.876,0.059,0.0,0.019,0.127
2.272,0.022,2.023,2.724,24.544,339.883,7.89,92.047,0.057,0.0,0.025,0.12
2.518,0.13,1.971,3.582,18.09,178.144,5.943,77.819,0.06,0.001,0.0,0.163
2.345,0.042,1.971,2.788,22.182,223.311,7.985,77.819,0.059,0.0,0.021,0.119
2.263,0.034,1.909,2.641,21.802,178.961,7.944,71.697,0.06,0.0,0.019,0.113
2.188,0.028,1.877,2.543,23.093,137.043,7.265,56.286,0.06,0.001,0.019,0.169
2.132,0.026,1.834,2.512,21.84,92.281,7.448,44.395,0.063,0.0,0.019,0.113
2.282,0.103,1.798,3.776,21.139,165.2,6.248,57.301,0.065,0.001,0.019,0.136
2.149,0.036,1.756,2.486,19.807,120.159,6.731,64.669,0.068,0.001,0.019,0.117
2.096,0.033,1.729,2.486,21.898,151.421,7.738,75.948,0.066,0.001,0.019,0.122
2.043,0.03,1.7,2.363,22.956,133.527,8.685,55.863,0.063,0.001,0.019,0.119
2.006,0.031,1.663,2.349,24.523,191.516,9.076,75.27,0.061,0.0,0.019,0.099
2.154,0.114,1.644,3.868,20.302,88.812,6.365,45.54,0.064,0.0,0.019,0.103
2.041,0.041,1.623,2.631,24.871,248.9,8.065,87.076,0.06,0.0,0.019,0.113
1.979,0.033,1.589,2.459,24.366,178.488,7.971,56.965,0.062,0.0,0.019,0.119
1.935,0.028,1.564,2.341,26.347,168.028,9.002,60.189,0.059,0.0,0.019,0.106
1.89,0.025,1.535,2.259,25.903,189.503,8.454,71.212,0.064,0.001,0.019,0.15
2.08,0.169,1.512,4.459,22.958,140.099,7.1,69.653,0.066,0.001,0.019,0.169
1.971,0.044,1.497,2.679,24.061,155.985,7.219,55.957,0.065,0.001,0.019,0.138
1.916,0.035,1.474,2.428,24.446,146.533,6.621,55.7,0.059,0.0,0.019,0.138
1.865,0.028,1.452,2.23,27.044,168.856,6.861,60.142,0.061,0.001,0.019,0.136
1.828,0.028,1.435,2.23,26.161,151.042,8.503,62.784,0.057,0.0,0.019,0.099
1.957,0.076,1.427,2.913,25.14,178.344,6.807,60.159,0.062,0.001,0.019,0.16
1.866,0.042,1.4,2.423,24.335,163.722,7.047,66.364,0.063,0.001,0.019,0.152
1.824,0.036,1.389,2.3,26.958,187.087,6.949,59.606,0.063,0.001,0.019,0.131
1.784,0.032,1.362,2.19,23.72,147.571,6.745,61.151,0.061,0.0,0.019,0.131
1.756,0.03,1.346,2.116,25.559,151.969,7.917,59.715,0.063,0.001,0.019,0.165
1.946,0.106,1.38,3.627,20.521,90.369,6.586,46.879,0.068,0.001,0.019,0.165
1.83,0.034,1.362,2.462,24.724,159.497,6.198,67.846,0.063,0.001,0.019,0.141
1.779,0.027,1.35,2.281,24.287,118.258,5.75,52.21,0.063,0.001,0.019,0.127
1.745,0.025,1.321,2.199,22.133,113.914,7.427,45.181,0.071,0.001,0.019,0.14
1.707,0.023,1.306,2.132,24.403,136.488,7.849,58.547,0.065,0.001,0.019,0.144
1.869,0.068,1.293,2.562,21.611,100.799,6.417,51.496,0.071,0.001,0.019,0.138
1.781,0.035,1.28,2.247,21.587,152.491,6.578,66.849,0.073,0.001,0.019,0.177
1.733,0.029,1.26,2.145,20.271,117.636,6.935,49.801,0.075,0.001,0.019,0.185
1.692,0.026,1.237,2.064,21.668,163.757,5.742,57.522,0.078,0.002,0.019,0.234
1.665,0.024,1.228,2.002,21.012,156.659,5.539,64.257,0.073,0.001,0.019,0.238
1.894,0.194,1.321,4.005,17.493,79.38,5.64,39.514,0.077,0.001,0.019,0.172
1.752,0.045,1.29,2.405,19.078,105.097,4.861,43.423,0.08,0.002,0.019,0.25
1.713,0.039,1.269,2.405,17.712,85.594,5.767,44.69,0.086,0.002,0.019,0.255
1.669,0.032,1.255,2.253,17.48,92.934,5.175,43.041,0.089,0.003,0.019,0.262
1.645,0.032,1.23,2.155,18.864,136.421,5.859,56.915,0.087,0.002,0.019,0.182
1.833,0.104,1.213,3.211,16.749,83.8,4.56,46.117,0.095,0.003,0.019,0.292
1.743,0.05,1.2,2.547,16.076,83.384,4.766,44.148,0.096,0.003,0.019,0.275
1.689,0.04,1.173,2.375,15.907,72.016,5.292,38.365,0.093,0.002,0.031,0.25
1.652,0.035,1.173,2.238,15.852,97.679,5.268,54.656,0.099,0.003,0.031,0.288
1.616,0.031,1.169,2.138,14.859,81.001,4.441,41.761,0.116,0.006,0.019,0.346
1.97,0.539,1.239,6.136,13.366,54.803,4.585,36.362,0.109,0.005,0.025,0.313
1.783,0.074,1.273,2.859,12.592,44.445,4.542,31.492,0.109,0.004,0.031,0.305
1.721,0.053,1.186,2.597,12.725,71.756,4.393,47.073,0.129,0.008,0.031,0.354
1.669,0.042,1.188,2.42,12.179,69.826,4.56,47.459,0.137,0.007,0.037,0.329
1.635,0.036,1.166,2.293,11.707,47.945,4.073,29.28,0.146,0.009,0.031,0.403
1.883,0.127,1.394,3.144,9.996,36.667,4.226,26.25,0.153,0.008,0.031,0.343
1.749,0.046,1.207,2.266,10.146,33.491,3.925,24.241,0.159,0.01,0.019,0.399
1.697,0.038,1.207,2.2,9.363,32.428,4.049,27.704,0.173,0.01,0.044,0.368
1.657,0.033,1.156,2.071,9.441,30.948,4.103,24.976,0.179,0.012,0.044,0.388
1.641,0.034,1.161,2.006,9.354,35.769,3.929,31.159,0.186,0.012,0.042,0.413
2.117,0.687,1.495,5.358,7.867,19.048,4.078,20.878,0.197,0.012,0.038,0.39
1.838,0.086,1.373,2.82,7.997,19.111,4.152,21.912,0.195,0.009,0.038,0.405
1.765,0.055,1.321,2.512,7.669,15.677,4.08,17.942,0.198,0.011,0.038,0.38
1.714,0.043,1.314,2.357,7.347,20.133,3.972,26.22,0.219,0.012,0.031,0.43
1.668,0.036,1.284,2.252,7.287,19.941,4.04,26.22,0.226,0.012,0.031,0.409
2.163,0.787,1.509,5.685,6.617,10.587,3.987,17.017,0.223,0.012,0.038,0.417
1.894,0.088,1.373,2.878,6.664,11.739,3.95,17.628,0.223,0.013,0.038,0.403
1.811,0.06,1.309,2.57,6.205,10.052,3.941,17.133,0.246,0.012,0.063,0.413
