TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.127,0.055,1.788,2.594,5.499,2.564,3.107,8.559,0.143,0.002,0.041,0.257
1.372,0.037,1.006,1.803,4.84,2.105,2.342,8.286,0.207,0.007,0.083,0.394
1.057,0.028,0.779,1.378,3.901,0.746,2.27,5.96,0.333,0.021,0.057,0.584
0.803,0.018,0.561,1.021,3.347,0.561,2.082,5.064,0.442,0.019,0.139,0.663
0.593,0.011,0.318,0.796,3.007,0.435,1.959,4.293,0.514,0.013,0.246,0.693
0.485,0.045,0.279,1.832,3.023,0.583,1.6,5.195,0.515,0.013,0.122,0.67
1.734,0.418,0.765,3.688,3.436,0.603,2.029,5.356,0.421,0.024,0.122,0.685
1.055,0.078,0.526,1.573,3.28,0.655,1.836,5.359,0.459,0.022,0.098,0.687
0.806,0.048,0.355,1.226,3.065,0.521,1.684,4.844,0.501,0.015,0.205,0.673
0.616,0.031,0.246,1.01,2.906,0.395,1.732,4.331,0.53,0.013,0.221,0.697
0.586,0.171,0.168,1.855,2.892,0.55,1.516,5.17,0.535,0.012,0.287,0.719
1.365,0.247,0.314,3.053,3.069,0.617,1.737,5.68,0.493,0.014,0.246,0.687
0.925,0.103,0.223,1.48,2.927,0.557,1.735,5.164,0.524,0.011,0.32,0.719
0.674,0.061,0.145,1.109,2.912,0.593,1.526,5.115,0.54,0.009,0.295,0.68
0.522,0.038,0.106,0.893,2.873,0.548,1.578,4.751,0.549,0.01,0.32,0.738
0.395,0.025,0.077,0.668,2.818,0.599,1.454,4.813,0.566,0.008,0.328,0.721
1.249,0.875,0.314,4.78,2.867,0.592,1.654,4.521,0.531,0.016,0.228,0.743
0.82,0.17,0.199,1.965,2.911,0.665,1.447,4.931,0.537,0.01,0.32,0.689
0.605,0.11,0.121,1.539,2.846,0.664,1.392,5.419,0.559,0.01,0.276,0.699
0.442,0.062,0.088,1.157,2.734,0.424,1.502,4.507,0.572,0.009,0.352,0.715
0.358,0.067,0.073,1.577,2.798,0.571,1.432,4.704,0.579,0.008,0.4,0.749
0.996,0.223,0.283,2.343,2.748,0.475,1.622,4.926,0.55,0.013,0.341,0.714
0.637,0.093,0.138,1.398,2.707,0.589,1.395,4.13,0.575,0.011,0.335,0.777
0.473,0.056,0.091,1.043,2.689,0.476,1.368,4.238,0.589,0.008,0.385,0.718
0.352,0.034,0.059,0.798,2.629,0.512,1.271,4.642,0.599,0.007,0.402,0.754
0.32,0.073,0.039,1.573,2.767,0.587,1.318,5.068,0.588,0.009,0.358,0.712
0.897,0.21,0.204,2.244,2.699,0.534,1.453,4.626,0.565,0.011,0.303,0.721
0.585,0.085,0.103,1.267,2.684,0.617,1.45,4.452,0.587,0.007,0.352,0.727
0.41,0.044,0.079,0.886,2.723,0.467,1.391,4.028,0.587,0.007,0.418,0.707
0.303,0.026,0.047,0.698,2.715,0.571,1.279,5.073,0.594,0.007,0.336,0.707
0.224,0.016,0.042,0.565,2.755,0.515,1.384,4.423,0.595,0.007,0.426,0.749
0.778,0.159,0.164,1.951,2.615,0.463,1.427,3.829,0.588,0.01,0.336,0.749
0.516,0.076,0.089,1.181,2.591,0.522,1.346,4.907,0.597,0.009,0.385,0.717
0.37,0.043,0.061,0.854,2.612,0.408,1.338,4.071,0.596,0.009,0.39,0.771
0.262,0.023,0.04,0.665,2.737,0.651,1.328,4.693,0.597,0.007,0.369,0.737
0.207,0.027,0.027,1.034,2.811,0.745,1.403,5.179,0.601,0.006,0.447,0.705
0.767,0.175,0.156,2.05,2.576,0.49,1.434,4.43,0.591,0.008,0.32,0.709
0.46,0.062,0.078,1.085,2.682,0.859,1.289,5.902,0.59,0.009,0.312,0.759
0.329,0.036,0.061,0.81,2.704,0.652,1.178,4.669,0.597,0.008,0.347,0.727
0.233,0.019,0.035,0.577,2.682,0.633,1.326,4.919,0.609,0.007,0.459,0.76
0.23,0.064,0.032,1.376,2.845,0.647,1.425,5.046,0.598,0.008,0.303,0.732
0.737,0.197,0.116,2.063,2.667,0.552,1.172,4.821,0.588,0.007,0.382,0.726
0.444,0.066,0.073,1.035,2.553,0.514,1.296,4.095,0.614,0.006,0.443,0.76
0.296,0.034,0.048,0.775,2.687,0.786,1.231,5.211,0.609,0.007,0.381,0.733
0.213,0.018,0.026,0.566,2.684,0.557,1.346,4.455,0.611,0.007,0.418,0.75
0.151,0.009,0.015,0.4,2.791,0.668,1.315,4.38,0.611,0.007,0.42,0.743
0.674,0.168,0.091,1.84,2.585,0.532,1.225,4.447,0.606,0.009,0.364,0.744
0.416,0.064,0.051,0.997,2.555,0.533,1.237,4.791,0.612,0.006,0.398,0.721
0.289,0.034,0.038,0.661,2.584,0.521,1.186,4.388,0.62,0.007,0.393,0.765
0.194,0.015,0.028,0.462,2.692,0.635,1.375,4.989,0.612,0.007,0.455,0.771
0.157,0.019,0.013,0.883,2.825,0.821,1.293,4.933,0.611,0.007,0.377,0.743
0.671,0.192,0.086,1.799,2.48,0.481,1.311,5.003,0.618,0.007,0.459,0.754
0.385,0.063,0.036,1.002,2.547,0.514,1.284,4.47,0.612,0.007,0.385,0.771
0.263,0.032,0.034,0.768,2.673,0.647,1.128,5.206,0.612,0.006,0.451,0.733
0.186,0.017,0.02,0.514,2.813,0.94,1.207,6.665,0.608,0.006,0.438,0.754
0.199,0.066,0.022,1.097,2.741,0.682,1.176,4.817,0.617,0.007,0.426,0.777
0.634,0.17,0.1,1.803,2.523,0.505,1.265,3.883,0.614,0.006,0.403,0.756
0.374,0.056,0.047,0.966,2.527,0.518,1.156,4.582,0.616,0.006,0.393,0.76
0.241,0.026,0.032,0.651,2.655,0.622,1.236,4.645,0.623,0.006,0.418,0.749
0.171,0.013,0.02,0.459,2.754,0.774,1.312,5.013,0.621,0.006,0.449,0.748
0.122,0.007,0.019,0.307,2.837,0.952,1.228,6.154,0.616,0.007,0.455,0.771
0.565,0.14,0.061,1.719,2.479,0.497,1.187,4.167,0.623,0.007,0.438,0.788
0.348,0.053,0.038,0.819,2.503,0.48,1.145,4.221,0.624,0.006,0.418,0.727
0.237,0.026,0.024,0.594,2.72,0.853,1.184,5.014,0.62,0.006,0.415,0.752
0.152,0.011,0.016,0.356,2.791,0.812,1.277,5.632,0.615,0.005,0.426,0.74
0.127,0.02,0.01,0.979,2.865,0.781,1.233,4.907,0.615,0.006,0.463,0.765
0.626,0.202,0.051,2.086,2.513,0.516,1.324,4.085,0.619,0.006,0.434,0.765
0.342,0.059,0.035,0.996,2.641,0.485,1.195,4.212,0.611,0.006,0.42,0.744
0.229,0.027,0.016,0.727,2.608,0.496,1.226,4.221,0.626,0.006,0.463,0.749
0.157,0.012,0.011,0.442,2.764,0.763,1.235,4.977,0.618,0.006,0.402,0.749
0.144,0.033,0.012,1.053,2.811,0.706,1.357,4.919,0.612,0.008,0.361,0.765
0.62,0.21,0.047,1.948,2.41,0.398,1.27,4.074,0.616,0.006,0.451,0.765
0.351,0.059,0.024,0.931,2.56,0.543,1.217,4.347,0.617,0.006,0.467,0.743
0.218,0.025,0.022,0.622,2.733,0.623,1.345,4.815,0.615,0.005,0.459,0.716
0.157,0.014,0.012,0.416,2.878,0.894,1.194,5.992,0.61,0.004,0.494,0.757
0.11,0.007,0.015,0.315,2.904,0.901,1.267,6.123,0.618,0.004,0.466,0.734
0.509,0.103,0.057,1.391,2.519,0.566,1.143,4.476,0.624,0.007,0.386,0.75
0.313,0.046,0.032,0.802,2.563,0.593,1.242,4.524,0.616,0.007,0.386,0.732
0.206,0.022,0.019,0.518,2.686,0.631,1.12,4.928,0.617,0.006,0.377,0.723
0.134,0.009,0.011,0.375,2.747,0.799,1.24,5.174,0.618,0.006,0.415,0.749
