TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.47,0.056,2.118,2.908,6.905,2.047,4.069,9.03,0.13,0.002,0.057,0.254
1.616,0.046,1.125,2.042,5.016,2.044,2.46,9.194,0.203,0.008,0.068,0.42
1.355,0.046,0.989,1.733,4.114,0.885,2.248,6.732,0.324,0.017,0.082,0.549
1.155,0.041,0.812,1.54,3.611,0.888,2.227,6.8,0.413,0.015,0.154,0.61
0.966,0.03,0.638,1.273,3.535,1.32,1.863,7.005,0.433,0.01,0.148,0.619
0.858,0.05,0.612,2.013,4.022,4.553,1.887,12.707,0.417,0.01,0.19,0.604
1.929,0.471,1.099,4.56,3.861,1.892,2.063,10.209,0.406,0.009,0.21,0.561
1.31,0.063,0.724,2.021,3.93,2.815,1.797,10.34,0.408,0.008,0.222,0.629
1.103,0.044,0.724,1.736,4.526,11.374,1.777,24.292,0.384,0.008,0.129,0.53
0.941,0.036,0.634,1.524,6.009,25.985,1.677,29.671,0.326,0.012,0.133,0.606
0.948,0.293,0.506,3.18,6.96,35.753,1.683,30.839,0.294,0.016,0.087,0.58
1.772,0.47,0.842,4.143,5.06,7.704,1.755,15.181,0.338,0.011,0.129,0.557
1.235,0.11,0.658,1.764,5.5,13.048,1.755,17.642,0.342,0.015,0.095,0.572
0.998,0.069,0.533,1.454,6.073,12.946,1.812,15.804,0.297,0.013,0.104,0.572
0.851,0.053,0.442,1.226,6.283,12.345,1.886,21.12,0.276,0.012,0.062,0.538
0.723,0.041,0.358,1.054,6.5,13.701,2.133,19.464,0.286,0.019,0.051,0.629
1.397,0.229,0.738,2.889,4.536,3.246,1.751,9.71,0.358,0.009,0.115,0.587
1.061,0.087,0.584,1.711,5.192,5.363,1.811,12.275,0.308,0.015,0.056,0.536
0.876,0.066,0.461,1.357,5.965,9.604,2.152,15.886,0.297,0.022,0.045,0.61
0.724,0.045,0.366,1.15,6.651,15.973,3.039,21.876,0.279,0.02,0.045,0.549
0.627,0.054,0.306,1.572,7.159,18.648,2.68,21.876,0.273,0.019,0.045,0.525
1.281,0.362,0.569,3.735,5.372,9.823,2.398,20.013,0.32,0.023,0.051,0.538
0.9,0.083,0.355,1.499,6.459,12.77,2.635,20.089,0.287,0.024,0.045,0.575
0.748,0.056,0.355,1.258,6.648,13.902,2.953,19.361,0.304,0.027,0.051,0.583
0.62,0.04,0.273,1.031,6.941,14.679,3.063,19.632,0.294,0.026,0.066,0.625
0.568,0.061,0.215,1.403,7.192,17.545,2.531,21.932,0.288,0.026,0.065,0.626
1.222,0.333,0.476,2.794,5.088,3.522,2.686,12.06,0.321,0.026,0.066,0.629
0.859,0.093,0.341,1.516,5.85,6.763,2.379,13.787,0.313,0.03,0.045,0.577
0.676,0.056,0.256,1.178,6.387,8.569,2.794,13.543,0.305,0.027,0.045,0.678
0.568,0.044,0.211,1.002,6.362,8.342,2.336,14.211,0.317,0.029,0.051,0.622
0.468,0.033,0.158,0.88,6.502,9.674,2.759,15.724,0.324,0.027,0.051,0.583
1.12,0.277,0.395,2.593,5.021,5.469,2.707,14.265,0.35,0.031,0.066,0.629
0.805,0.086,0.267,1.468,5.581,5.11,2.695,13.111,0.327,0.029,0.068,0.617
0.648,0.061,0.2,1.194,5.909,6.888,2.973,12.516,0.325,0.027,0.073,0.621
0.517,0.043,0.155,1.003,5.815,7.024,2.452,17.37,0.338,0.029,0.074,0.599
0.441,0.043,0.13,1.209,5.501,4.772,2.681,12.679,0.359,0.033,0.073,0.67
1.106,0.275,0.367,2.497,4.257,1.599,2.409,9.798,0.398,0.031,0.081,0.678
