,TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
67,2.051,0.664,1.537,5.749,9.024,10.108,7.21,23.393,0.336,0.01,0.0,0.454
68,2.034,0.607,1.532,5.523,8.956,9.24,7.183,22.447,0.336,0.01,0.0,0.452
69,2.013,0.534,1.529,5.307,8.871,8.105,7.154,21.537,0.338,0.01,0.0,0.451
70,1.993,0.469,1.526,5.079,8.79,7.102,7.125,20.662,0.339,0.01,0.0,0.452
71,2.061,0.84,1.522,6.101,9.063,12.961,7.086,24.821,0.34,0.01,0.0,0.456
72,2.037,0.741,1.52,5.849,8.968,11.399,7.065,23.818,0.341,0.01,0.0,0.457
73,2.015,0.655,1.516,5.619,8.878,10.022,7.041,22.853,0.342,0.01,0.0,0.457
74,1.994,0.575,1.513,5.382,8.798,8.803,7.014,21.926,0.344,0.01,0.0,0.457
75,1.975,0.507,1.513,5.168,8.72,7.726,6.989,21.038,0.345,0.01,0.0,0.457
76,2.069,1.022,1.509,6.277,9.104,15.831,6.973,25.425,0.342,0.01,0.0,0.452
77,2.045,0.904,1.507,6.024,9.009,13.986,6.957,24.402,0.344,0.01,0.0,0.452
78,2.022,0.798,1.502,5.779,8.918,12.343,6.939,23.412,0.345,0.01,0.0,0.455
79,2.0,0.705,1.501,5.531,8.831,10.883,6.922,22.467,0.346,0.01,0.0,0.455
