,TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
0,3.269,0.0,3.253,3.281,14.558,7.783,12.906,19.466,0.116,0.0,0.088,0.154
1,3.212,0.001,3.148,3.237,14.29,7.205,12.468,19.013,0.132,0.001,0.088,0.206
2,3.163,0.001,3.091,3.198,14.05,6.493,12.238,18.539,0.116,0.0,0.088,0.15
3,3.109,0.002,3.043,3.158,13.791,5.828,12.231,18.048,0.114,0.0,0.088,0.141
4,3.046,0.004,2.877,3.117,13.493,5.176,11.75,17.546,0.118,0.0,0.093,0.167
5,2.993,0.006,2.872,3.076,13.243,4.645,11.505,17.048,0.129,0.0,0.095,0.184
6,2.936,0.009,2.786,3.034,12.976,4.113,11.505,16.567,0.142,0.001,0.095,0.205
7,2.872,0.012,2.702,2.991,12.686,3.719,11.033,16.108,0.142,0.001,0.095,0.192
8,2.819,0.015,2.621,2.948,12.443,3.287,10.813,15.672,0.145,0.0,0.102,0.184
9,2.765,0.018,2.546,2.903,12.196,2.942,10.813,15.269,0.151,0.001,0.104,0.21
10,2.707,0.02,2.475,2.86,11.938,2.712,10.413,14.896,0.157,0.001,0.106,0.229
11,2.66,0.022,2.409,2.817,11.726,2.44,10.229,14.553,0.164,0.001,0.113,0.25
12,2.612,0.024,2.348,2.774,11.513,2.234,10.229,14.24,0.168,0.002,0.111,0.26
13,2.561,0.025,2.269,2.733,11.287,2.075,9.89,13.947,0.174,0.002,0.108,0.287
14,2.52,0.026,2.243,2.692,11.109,1.94,9.736,13.679,0.178,0.003,0.108,0.3
15,2.478,0.026,2.197,2.653,10.929,1.812,9.728,13.432,0.183,0.003,0.108,0.326
16,2.502,0.118,2.114,4.522,11.021,3.467,9.51,17.938,0.181,0.004,0.0,0.337
17,2.464,0.106,2.114,4.328,10.861,3.276,9.378,17.938,0.189,0.004,0.0,0.349
18,2.424,0.093,2.077,4.142,10.688,2.917,9.315,17.255,0.2,0.004,0.0,0.356
19,2.383,0.082,2.042,3.967,10.512,2.646,9.144,16.636,0.208,0.004,0.0,0.363
20,2.351,0.073,2.011,3.803,10.371,2.367,9.087,16.089,0.216,0.004,0.0,0.369
21,2.802,1.051,1.981,5.629,12.201,15.944,9.03,22.85,0.176,0.009,0.0,0.376
22,2.728,0.905,1.952,5.404,11.885,13.524,8.916,21.78,0.185,0.008,0.0,0.382
23,2.675,0.817,1.928,5.203,11.665,12.249,8.826,21.021,0.191,0.009,0.0,0.385
24,2.619,0.719,1.903,4.985,11.429,10.729,8.76,20.17,0.195,0.009,0.0,0.389
25,2.539,0.552,1.878,4.796,11.094,8.218,8.677,19.364,0.198,0.009,0.0,0.389
26,2.549,0.498,1.856,5.021,11.11,6.769,8.626,19.817,0.19,0.011,0.0,0.394
27,2.499,0.435,1.834,4.806,10.905,5.87,8.626,18.934,0.194,0.011,0.0,0.397
28,2.45,0.378,1.815,4.582,10.7,5.11,8.48,18.095,0.202,0.011,0.0,0.394
29,2.41,0.333,1.796,4.395,10.535,4.463,8.415,17.306,0.205,0.011,0.0,0.399
30,2.371,0.292,1.777,4.194,10.375,3.908,8.4,16.558,0.212,0.01,0.0,0.394
31,2.392,0.351,1.76,4.314,10.452,4.696,8.359,17.516,0.211,0.012,0.0,0.397
32,2.356,0.308,1.744,4.163,10.299,4.08,8.298,16.815,0.214,0.012,0.0,0.398
33,2.319,0.271,1.728,4.002,10.15,3.568,8.284,16.161,0.218,0.013,0.0,0.397
34,2.283,0.237,1.713,3.855,10.002,3.126,8.196,15.551,0.222,0.013,0.0,0.397
35,2.254,0.212,1.7,3.717,9.884,2.78,8.166,14.982,0.229,0.012,0.0,0.399
36,2.277,0.282,1.688,4.427,9.97,3.804,8.177,17.939,0.228,0.013,0.0,0.406
37,2.244,0.249,1.677,4.246,9.835,3.344,8.106,17.218,0.234,0.014,0.0,0.414
38,2.216,0.22,1.665,4.084,9.72,2.935,8.057,16.548,0.237,0.014,0.0,0.414
39,2.189,0.196,1.655,3.933,9.61,2.602,8.02,15.921,0.248,0.012,0.0,0.425
40,2.163,0.176,1.644,3.795,9.504,2.325,7.971,15.328,0.254,0.011,0.0,0.423
41,2.197,0.269,1.633,4.544,9.642,3.797,7.955,18.454,0.255,0.011,0.0,0.423
42,2.171,0.237,1.626,4.358,9.534,3.329,7.91,17.712,0.26,0.01,0.0,0.419
43,2.145,0.21,1.616,4.187,9.428,2.943,7.867,17.016,0.266,0.01,0.0,0.428
44,2.123,0.188,1.61,4.039,9.339,2.602,7.828,16.353,0.271,0.01,0.0,0.429
45,2.102,0.167,1.601,3.884,9.251,2.315,7.789,15.734,0.276,0.01,0.0,0.429
46,2.144,0.282,1.641,4.661,9.426,4.214,7.771,18.972,0.276,0.01,0.0,0.447
47,2.121,0.248,1.632,4.472,9.33,3.68,7.771,18.199,0.281,0.01,0.0,0.446
48,2.099,0.219,1.625,4.296,9.239,3.232,7.734,17.474,0.285,0.01,0.0,0.435
49,2.076,0.193,1.617,4.129,9.146,2.835,7.7,16.785,0.289,0.01,0.0,0.441
50,2.059,0.172,1.611,3.983,9.072,2.524,7.668,16.136,0.291,0.01,0.0,0.444
51,2.203,0.853,1.612,7.262,9.677,13.588,7.684,29.578,0.293,0.011,0.0,0.459
52,2.165,0.696,1.606,6.722,9.516,11.021,7.654,27.348,0.296,0.01,0.0,0.438
53,2.148,0.68,1.599,6.722,9.444,10.671,7.624,27.348,0.299,0.01,0.0,0.441
54,2.123,0.605,1.594,6.452,9.339,9.46,7.595,26.295,0.302,0.01,0.0,0.445
55,2.098,0.536,1.588,6.195,9.24,8.388,7.568,25.274,0.306,0.01,0.0,0.445
56,2.131,0.654,1.586,5.86,9.356,10.003,7.57,23.753,0.309,0.01,0.0,0.445
57,2.105,0.575,1.58,5.614,9.251,8.769,7.542,22.788,0.312,0.01,0.0,0.449
58,2.081,0.509,1.574,5.386,9.151,7.695,7.515,21.869,0.315,0.01,0.0,0.448
59,2.059,0.448,1.569,5.169,9.063,6.745,7.492,20.983,0.317,0.01,0.0,0.454
60,2.038,0.393,1.565,4.954,8.979,5.912,7.456,20.138,0.32,0.01,0.0,0.449
61,2.102,0.715,1.563,5.873,9.233,10.944,7.399,23.882,0.322,0.01,0.0,0.451
62,2.078,0.632,1.558,5.64,9.135,9.604,7.362,22.919,0.324,0.01,0.0,0.451
63,2.055,0.556,1.553,5.427,9.043,8.422,7.33,21.991,0.327,0.01,0.0,0.45
64,2.032,0.487,1.549,5.191,8.953,7.387,7.294,21.099,0.33,0.01,0.0,0.452
65,2.013,0.429,1.544,4.977,8.874,6.467,7.264,20.245,0.331,0.01,0.0,0.451
66,2.081,0.778,1.542,5.996,9.144,11.979,7.24,24.376,0.333,0.01,0.0,0.451
