TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.267,0.057,1.906,2.727,5.901,1.703,3.683,8.457,0.117,0.002,0.041,0.213
1.45,0.045,1.005,1.888,4.789,1.647,2.351,7.985,0.186,0.008,0.057,0.356
1.168,0.037,0.849,1.518,3.805,0.567,2.097,5.017,0.332,0.02,0.091,0.559
0.937,0.029,0.663,1.234,3.316,0.492,2.097,4.974,0.429,0.015,0.157,0.652
0.732,0.019,0.388,1.009,3.0,0.423,1.665,4.303,0.493,0.01,0.256,0.649
0.612,0.037,0.388,1.704,3.02,0.67,1.611,5.095,0.503,0.008,0.19,0.642
1.996,0.941,1.035,5.197,3.504,0.805,2.193,5.595,0.409,0.019,0.124,0.598
1.197,0.096,0.633,1.894,3.311,0.896,1.81,5.501,0.444,0.012,0.215,0.631
0.959,0.065,0.618,1.548,3.339,1.924,1.672,9.39,0.47,0.009,0.256,0.632
0.767,0.047,0.482,1.302,3.299,1.83,1.642,9.13,0.485,0.007,0.277,0.644
0.721,0.196,0.355,2.146,3.452,1.698,1.61,6.465,0.482,0.009,0.25,0.642
1.586,0.503,0.498,4.384,3.438,1.074,1.823,6.263,0.444,0.009,0.256,0.636
1.067,0.133,0.357,1.65,3.309,0.966,1.742,6.421,0.461,0.009,0.3,0.67
0.812,0.081,0.267,1.327,3.333,1.316,1.562,7.05,0.474,0.011,0.256,0.674
0.653,0.054,0.209,1.031,3.395,1.461,1.577,6.581,0.475,0.014,0.21,0.697
0.518,0.037,0.173,0.808,3.319,1.234,1.422,5.792,0.493,0.013,0.14,0.667
1.253,0.245,0.244,2.595,3.059,0.676,1.663,5.04,0.488,0.01,0.261,0.649
0.897,0.104,0.196,1.496,3.082,0.782,1.508,5.743,0.497,0.012,0.283,0.668
0.696,0.064,0.132,1.128,3.076,0.886,1.427,5.819,0.504,0.012,0.283,0.678
0.531,0.042,0.101,0.894,3.405,1.548,1.618,8.104,0.479,0.019,0.149,0.681
0.444,0.055,0.077,1.599,3.371,1.478,1.548,7.984,0.489,0.019,0.182,0.686
1.175,0.229,0.137,2.45,2.948,0.659,1.673,4.607,0.514,0.01,0.314,0.69
0.79,0.094,0.085,1.397,3.203,0.972,1.718,6.182,0.483,0.02,0.14,0.683
0.616,0.056,0.084,1.063,3.12,0.834,1.695,5.782,0.498,0.019,0.14,0.701
0.475,0.038,0.06,0.864,3.303,0.981,1.776,5.812,0.494,0.022,0.14,0.672
0.466,0.11,0.037,1.463,3.115,0.737,1.81,5.612,0.514,0.018,0.14,0.713
1.068,0.237,0.085,2.551,2.976,0.752,1.553,5.019,0.513,0.017,0.231,0.698
0.732,0.092,0.046,1.347,3.035,0.822,1.69,5.333,0.508,0.017,0.231,0.715
0.537,0.054,0.045,0.996,3.048,0.756,1.568,5.088,0.517,0.02,0.157,0.735
0.418,0.033,0.034,0.741,3.101,0.832,1.568,5.388,0.52,0.02,0.157,0.698
0.318,0.02,0.026,0.594,3.009,0.636,1.777,5.192,0.535,0.015,0.215,0.709
1.003,0.206,0.044,2.281,2.792,0.496,1.526,4.297,0.535,0.012,0.24,0.713
0.686,0.087,0.028,1.264,2.856,0.751,1.574,5.709,0.543,0.015,0.174,0.73
0.516,0.056,0.023,0.947,2.947,0.861,1.355,5.919,0.532,0.017,0.174,0.709
0.376,0.032,0.026,0.725,2.962,0.789,1.689,4.869,0.544,0.013,0.298,0.728
0.309,0.042,0.019,1.345,2.892,0.804,1.378,5.366,0.559,0.011,0.273,0.711
0.962,0.18,0.037,2.186,2.754,0.664,1.378,4.733,0.556,0.007,0.37,0.716
0.619,0.072,0.023,1.213,2.742,0.469,1.507,4.712,0.548,0.012,0.314,0.711
0.46,0.042,0.024,0.903,2.879,0.821,1.493,5.833,0.542,0.015,0.24,0.708
0.343,0.026,0.016,0.697,2.927,0.823,1.453,5.674,0.55,0.013,0.19,0.701
0.312,0.058,0.013,1.177,2.935,0.71,1.366,4.921,0.558,0.013,0.198,0.707
0.933,0.219,0.02,2.182,2.675,0.602,1.476,4.921,0.567,0.009,0.405,0.741
0.606,0.085,0.016,1.251,2.841,1.003,1.411,7.052,0.55,0.012,0.281,0.722
0.427,0.045,0.014,0.914,2.921,0.817,1.307,6.124,0.55,0.012,0.298,0.715
0.322,0.026,0.014,0.682,2.903,0.788,1.519,5.353,0.556,0.014,0.298,0.715
0.241,0.015,0.007,0.516,2.907,0.815,1.599,5.677,0.561,0.013,0.231,0.734
0.878,0.189,0.017,2.055,2.61,0.565,1.4,4.957,0.572,0.01,0.372,0.731
0.584,0.084,0.016,1.223,2.732,0.846,1.384,5.777,0.566,0.009,0.365,0.716
0.423,0.05,0.017,0.974,2.821,1.031,1.416,6.729,0.566,0.009,0.369,0.735
0.296,0.026,0.009,0.69,2.754,0.724,1.489,5.389,0.573,0.011,0.298,0.734
0.241,0.035,0.007,1.228,2.845,0.713,1.4,5.71,0.566,0.009,0.355,0.734
0.889,0.217,0.014,2.171,2.578,0.577,1.4,5.327,0.583,0.009,0.355,0.76
0.542,0.082,0.009,1.236,2.618,0.621,1.374,4.63,0.575,0.011,0.306,0.735
0.394,0.044,0.008,0.925,2.874,0.946,1.334,5.893,0.559,0.012,0.318,0.711
0.288,0.025,0.011,0.65,2.88,0.926,1.448,6.073,0.571,0.011,0.339,0.72
0.307,0.144,0.007,2.065,2.785,0.787,1.382,5.857,0.582,0.009,0.281,0.72
0.838,0.202,0.01,2.065,2.576,0.579,1.375,4.771,0.589,0.007,0.413,0.745
0.526,0.079,0.008,1.133,2.703,0.631,1.375,5.374,0.573,0.011,0.298,0.738
0.357,0.041,0.005,0.847,2.836,1.263,1.351,7.724,0.575,0.01,0.359,0.745
0.265,0.022,0.004,0.602,2.838,0.955,1.447,6.346,0.573,0.011,0.339,0.742
0.19,0.012,0.009,0.451,2.841,0.748,1.587,5.82,0.575,0.01,0.289,0.741
0.771,0.155,0.016,2.03,2.647,0.892,1.279,6.179,0.583,0.008,0.335,0.738
0.497,0.061,0.01,1.073,2.751,0.855,1.202,5.919,0.574,0.011,0.322,0.753
