TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.766,0.011,2.62,2.981,6.411,0.065,5.981,6.77,0.077,0.001,0.033,0.13
1.937,0.023,1.421,2.214,5.682,0.06,4.826,6.038,0.131,0.002,0.049,0.242
1.572,0.012,1.343,1.809,4.935,0.217,4.132,5.715,0.248,0.005,0.105,0.399
1.26,0.007,1.078,1.4,4.326,0.197,3.502,5.133,0.339,0.004,0.191,0.467
0.994,0.009,0.723,1.154,4.139,0.127,3.464,4.962,0.376,0.003,0.273,0.464
0.82,0.026,0.674,1.849,4.151,0.277,3.249,6.393,0.379,0.004,0.219,0.482
2.537,1.096,1.612,4.966,4.613,0.243,3.676,5.472,0.302,0.005,0.13,0.453
1.614,0.126,1.042,2.34,4.219,0.182,3.429,5.197,0.351,0.005,0.201,0.486
1.302,0.093,0.821,1.863,4.121,0.145,3.368,4.88,0.375,0.003,0.286,0.512
1.046,0.063,0.753,1.558,4.393,0.285,3.379,5.516,0.346,0.004,0.209,0.486
0.996,0.66,0.439,5.006,5.071,1.355,3.565,9.077,0.295,0.011,0.107,0.474
2.166,1.252,0.439,5.017,4.674,0.945,3.471,9.181,0.312,0.01,0.056,0.482
1.434,0.216,0.335,2.391,5.077,2.217,3.217,11.363,0.295,0.012,0.075,0.53
1.099,0.126,0.208,1.871,5.932,4.037,3.448,11.807,0.255,0.012,0.051,0.498
0.881,0.086,0.183,1.548,6.541,5.454,3.559,13.383,0.232,0.011,0.074,0.444
0.709,0.063,0.134,1.245,6.453,4.312,3.201,11.808,0.246,0.012,0.056,0.551
1.649,0.275,0.944,3.703,5.146,1.801,3.344,10.824,0.274,0.008,0.099,0.502
1.206,0.051,0.8,1.803,5.697,2.551,3.464,11.146,0.24,0.009,0.07,0.49
0.943,0.032,0.61,1.387,5.786,3.151,3.506,10.605,0.255,0.011,0.065,0.457
0.72,0.023,0.41,1.112,5.939,4.05,3.375,14.506,0.261,0.013,0.056,0.528
0.588,0.03,0.392,1.45,5.91,5.222,3.069,12.343,0.29,0.016,0.074,0.543
1.541,0.266,0.882,2.849,4.871,1.129,3.091,7.254,0.298,0.01,0.094,0.526
1.042,0.059,0.645,1.58,5.132,2.909,3.124,10.649,0.313,0.014,0.069,0.548
0.815,0.04,0.477,1.267,4.83,1.372,3.143,7.882,0.33,0.008,0.113,0.502
0.626,0.026,0.335,1.013,5.142,2.497,3.272,9.84,0.323,0.012,0.094,0.506
0.547,0.047,0.25,1.241,4.902,1.267,2.974,8.098,0.344,0.009,0.156,0.526
1.424,0.301,0.657,2.983,4.181,0.591,3.008,7.224,0.386,0.008,0.112,0.559
0.976,0.076,0.476,1.691,4.478,0.931,3.17,7.095,0.363,0.009,0.159,0.512
0.714,0.046,0.383,1.301,4.708,1.226,3.184,8.229,0.357,0.008,0.106,0.522
0.549,0.028,0.286,1.022,4.928,2.183,2.809,9.721,0.347,0.011,0.099,0.579
0.409,0.016,0.182,0.744,5.122,2.006,3.069,10.321,0.335,0.011,0.13,0.581
1.286,0.31,0.596,3.237,4.535,1.219,3.012,8.075,0.361,0.008,0.167,0.525
0.883,0.1,0.323,1.861,4.821,1.512,3.252,7.735,0.341,0.009,0.129,0.498
0.656,0.052,0.225,1.335,4.626,1.8,2.944,8.811,0.366,0.011,0.18,0.534
0.472,0.031,0.213,0.998,4.958,1.654,3.109,9.662,0.34,0.01,0.13,0.541
0.373,0.025,0.122,0.97,4.977,1.416,3.087,8.463,0.352,0.009,0.173,0.556
1.26,0.338,0.563,2.968,4.11,0.926,2.849,7.231,0.406,0.008,0.125,0.559
0.801,0.106,0.33,1.706,4.184,0.83,2.685,8.096,0.396,0.007,0.194,0.579
0.592,0.051,0.265,1.223,4.413,1.471,2.689,8.284,0.394,0.012,0.143,0.583
0.434,0.029,0.196,0.882,4.401,1.044,3.016,7.825,0.396,0.008,0.18,0.543
