TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.246,0.007,3.062,3.348,8.319,1.818,7.199,10.905,0.046,0.0,0.01,0.113
2.324,0.028,1.825,2.546,7.611,1.513,6.22,10.472,0.077,0.002,0.01,0.165
1.858,0.01,1.544,2.051,6.841,0.397,5.669,8.356,0.146,0.006,0.013,0.303
1.469,0.006,1.319,1.658,6.266,0.544,5.014,8.181,0.217,0.005,0.086,0.348
1.119,0.01,0.825,1.305,6.035,1.06,4.779,9.733,0.254,0.002,0.164,0.363
0.912,0.049,0.774,2.401,6.307,2.19,4.433,11.699,0.25,0.003,0.153,0.358
2.54,0.844,1.746,5.867,6.126,0.711,4.474,7.974,0.233,0.005,0.093,0.388
1.729,0.119,1.346,2.651,5.906,1.15,4.661,10.169,0.266,0.003,0.179,0.375
1.364,0.088,0.985,2.065,6.126,2.917,4.448,14.386,0.258,0.005,0.063,0.364
1.059,0.06,0.759,1.619,6.481,3.32,4.551,15.552,0.248,0.005,0.097,0.388
0.946,0.315,0.581,3.879,7.15,4.78,4.538,13.116,0.229,0.007,0.03,0.371
2.095,0.318,0.95,3.981,5.888,1.513,4.212,9.993,0.272,0.004,0.129,0.401
1.534,0.101,0.787,2.45,6.44,2.57,4.406,9.509,0.246,0.007,0.075,0.411
1.139,0.074,0.45,1.916,7.175,6.196,4.22,13.878,0.228,0.009,0.07,0.397
0.868,0.044,0.338,1.518,7.621,6.028,4.354,13.878,0.214,0.009,0.059,0.39
0.647,0.026,0.261,1.191,7.686,4.323,4.576,13.469,0.209,0.007,0.069,0.378
1.921,0.52,0.942,4.397,6.205,2.569,4.221,12.391,0.263,0.008,0.114,0.408
1.375,0.13,0.61,2.519,6.812,4.919,4.162,17.22,0.227,0.009,0.065,0.404
1.026,0.076,0.415,1.936,6.905,1.813,5.321,11.63,0.227,0.008,0.05,0.434
0.748,0.055,0.279,1.507,7.464,3.155,5.347,11.958,0.222,0.009,0.03,0.427
0.578,0.044,0.201,1.318,7.811,4.742,4.822,14.177,0.218,0.01,0.026,0.408
1.743,0.406,0.72,4.224,5.737,0.898,4.401,8.225,0.293,0.006,0.104,0.427
1.171,0.136,0.417,2.338,6.041,1.47,4.202,11.35,0.288,0.008,0.074,0.461
0.872,0.078,0.271,1.783,6.806,4.077,4.514,15.017,0.266,0.012,0.02,0.431
0.637,0.048,0.176,1.41,7.184,4.919,4.585,13.308,0.255,0.012,0.046,0.446
0.603,0.24,0.134,3.126,7.295,5.591,4.717,13.975,0.259,0.012,0.069,0.446
1.668,0.591,0.515,4.407,6.109,1.383,4.349,8.962,0.28,0.01,0.079,0.461
1.102,0.171,0.305,2.296,6.477,2.435,4.656,11.887,0.27,0.01,0.066,0.468
0.764,0.093,0.185,1.591,6.409,2.15,4.43,10.685,0.284,0.008,0.074,0.461
0.559,0.053,0.121,1.17,6.297,1.778,4.613,10.118,0.291,0.007,0.079,0.453
0.4,0.03,0.078,0.912,6.323,1.524,4.534,9.625,0.295,0.008,0.106,0.457
1.563,0.473,0.717,3.793,5.49,1.111,3.739,8.946,0.32,0.006,0.139,0.487
1.048,0.125,0.442,2.178,5.572,0.875,3.908,8.106,0.319,0.005,0.099,0.446
0.736,0.067,0.295,1.607,5.487,1.015,3.873,8.827,0.335,0.004,0.158,0.442
0.497,0.037,0.181,1.251,5.458,1.005,3.804,7.412,0.348,0.003,0.192,0.437
0.379,0.038,0.119,1.247,5.579,1.013,3.76,7.508,0.343,0.002,0.248,0.43
1.519,0.487,0.465,4.039,5.206,0.902,3.622,7.927,0.349,0.003,0.208,0.487
0.944,0.147,0.243,2.211,5.201,0.946,3.523,8.091,0.354,0.004,0.203,0.483
0.666,0.075,0.153,1.628,5.371,1.047,3.751,8.696,0.351,0.004,0.158,0.464
0.466,0.042,0.113,1.233,5.388,1.108,3.522,8.126,0.353,0.004,0.099,0.491
0.428,0.117,0.069,1.425,5.531,1.195,3.495,7.922,0.348,0.004,0.153,0.464
1.587,0.67,0.688,4.225,4.962,0.936,3.495,7.815,0.37,0.004,0.219,0.497
1.001,0.175,0.379,2.134,5.232,1.036,3.475,8.369,0.358,0.004,0.209,0.493
0.665,0.095,0.158,1.505,5.166,0.782,3.259,7.43,0.369,0.004,0.238,0.523
0.468,0.047,0.158,1.111,5.288,1.053,3.768,8.565,0.357,0.004,0.139,0.483
0.323,0.025,0.098,0.818,5.33,1.054,3.891,8.388,0.37,0.003,0.238,0.49
1.355,0.491,0.567,3.9,4.96,0.83,3.326,7.183,0.382,0.004,0.199,0.506
0.864,0.124,0.312,2.065,5.042,0.934,3.506,7.841,0.375,0.004,0.158,0.477
0.584,0.062,0.175,1.458,5.169,0.848,3.845,7.309,0.37,0.003,0.174,0.476
0.385,0.034,0.107,1.039,5.241,1.238,3.698,8.885,0.378,0.003,0.272,0.479
0.289,0.03,0.085,1.12,5.424,1.237,3.529,8.146,0.363,0.005,0.139,0.479
1.382,0.485,0.507,3.713,4.898,0.881,3.618,7.293,0.39,0.003,0.233,0.49
0.804,0.111,0.263,2.007,4.947,1.176,3.386,9.372,0.39,0.003,0.233,0.493
0.56,0.072,0.159,1.401,5.057,0.952,3.799,8.845,0.386,0.003,0.252,0.498
0.374,0.036,0.102,0.999,5.152,0.933,3.739,8.03,0.38,0.003,0.228,0.491
0.393,0.29,0.066,3.543,5.35,1.02,3.846,8.479,0.376,0.003,0.185,0.477
1.273,0.379,0.45,3.543,4.826,0.936,3.233,7.248,0.4,0.003,0.228,0.497
0.776,0.122,0.21,2.052,4.893,0.867,3.389,7.467,0.396,0.004,0.119,0.507
0.492,0.063,0.101,1.412,4.996,0.875,3.718,7.435,0.396,0.003,0.287,0.523
0.337,0.029,0.081,0.994,5.199,1.126,3.575,8.358,0.382,0.004,0.188,0.479
0.228,0.015,0.059,0.716,5.24,1.235,3.5,8.903,0.394,0.002,0.278,0.479
1.26,0.479,0.382,3.639,4.915,1.082,3.237,7.328,0.395,0.004,0.211,0.523
0.785,0.146,0.18,1.963,4.953,1.079,3.31,7.844,0.396,0.005,0.134,0.483
0.514,0.068,0.111,1.312,5.035,1.148,3.338,8.234,0.39,0.003,0.168,0.517
0.334,0.035,0.066,0.926,5.219,1.009,3.769,8.449,0.384,0.003,0.265,0.476
0.251,0.031,0.05,1.106,5.288,1.146,3.433,8.404,0.391,0.003,0.238,0.49
1.263,0.387,0.236,3.408,4.741,0.948,3.069,7.869,0.416,0.003,0.257,0.498
0.718,0.116,0.127,1.908,4.956,1.077,3.347,8.017,0.395,0.004,0.243,0.509
0.482,0.055,0.082,1.28,4.982,1.08,3.454,9.459,0.401,0.002,0.282,0.479
0.318,0.025,0.058,0.889,5.313,1.288,3.602,9.043,0.38,0.004,0.188,0.464
0.306,0.086,0.045,1.436,5.183,1.263,3.31,8.246,0.396,0.003,0.188,0.477
1.207,0.417,0.176,3.459,4.849,1.221,3.127,7.685,0.411,0.003,0.258,0.517
0.725,0.124,0.083,1.941,4.813,1.256,3.105,8.315,0.407,0.003,0.278,0.526
0.443,0.057,0.055,1.336,5.04,1.035,3.648,7.819,0.398,0.004,0.219,0.517
0.299,0.025,0.035,0.872,5.114,1.187,3.624,8.555,0.398,0.003,0.282,0.503
0.199,0.011,0.034,0.626,5.284,1.227,3.623,8.577,0.395,0.003,0.213,0.51
1.191,0.395,0.194,3.304,4.726,1.021,3.242,7.305,0.414,0.003,0.272,0.51
0.721,0.125,0.097,1.866,4.86,1.012,3.224,8.15,0.403,0.004,0.213,0.509
0.468,0.058,0.051,1.263,4.914,0.94,3.315,7.766,0.404,0.003,0.262,0.49
0.291,0.024,0.038,0.852,5.154,1.211,3.552,9.439,0.402,0.004,0.166,0.526
