TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.226,0.005,3.109,3.331,7.734,0.08,7.282,8.147,0.06,0.0,0.024,0.098
2.479,0.013,2.06,2.674,6.005,0.119,5.009,6.593,0.11,0.003,0.043,0.294
2.193,0.013,2.016,2.426,5.317,0.111,4.752,5.919,0.186,0.005,0.061,0.322
1.971,0.013,1.783,2.187,4.919,0.169,4.213,5.853,0.246,0.006,0.062,0.402
1.771,0.015,1.459,1.987,4.852,0.289,3.967,5.894,0.266,0.006,0.153,0.416
1.696,0.237,1.459,5.002,5.217,0.902,3.946,8.688,0.25,0.006,0.1,0.397
3.471,2.35,2.016,6.65,5.453,0.601,4.429,7.054,0.213,0.008,0.037,0.36
2.223,0.117,1.802,2.863,4.942,0.17,4.107,5.835,0.248,0.004,0.13,0.395
1.972,0.068,1.632,2.398,5.13,0.49,3.901,7.384,0.239,0.005,0.113,0.407
1.787,0.054,1.481,2.175,6.235,4.258,3.862,12.954,0.204,0.007,0.042,0.411
1.668,0.063,1.355,2.259,7.78,13.655,3.812,24.501,0.159,0.006,0.042,0.407
2.85,2.141,1.633,6.564,6.066,3.434,4.144,11.454,0.189,0.009,0.031,0.372
2.002,0.123,1.481,2.827,7.431,10.297,4.172,19.344,0.156,0.007,0.031,0.322
1.768,0.071,1.246,2.346,9.592,21.15,3.961,26.529,0.123,0.006,0.023,0.402
1.611,0.052,1.246,2.155,11.928,19.902,5.702,26.529,0.098,0.002,0.042,0.209
1.471,0.044,1.137,2.003,13.221,28.898,5.623,30.872,0.09,0.002,0.031,0.192
2.264,0.942,1.369,5.996,7.753,9.317,4.419,20.471,0.148,0.005,0.043,0.356
1.808,0.092,1.334,2.716,9.775,13.818,4.98,20.471,0.111,0.002,0.042,0.209
1.623,0.062,1.205,2.382,11.32,17.965,5.613,20.911,0.104,0.002,0.042,0.234
1.456,0.048,1.102,2.141,13.802,42.783,5.133,33.045,0.1,0.002,0.031,0.256
1.347,0.048,1.003,2.029,13.75,32.391,6.369,29.846,0.099,0.002,0.037,0.218
1.949,0.585,1.108,5.932,10.406,27.882,4.542,29.904,0.12,0.004,0.038,0.318
1.578,0.093,1.012,2.525,11.69,22.966,4.823,28.775,0.105,0.003,0.031,0.335
1.433,0.068,0.938,2.16,13.314,36.904,5.412,34.282,0.103,0.002,0.037,0.234
1.296,0.054,0.854,1.932,16.286,46.61,5.174,38.023,0.094,0.002,0.037,0.289
1.214,0.062,0.78,1.916,15.697,52.014,7.684,46.711,0.085,0.001,0.037,0.197
1.677,0.263,1.112,3.803,12.001,38.543,4.906,34.645,0.114,0.005,0.037,0.311
1.421,0.085,0.995,2.272,13.716,32.334,5.526,31.994,0.091,0.002,0.042,0.209
1.255,0.062,0.881,1.953,15.056,38.755,6.099,35.777,0.088,0.002,0.019,0.188
