TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
4.517,0.002,4.415,4.574,9.227,7.564,4.506,12.632,0.088,0.0,0.052,0.115
3.781,0.102,3.031,4.297,7.19,2.765,3.565,9.102,0.09,0.0,0.05,0.125
2.994,0.159,2.496,3.738,5.871,1.666,2.928,7.359,0.089,0.0,0.017,0.131
2.58,0.048,2.408,3.075,5.348,2.297,2.905,7.352,0.088,0.0,0.04,0.128
2.449,0.006,2.405,2.655,5.229,2.761,2.497,7.502,0.085,0.0,0.041,0.135
2.454,0.039,2.398,3.789,5.303,3.057,2.484,9.027,0.084,0.0,0.04,0.149
3.516,0.614,2.405,7.0,6.984,22.204,3.001,35.503,0.09,0.001,0.0,0.149
2.636,0.071,2.407,4.137,5.689,9.901,2.515,24.29,0.086,0.0,0.047,0.149
2.449,0.003,2.408,2.677,6.08,22.68,2.493,35.516,0.087,0.0,0.053,0.149
2.429,0.001,2.402,2.506,8.328,291.634,2.491,124.449,0.081,0.0,0.04,0.128
2.545,0.3,2.403,6.19,6.717,52.926,2.486,53.894,0.082,0.001,0.0,0.149
3.083,1.104,2.403,6.569,8.964,179.028,2.502,87.486,0.074,0.001,0.0,0.131
2.542,0.074,2.406,3.818,5.875,14.736,2.486,28.994,0.085,0.0,0.041,0.131
2.444,0.003,2.406,2.678,6.072,11.751,2.479,22.666,0.086,0.0,0.033,0.149
2.431,0.001,2.407,2.504,5.88,7.4,2.478,16.983,0.089,0.0,0.051,0.132
2.429,0.001,2.405,2.506,5.887,8.613,2.475,20.33,0.085,0.0,0.041,0.134
2.795,0.263,2.408,4.28,5.622,4.536,2.491,12.452,0.086,0.001,0.0,0.134
2.457,0.003,2.405,2.664,6.079,10.7,2.478,22.153,0.084,0.0,0.0,0.118
2.433,0.001,2.408,2.508,6.075,13.569,2.478,27.383,0.088,0.0,0.047,0.128
2.431,0.001,2.405,2.51,6.495,22.99,2.495,33.881,0.085,0.0,0.041,0.149
2.431,0.001,2.404,2.527,5.784,7.11,2.484,18.115,0.086,0.0,0.033,0.116
2.77,0.2,2.406,3.997,5.706,7.206,2.484,19.228,0.081,0.0,0.0,0.149
2.448,0.002,2.405,2.532,8.04,121.007,2.494,70.162,0.081,0.001,0.0,0.131
2.433,0.001,2.403,2.514,8.309,147.163,2.489,74.715,0.082,0.001,0.0,0.135
2.432,0.001,2.402,2.515,6.537,35.924,2.483,43.89,0.082,0.001,0.0,0.14
2.449,0.008,2.401,2.977,5.929,7.692,2.494,14.813,0.079,0.0,0.041,0.116
2.731,0.164,2.402,3.733,5.52,3.94,2.485,11.159,0.087,0.001,0.0,0.149
2.442,0.001,2.401,2.514,7.455,90.4,2.512,63.445,0.083,0.001,0.0,0.123
2.432,0.001,2.402,2.513,7.744,84.651,2.476,52.168,0.082,0.001,0.0,0.14
2.433,0.001,2.398,2.517,5.537,4.342,2.494,13.204,0.087,0.0,0.047,0.125
2.431,0.001,2.399,2.511,5.86,10.796,2.474,23.343,0.086,0.001,0.0,0.149
2.673,0.133,2.4,3.822,6.753,94.97,2.479,73.101,0.088,0.001,0.0,0.149
2.439,0.001,2.4,2.521,6.727,94.805,2.495,73.101,0.084,0.001,0.0,0.131
2.433,0.001,2.399,2.517,8.465,234.529,2.493,87.348,0.084,0.001,0.0,0.116
2.432,0.001,2.399,2.52,6.356,30.776,2.488,39.261,0.085,0.001,0.0,0.123
2.432,0.001,2.399,2.528,5.606,5.173,2.483,13.053,0.087,0.0,0.04,0.129
2.824,0.235,2.398,4.29,5.349,3.132,2.507,8.743,0.088,0.001,0.0,0.131
2.445,0.002,2.399,2.546,7.543,242.847,2.519,114.869,0.085,0.001,0.0,0.131
2.434,0.001,2.398,2.518,6.053,30.092,2.505,42.22,0.087,0.001,0.0,0.131
2.433,0.001,2.396,2.517,6.512,70.985,2.489,63.619,0.086,0.001,0.0,0.149
2.459,0.017,2.399,3.237,5.53,4.501,2.492,13.657,0.081,0.001,0.0,0.131
2.822,0.462,2.399,5.673,5.396,3.089,2.508,8.194,0.083,0.001,0.0,0.128
2.454,0.005,2.398,2.739,5.342,3.119,2.493,9.131,0.089,0.0,0.041,0.128
2.433,0.001,2.398,2.522,5.325,3.104,2.486,9.121,0.091,0.0,0.058,0.128
2.433,0.001,2.398,2.517,5.344,3.215,2.485,9.74,0.087,0.0,0.0,0.131
2.433,0.001,2.397,2.517,5.335,3.051,2.5,8.31,0.09,0.0,0.053,0.132
2.705,0.166,2.405,4.056,5.501,4.625,2.492,14.494,0.084,0.0,0.0,0.119
2.439,0.001,2.401,2.526,5.673,4.914,2.492,14.659,0.086,0.001,0.0,0.131
2.433,0.001,2.399,2.524,5.468,3.375,2.501,9.072,0.088,0.0,0.017,0.131
2.431,0.002,2.399,2.522,5.484,4.083,2.489,12.479,0.087,0.001,0.0,0.123
2.432,0.002,2.398,2.547,5.484,4.346,2.483,12.479,0.086,0.001,0.0,0.135
2.748,0.254,2.402,5.423,6.314,21.971,2.479,35.285,0.081,0.001,0.0,0.131
2.442,0.002,2.398,2.592,5.558,4.444,2.491,11.57,0.081,0.0,0.0,0.125
2.433,0.002,2.398,2.522,5.522,4.567,2.491,11.596,0.089,0.0,0.033,0.131
