TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.182,0.01,2.973,3.351,8.1,2.208,7.009,11.114,0.052,0.0,0.013,0.1
2.186,0.034,1.595,2.449,7.64,1.519,5.605,10.332,0.091,0.002,0.02,0.203
1.668,0.009,1.322,1.865,6.798,0.607,5.243,8.51,0.171,0.005,0.046,0.299
1.229,0.004,1.117,1.373,6.265,0.764,5.219,8.409,0.24,0.003,0.125,0.37
0.857,0.007,0.601,1.002,5.894,1.028,4.556,8.197,0.291,0.002,0.203,0.406
0.647,0.04,0.56,2.009,5.986,1.338,4.556,8.946,0.29,0.002,0.217,0.388
2.448,1.007,0.416,4.504,6.404,1.777,4.63,9.622,0.225,0.004,0.089,0.399
1.538,0.224,0.28,2.482,5.902,1.42,4.23,8.773,0.278,0.002,0.208,0.401
1.138,0.156,0.182,1.894,5.776,1.542,4.313,9.493,0.301,0.002,0.233,0.38
0.812,0.093,0.121,1.41,5.791,1.451,4.538,8.984,0.314,0.001,0.243,0.399
0.716,0.339,0.094,2.982,5.898,1.793,4.092,9.848,0.312,0.002,0.224,0.428
1.991,0.201,0.316,2.982,5.556,1.025,4.437,7.88,0.317,0.002,0.237,0.458
1.367,0.101,0.316,1.981,5.479,0.966,4.037,7.847,0.322,0.002,0.224,0.443
0.928,0.069,0.155,1.478,5.587,1.184,3.973,9.136,0.328,0.002,0.228,0.446
0.656,0.036,0.099,1.069,5.642,1.102,4.155,8.809,0.328,0.002,0.228,0.454
0.45,0.02,0.099,0.765,5.695,1.07,4.383,8.159,0.342,0.002,0.262,0.448
1.674,0.175,0.967,3.581,5.224,0.898,4.074,7.558,0.348,0.002,0.228,0.472
1.144,0.057,0.591,1.945,5.247,0.946,4.023,7.973,0.353,0.002,0.27,0.472
0.772,0.031,0.381,1.272,5.298,0.697,3.927,7.472,0.353,0.002,0.243,0.476
0.507,0.02,0.148,0.861,5.425,0.974,4.062,8.423,0.354,0.002,0.276,0.513
0.371,0.025,0.148,1.29,5.441,1.078,4.23,8.07,0.354,0.002,0.283,0.469
1.57,0.247,0.978,3.463,5.055,0.702,4.045,6.816,0.374,0.003,0.233,0.481
0.963,0.081,0.478,1.892,5.101,1.119,3.57,7.849,0.377,0.002,0.252,0.476
0.649,0.038,0.306,1.303,5.212,0.936,3.996,7.669,0.378,0.002,0.289,0.472
