TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.83,0.042,2.559,3.202,7.869,3.705,4.247,10.086,0.111,0.001,0.039,0.22
1.916,0.032,1.529,2.306,5.306,1.191,2.747,6.571,0.204,0.006,0.074,0.36
1.649,0.044,1.267,2.065,4.193,0.622,2.393,5.803,0.307,0.016,0.074,0.534
1.454,0.044,1.102,1.861,3.868,0.808,2.387,5.819,0.354,0.012,0.131,0.556
1.286,0.04,0.913,1.699,4.451,3.65,2.079,10.055,0.331,0.009,0.126,0.48
1.185,0.055,0.856,2.187,5.961,16.046,1.984,17.186,0.29,0.013,0.093,0.532
2.353,0.633,1.413,4.787,4.946,3.679,2.292,10.491,0.271,0.008,0.066,0.474
1.601,0.059,0.998,2.038,6.844,29.49,2.043,22.125,0.245,0.01,0.06,0.459
1.393,0.043,0.998,1.765,9.393,88.61,1.985,45.013,0.222,0.012,0.049,0.468
1.24,0.039,0.908,1.574,12.47,154.05,1.974,56.348,0.192,0.01,0.053,0.509
1.279,0.614,0.794,6.162,15.978,205.836,2.04,60.231,0.16,0.007,0.052,0.422
1.723,0.788,0.738,6.162,12.604,147.249,2.134,51.069,0.185,0.008,0.053,0.344
1.331,0.168,0.664,2.227,15.44,208.222,1.982,70.089,0.186,0.011,0.049,0.426
1.165,0.118,0.602,1.9,18.376,255.766,1.932,64.715,0.156,0.007,0.049,0.38
1.055,0.096,0.544,1.708,17.973,168.73,2.269,51.177,0.131,0.003,0.049,0.298
0.957,0.082,0.488,1.567,20.358,245.354,2.396,68.572,0.138,0.002,0.053,0.306
1.479,0.558,0.496,3.947,15.381,205.319,2.167,57.772,0.164,0.005,0.072,0.318
1.182,0.219,0.448,2.057,17.171,196.493,2.29,51.267,0.133,0.002,0.082,0.264
1.044,0.164,0.4,1.782,18.127,136.641,2.727,42.423,0.124,0.002,0.064,0.23
0.922,0.125,0.364,1.551,20.695,174.923,3.911,58.832,0.115,0.002,0.05,0.225
0.853,0.125,0.335,1.906,19.736,130.174,2.833,58.832,0.117,0.002,0.05,0.276
1.282,0.424,0.297,3.217,15.272,134.223,2.358,57.881,0.123,0.002,0.052,0.213
1.015,0.193,0.264,1.793,18.295,150.685,2.623,56.878,0.122,0.003,0.052,0.276
0.903,0.154,0.243,1.54,18.423,153.627,3.424,70.02,0.118,0.002,0.041,0.243
0.811,0.126,0.225,1.372,17.723,77.313,3.764,47.293,0.121,0.002,0.041,0.243
0.776,0.166,0.185,2.28,19.722,152.634,5.21,76.727,0.116,0.002,0.041,0.223
1.232,0.706,0.167,5.496,14.193,80.977,5.059,53.0,0.13,0.003,0.041,0.267
0.926,0.155,0.151,1.823,16.359,74.232,5.734,45.425,0.122,0.003,0.041,0.321
0.801,0.111,0.133,1.485,17.22,57.313,5.045,38.83,0.127,0.002,0.041,0.248
