TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.372,0.006,3.256,3.465,8.129,0.076,7.646,8.45,0.058,0.0,0.028,0.112
2.683,0.01,2.383,2.835,6.246,0.219,5.147,7.015,0.122,0.002,0.037,0.243
2.429,0.011,2.244,2.617,5.442,0.097,4.862,5.886,0.187,0.003,0.086,0.313
2.217,0.012,2.024,2.423,5.184,0.084,4.61,5.826,0.212,0.003,0.099,0.315
2.027,0.015,1.734,2.262,6.199,1.942,4.638,11.566,0.155,0.004,0.049,0.306
1.9,0.018,1.723,2.527,8.76,14.394,4.679,21.457,0.11,0.003,0.029,0.3
3.121,0.865,2.24,5.388,5.68,0.483,4.758,8.334,0.18,0.005,0.056,0.296
2.321,0.053,2.038,2.76,7.157,8.679,4.852,19.232,0.136,0.004,0.037,0.31
2.111,0.029,1.851,2.446,10.882,42.589,5.384,38.259,0.091,0.001,0.037,0.198
1.948,0.022,1.722,2.254,16.842,100.119,6.474,62.115,0.073,0.001,0.031,0.185
1.839,0.031,1.587,2.334,22.925,100.949,8.266,59.873,0.062,0.0,0.019,0.117
2.519,1.238,1.595,6.81,16.309,100.539,5.21,46.751,0.085,0.002,0.037,0.227
2.015,0.096,1.495,2.745,21.046,116.442,5.563,54.129,0.076,0.001,0.029,0.21
1.831,0.065,1.357,2.369,24.869,142.876,6.579,68.729,0.071,0.001,0.023,0.198
1.709,0.05,1.261,2.157,27.732,137.508,11.721,70.885,0.066,0.001,0.023,0.117
1.592,0.041,1.175,1.992,26.907,88.935,9.338,54.588,0.066,0.001,0.029,0.188
1.856,0.177,1.242,3.498,23.32,89.223,10.575,49.096,0.066,0.001,0.031,0.154
1.665,0.059,1.175,2.345,26.572,125.832,8.746,75.185,0.061,0.0,0.019,0.132
1.543,0.044,1.08,2.032,26.196,98.727,8.618,51.546,0.07,0.001,0.025,0.198
1.421,0.034,1.043,1.876,27.719,65.618,10.624,48.685,0.058,0.0,0.019,0.115
1.341,0.03,0.978,1.723,28.752,79.851,8.166,49.224,0.066,0.001,0.025,0.16
1.578,0.136,0.882,3.242,24.304,85.246,7.989,45.814,0.063,0.001,0.019,0.15
1.408,0.064,0.764,2.231,27.239,105.091,10.831,46.827,0.064,0.0,0.031,0.13
1.303,0.05,0.764,1.955,27.032,110.088,8.99,57.806,0.068,0.001,0.031,0.131
1.218,0.042,0.73,1.773,27.957,93.308,13.163,53.545,0.066,0.001,0.031,0.123
1.148,0.039,0.618,1.625,26.772,101.306,10.774,56.821,0.069,0.001,0.031,0.154
1.381,0.152,0.592,3.052,25.183,100.525,7.48,54.984,0.065,0.001,0.031,0.144
1.229,0.078,0.549,2.142,25.385,120.329,11.737,58.046,0.066,0.001,0.019,0.149
1.123,0.06,0.521,1.869,27.564,107.528,10.07,57.827,0.065,0.001,0.031,0.14
1.048,0.051,0.477,1.67,27.882,118.632,11.052,62.736,0.068,0.001,0.031,0.148
0.97,0.043,0.427,1.519,28.002,127.921,11.941,67.847,0.066,0.001,0.031,0.132
1.209,0.155,0.381,2.976,26.209,114.256,6.689,66.379,0.064,0.001,0.031,0.165
1.076,0.092,0.372,2.101,27.678,145.326,10.368,78.117,0.066,0.001,0.028,0.137
0.981,0.071,0.325,1.81,26.117,119.166,11.537,55.077,0.068,0.001,0.025,0.165
0.899,0.058,0.304,1.475,26.666,101.732,11.998,56.188,0.065,0.001,0.028,0.136
0.839,0.05,0.283,1.471,26.47,111.808,11.014,52.81,0.073,0.001,0.031,0.193
1.102,0.196,0.263,3.016,22.973,125.9,6.278,60.939,0.078,0.001,0.031,0.178
0.947,0.111,0.22,2.102,25.286,179.936,8.23,75.893,0.074,0.001,0.033,0.174
0.862,0.085,0.215,1.818,24.649,97.814,8.592,60.942,0.074,0.001,0.033,0.19
0.792,0.068,0.17,1.594,24.789,84.891,11.318,60.009,0.075,0.001,0.025,0.164
0.752,0.064,0.172,1.444,24.614,102.937,10.685,62.81,0.073,0.001,0.031,0.165
1.208,0.98,0.154,5.513,21.15,89.707,4.947,49.262,0.079,0.002,0.029,0.272
0.948,0.226,0.141,2.482,20.91,93.315,6.217,48.865,0.082,0.001,0.037,0.165
0.837,0.159,0.121,2.039,21.715,108.84,5.151,53.419,0.081,0.001,0.033,0.164
0.767,0.123,0.117,1.762,20.424,74.942,5.389,39.052,0.084,0.001,0.031,0.191
0.697,0.096,0.102,1.55,23.395,125.406,8.366,64.981,0.074,0.001,0.031,0.244
1.04,0.265,0.086,2.84,18.937,76.558,5.26,42.392,0.097,0.003,0.031,0.255
0.884,0.155,0.08,1.999,19.268,75.623,5.683,48.888,0.092,0.002,0.031,0.227
0.792,0.118,0.081,1.641,19.114,62.035,6.177,38.818,0.085,0.002,0.031,0.256
0.712,0.093,0.074,1.484,17.756,57.222,5.908,40.571,0.098,0.004,0.029,0.31
0.655,0.078,0.063,1.33,18.432,63.63,7.094,39.114,0.097,0.003,0.037,0.31
1.251,0.502,0.359,4.073,15.281,51.984,5.564,31.735,0.106,0.002,0.031,0.21
0.995,0.211,0.251,2.561,16.33,52.051,5.421,46.551,0.097,0.002,0.031,0.22
0.889,0.154,0.223,2.157,14.884,32.296,5.271,26.634,0.104,0.003,0.037,0.249
0.799,0.124,0.223,1.929,15.001,33.646,5.553,28.389,0.105,0.003,0.037,0.26
0.759,0.116,0.249,1.741,16.081,61.484,6.209,38.471,0.104,0.003,0.037,0.264
1.127,0.291,0.256,2.804,13.496,37.393,4.649,32.247,0.128,0.006,0.031,0.336
0.931,0.168,0.256,1.874,14.315,35.929,5.665,28.133,0.111,0.002,0.037,0.226
0.809,0.127,0.201,1.611,12.916,31.6,5.129,31.025,0.128,0.004,0.037,0.315
0.734,0.103,0.175,1.422,13.825,35.944,5.365,27.549,0.12,0.004,0.031,0.281
0.664,0.084,0.175,1.297,11.948,33.358,4.474,27.736,0.15,0.006,0.056,0.321
1.384,1.068,0.231,5.506,10.083,21.389,4.204,20.164,0.163,0.008,0.05,0.412
1.047,0.262,0.21,2.459,11.23,28.671,3.691,25.078,0.157,0.008,0.043,0.45
0.914,0.187,0.21,2.071,11.136,30.797,4.275,27.918,0.168,0.01,0.037,0.372
0.805,0.142,0.148,1.825,10.293,34.533,3.82,28.839,0.191,0.013,0.05,0.449
0.732,0.113,0.204,1.619,9.906,24.912,3.985,22.681,0.191,0.011,0.056,0.416
1.274,0.267,0.304,2.905,8.551,20.796,3.578,22.548,0.214,0.014,0.049,0.492
1.028,0.156,0.174,1.945,8.389,24.844,3.614,27.011,0.23,0.015,0.056,0.459
0.912,0.121,0.145,1.641,8.99,23.3,3.503,21.599,0.214,0.017,0.056,0.494
0.818,0.099,0.145,1.457,7.929,16.834,3.543,18.126,0.239,0.016,0.056,0.465
0.794,0.103,0.217,1.628,7.368,12.332,3.397,14.834,0.247,0.017,0.056,0.477
1.504,0.693,0.184,4.464,6.429,9.163,3.421,16.171,0.261,0.018,0.043,0.49
1.165,0.185,0.184,2.272,6.445,10.604,3.204,18.125,0.266,0.018,0.093,0.479
1.01,0.134,0.129,1.936,6.409,11.334,3.293,21.119,0.279,0.018,0.068,0.479
