TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.303,0.052,2.986,3.685,8.516,5.313,4.399,11.428,0.094,0.001,0.049,0.164
2.257,0.017,1.927,2.57,5.988,1.525,3.166,7.357,0.163,0.004,0.049,0.341
2.004,0.029,1.717,2.339,4.905,1.182,2.658,7.376,0.227,0.007,0.074,0.462
1.83,0.039,1.502,2.199,4.756,2.428,2.658,9.212,0.251,0.006,0.102,0.464
1.694,0.042,1.32,2.079,5.768,10.597,2.179,15.122,0.236,0.007,0.08,0.391
1.614,0.054,1.266,2.432,8.441,49.586,2.179,29.189,0.207,0.008,0.073,0.399
2.844,1.093,1.377,7.147,7.066,29.452,2.826,29.489,0.176,0.006,0.0,0.438
1.986,0.12,1.3,3.066,6.514,35.749,2.202,30.872,0.205,0.005,0.064,0.369
1.779,0.068,1.237,2.183,7.705,58.934,2.202,41.065,0.207,0.005,0.061,0.376
1.657,0.062,1.194,2.06,9.149,68.9,2.167,36.74,0.179,0.004,0.064,0.328
1.629,0.142,1.132,2.785,11.992,112.488,2.181,47.225,0.149,0.004,0.056,0.279
2.132,0.553,1.072,6.277,9.832,81.984,2.317,43.274,0.164,0.004,0.011,0.278
1.755,0.104,1.036,2.291,12.558,102.718,2.222,38.788,0.149,0.004,0.034,0.311
1.612,0.081,0.999,2.056,16.482,197.909,2.143,62.578,0.141,0.004,0.039,0.32
1.526,0.074,0.965,1.966,18.916,180.172,2.194,49.859,0.127,0.003,0.034,0.303
1.449,0.07,0.932,1.891,20.544,167.273,2.345,46.429,0.113,0.001,0.05,0.213
1.887,0.664,0.919,5.075,16.624,155.163,2.228,46.368,0.127,0.002,0.034,0.233
1.595,0.191,0.876,2.722,19.72,194.245,2.369,48.007,0.115,0.002,0.034,0.23
1.484,0.131,0.846,2.154,20.616,173.447,2.412,51.416,0.12,0.002,0.034,0.221
1.399,0.108,0.812,1.977,20.808,142.731,2.885,47.442,0.113,0.001,0.034,0.189
1.376,0.182,0.8,3.415,21.624,180.546,2.682,60.386,0.118,0.002,0.034,0.228
1.707,0.425,0.845,3.461,19.051,160.42,2.135,49.324,0.114,0.001,0.056,0.262
1.448,0.149,0.791,2.21,20.599,159.423,2.537,56.494,0.115,0.001,0.061,0.18
1.373,0.128,0.789,2.015,22.036,173.435,3.702,67.055,0.116,0.001,0.056,0.213
1.31,0.115,0.761,1.946,22.757,153.292,3.702,51.077,0.116,0.001,0.051,0.215
1.267,0.114,0.703,2.003,22.918,128.538,3.22,55.958,0.112,0.001,0.061,0.179
1.431,0.276,0.69,4.126,20.043,103.713,4.008,40.456,0.117,0.001,0.056,0.186
1.303,0.12,0.664,1.982,22.04,153.307,4.019,51.143,0.118,0.002,0.033,0.251
1.235,0.101,0.632,1.807,22.544,171.402,4.836,65.384,0.116,0.002,0.049,0.236
