TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.706,0.014,2.53,2.989,6.245,0.042,5.877,6.58,0.082,0.001,0.037,0.153
1.888,0.028,1.338,2.211,5.634,0.135,4.319,6.281,0.144,0.003,0.055,0.313
1.489,0.013,1.321,1.736,4.81,0.176,4.186,5.829,0.268,0.004,0.144,0.374
1.159,0.01,1.003,1.349,4.294,0.168,3.54,5.069,0.346,0.002,0.264,0.43
0.864,0.011,0.554,1.035,4.07,0.183,3.215,5.239,0.384,0.003,0.25,0.488
0.695,0.056,0.54,2.268,4.088,0.208,3.215,5.223,0.395,0.003,0.283,0.515
2.55,1.206,1.622,4.868,4.939,0.149,4.004,5.669,0.247,0.005,0.131,0.39
1.558,0.138,0.966,2.314,4.471,0.193,3.654,5.604,0.322,0.004,0.166,0.472
1.217,0.087,0.903,1.843,4.16,0.172,3.569,5.205,0.373,0.003,0.264,0.472
0.941,0.065,0.631,1.515,4.027,0.157,3.433,4.784,0.391,0.002,0.284,0.518
0.963,0.697,0.463,4.568,4.1,0.274,3.269,5.621,0.392,0.004,0.175,0.502
2.095,0.961,0.829,4.58,4.169,0.328,3.156,5.621,0.369,0.006,0.175,0.481
1.354,0.178,0.568,2.34,4.094,0.267,3.017,5.237,0.383,0.004,0.227,0.493
0.997,0.119,0.41,1.828,4.246,0.304,3.341,5.931,0.371,0.005,0.206,0.495
0.77,0.073,0.271,1.355,4.25,0.287,3.085,6.004,0.38,0.005,0.151,0.525
0.578,0.048,0.211,1.127,4.193,0.411,3.416,6.313,0.399,0.006,0.202,0.514
1.698,0.345,0.73,3.413,4.027,0.175,3.271,5.129,0.389,0.004,0.233,0.525
1.181,0.074,0.637,2.001,3.99,0.244,3.194,5.038,0.399,0.004,0.237,0.518
0.891,0.045,0.495,1.549,3.965,0.255,2.927,5.313,0.411,0.003,0.282,0.536
0.638,0.03,0.339,1.152,3.889,0.33,2.982,5.123,0.431,0.005,0.263,0.572
0.502,0.037,0.227,1.44,3.84,0.195,3.223,5.045,0.438,0.003,0.294,0.537
1.494,0.299,0.79,3.324,3.841,0.294,2.947,5.496,0.427,0.004,0.212,0.54
0.967,0.077,0.49,1.971,3.681,0.18,2.99,4.798,0.445,0.003,0.263,0.553
0.716,0.043,0.339,1.505,3.704,0.19,3.005,4.68,0.456,0.003,0.263,0.54
0.524,0.024,0.245,1.046,3.712,0.218,3.051,4.941,0.456,0.003,0.325,0.553
0.452,0.059,0.163,1.358,3.708,0.221,2.717,5.098,0.47,0.003,0.306,0.595
1.361,0.333,0.63,3.115,3.542,0.177,2.717,4.856,0.461,0.004,0.25,0.595
0.88,0.079,0.398,1.801,3.574,0.213,2.78,5.497,0.466,0.004,0.212,0.558
0.607,0.043,0.262,1.306,3.611,0.185,2.865,4.556,0.477,0.003,0.356,0.597
0.448,0.024,0.18,1.004,3.585,0.205,2.866,4.853,0.481,0.003,0.356,0.576
0.318,0.015,0.129,0.748,3.753,0.229,3.055,4.921,0.472,0.003,0.294,0.56
1.237,0.339,0.539,2.795,3.48,0.13,2.888,4.52,0.482,0.003,0.356,0.601
0.798,0.086,0.306,1.652,3.489,0.241,2.654,4.965,0.481,0.004,0.294,0.577
0.558,0.042,0.218,1.189,3.578,0.125,2.919,4.445,0.473,0.002,0.312,0.564
0.382,0.025,0.141,0.829,3.586,0.242,2.969,4.781,0.482,0.003,0.319,0.601
0.292,0.024,0.1,1.059,3.697,0.227,2.926,4.976,0.484,0.003,0.362,0.578
1.194,0.317,0.465,2.75,3.444,0.249,2.708,4.796,0.489,0.004,0.338,0.595
0.702,0.085,0.238,1.598,3.467,0.201,2.742,4.703,0.485,0.004,0.275,0.601
0.493,0.042,0.153,1.093,3.49,0.214,2.86,5.16,0.497,0.003,0.319,0.607
0.347,0.02,0.112,0.782,3.596,0.146,2.992,4.594,0.487,0.003,0.35,0.613
0.356,0.164,0.075,2.278,3.679,0.308,2.959,5.382,0.483,0.003,0.319,0.573
1.123,0.327,0.417,2.945,3.413,0.19,2.73,4.649,0.493,0.004,0.35,0.606
0.676,0.084,0.214,1.629,3.451,0.174,2.785,4.726,0.493,0.003,0.325,0.601
0.438,0.038,0.137,1.137,3.435,0.16,2.708,4.611,0.503,0.003,0.356,0.624
0.308,0.021,0.097,0.782,3.551,0.188,2.821,4.636,0.502,0.003,0.325,0.592
0.213,0.009,0.062,0.527,3.689,0.28,2.745,5.048,0.5,0.003,0.356,0.624
1.076,0.38,0.338,2.766,3.383,0.22,2.572,4.611,0.492,0.004,0.313,0.6
0.64,0.088,0.173,1.495,3.417,0.21,2.576,4.651,0.497,0.005,0.294,0.613
0.427,0.04,0.102,1.051,3.407,0.21,2.541,4.707,0.508,0.003,0.356,0.607
0.279,0.02,0.078,0.704,3.629,0.276,2.741,5.137,0.496,0.003,0.356,0.624
0.212,0.02,0.058,0.945,3.63,0.235,2.627,4.984,0.498,0.003,0.356,0.607
1.01,0.3,0.298,2.556,3.395,0.154,2.736,4.548,0.497,0.003,0.362,0.601
0.559,0.074,0.154,1.255,3.386,0.167,2.586,4.777,0.515,0.002,0.375,0.62
0.38,0.035,0.098,0.936,3.458,0.16,2.615,4.59,0.509,0.003,0.375,0.613
0.263,0.019,0.071,0.655,3.683,0.23,2.745,5.059,0.496,0.003,0.3,0.613
0.273,0.124,0.049,2.208,3.6,0.228,2.474,4.656,0.5,0.003,0.325,0.61
0.971,0.335,0.247,2.641,3.424,0.236,2.623,4.628,0.495,0.004,0.319,0.595
0.557,0.086,0.144,1.484,3.4,0.191,2.616,4.791,0.509,0.004,0.287,0.601
0.346,0.038,0.077,0.94,3.531,0.289,2.63,5.186,0.503,0.003,0.306,0.615
0.239,0.016,0.058,0.644,3.595,0.237,2.987,5.308,0.503,0.003,0.356,0.596
0.166,0.008,0.04,0.469,3.678,0.272,2.627,4.882,0.507,0.003,0.375,0.615
0.904,0.315,0.132,2.607,3.382,0.177,2.511,4.423,0.504,0.004,0.362,0.604
0.521,0.079,0.114,1.401,3.398,0.24,2.522,4.858,0.507,0.004,0.3,0.613
0.335,0.033,0.067,0.93,3.436,0.185,2.845,4.389,0.516,0.003,0.38,0.632
0.208,0.013,0.052,0.589,3.615,0.208,2.804,4.543,0.505,0.003,0.375,0.607
0.163,0.017,0.036,0.88,3.723,0.246,2.961,4.887,0.502,0.003,0.388,0.613
0.893,0.321,0.191,2.582,3.305,0.142,2.545,4.5,0.513,0.003,0.319,0.633
0.476,0.084,0.106,1.383,3.391,0.159,2.739,4.754,0.507,0.003,0.35,0.607
0.308,0.033,0.066,0.835,3.5,0.202,2.839,4.754,0.51,0.003,0.325,0.595
0.207,0.013,0.053,0.585,3.577,0.228,2.79,5.469,0.511,0.002,0.381,0.603
0.182,0.023,0.026,0.873,3.75,0.19,2.831,4.625,0.503,0.002,0.375,0.587
0.852,0.315,0.184,2.458,3.322,0.18,2.587,4.324,0.511,0.003,0.344,0.624
0.469,0.075,0.106,1.327,3.419,0.228,2.59,4.547,0.51,0.003,0.331,0.638
0.281,0.029,0.052,0.819,3.515,0.192,2.531,4.776,0.507,0.003,0.331,0.613
0.19,0.012,0.046,0.516,3.594,0.2,2.721,4.791,0.511,0.003,0.337,0.622
0.131,0.005,0.03,0.343,3.754,0.227,2.895,4.898,0.508,0.003,0.369,0.607
0.801,0.334,0.165,2.37,3.349,0.12,2.736,4.418,0.509,0.003,0.388,0.638
0.443,0.079,0.087,1.263,3.412,0.195,2.491,4.655,0.51,0.003,0.306,0.626
0.281,0.031,0.051,0.786,3.535,0.27,2.446,4.957,0.506,0.003,0.331,0.599
0.178,0.013,0.037,0.491,3.604,0.276,2.573,5.272,0.518,0.003,0.338,0.656
