TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.425,0.006,3.26,3.557,8.611,1.717,7.493,11.048,0.037,0.0,0.006,0.078
2.605,0.021,2.252,2.788,7.794,1.597,5.976,10.66,0.061,0.002,0.01,0.215
2.183,0.01,1.883,2.35,7.16,0.474,5.679,8.807,0.109,0.005,0.006,0.263
1.836,0.006,1.636,1.968,6.543,0.484,5.444,8.248,0.18,0.006,0.039,0.312
1.506,0.011,1.206,1.641,6.344,0.814,5.304,8.914,0.215,0.003,0.102,0.308
1.305,0.048,1.15,2.767,6.691,1.902,5.111,10.241,0.216,0.005,0.049,0.325
2.85,1.28,1.949,5.681,6.401,0.792,4.916,9.158,0.196,0.006,0.049,0.341
2.044,0.173,1.481,2.924,6.291,1.955,4.706,11.977,0.225,0.003,0.127,0.351
1.717,0.111,1.277,2.461,6.447,3.415,4.706,12.787,0.236,0.003,0.113,0.353
1.432,0.086,1.034,2.111,6.69,4.002,4.701,13.915,0.222,0.004,0.044,0.333
1.274,0.182,0.832,2.548,7.192,3.545,4.876,13.109,0.191,0.005,0.049,0.331
2.421,0.856,1.2,6.162,6.465,3.151,4.437,12.782,0.234,0.007,0.059,0.386
1.825,0.122,1.183,2.671,6.611,2.487,4.626,11.946,0.214,0.007,0.049,0.357
1.468,0.096,0.718,2.177,7.42,7.922,4.802,21.765,0.189,0.009,0.01,0.376
1.225,0.07,0.627,1.84,7.791,4.49,4.905,14.436,0.163,0.008,0.039,0.36
1.004,0.05,0.567,1.562,8.552,5.618,5.496,15.618,0.147,0.009,0.029,0.38
1.994,0.276,1.175,4.411,6.315,2.173,4.461,12.252,0.227,0.01,0.049,0.395
1.589,0.088,0.942,2.486,6.837,1.709,4.629,9.907,0.194,0.009,0.034,0.411
1.295,0.063,0.698,2.002,7.493,2.706,5.249,13.489,0.172,0.009,0.015,0.411
1.027,0.049,0.546,1.701,8.248,4.005,5.298,16.528,0.168,0.008,0.026,0.365
0.864,0.059,0.42,1.964,8.501,3.484,5.432,14.333,0.159,0.009,0.032,0.426
1.874,0.276,1.184,3.902,6.819,1.118,4.899,9.454,0.185,0.011,0.049,0.417
1.4,0.063,0.863,2.131,7.214,1.378,5.082,10.902,0.185,0.011,0.024,0.414
1.139,0.05,0.627,1.827,7.883,3.061,5.359,13.148,0.173,0.011,0.024,0.388
0.918,0.035,0.481,1.467,7.705,2.766,5.45,13.408,0.183,0.009,0.039,0.407
0.816,0.094,0.345,1.836,8.396,5.481,5.438,14.424,0.174,0.011,0.02,0.407
1.767,0.302,1.003,3.613,6.988,1.824,4.44,10.549,0.2,0.01,0.02,0.43
1.323,0.099,0.686,2.171,7.023,2.818,4.171,11.558,0.208,0.012,0.052,0.414
1.019,0.062,0.52,1.727,7.678,4.145,5.112,13.905,0.195,0.009,0.015,0.392
0.816,0.044,0.385,1.408,7.961,4.136,5.33,14.872,0.192,0.011,0.015,0.445
0.646,0.03,0.299,1.162,8.218,4.045,5.417,13.597,0.186,0.011,0.039,0.414
1.574,0.226,0.797,3.076,6.901,2.063,4.282,10.753,0.22,0.01,0.078,0.43
1.189,0.088,0.615,2.07,7.081,2.368,4.438,11.027,0.214,0.009,0.078,0.395
