TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.758,0.009,3.613,3.88,9.407,2.237,8.288,12.202,0.033,0.0,0.006,0.056
3.096,0.011,2.821,3.215,8.118,1.41,6.633,10.501,0.05,0.001,0.013,0.126
2.807,0.008,2.585,2.922,7.427,0.835,6.212,9.326,0.1,0.004,0.013,0.245
2.574,0.008,2.383,2.701,7.037,0.963,5.855,9.195,0.145,0.005,0.033,0.268
2.358,0.009,2.103,2.506,6.937,2.02,5.551,10.373,0.169,0.002,0.064,0.286
2.218,0.015,2.023,2.864,7.448,7.285,5.479,16.825,0.173,0.004,0.044,0.286
3.864,3.123,2.545,7.385,7.458,0.922,5.913,9.427,0.121,0.007,0.0,0.305
2.724,0.179,2.297,3.856,6.927,1.993,5.46,12.386,0.16,0.002,0.046,0.261
2.469,0.088,2.119,3.032,7.96,12.937,5.082,21.167,0.154,0.003,0.037,0.275
2.285,0.068,1.966,2.749,9.397,27.247,5.056,25.639,0.125,0.005,0.02,0.331
2.184,0.099,1.828,2.973,10.147,20.877,5.484,19.486,0.1,0.003,0.025,0.24
2.69,0.261,1.754,5.036,9.678,57.829,5.67,46.171,0.127,0.004,0.03,0.29
2.392,0.067,1.636,2.804,10.818,25.14,5.554,27.513,0.095,0.003,0.029,0.248
2.191,0.052,1.518,2.461,13.556,31.538,5.293,30.71,0.08,0.003,0.02,0.261
2.045,0.045,1.41,2.339,16.036,51.705,5.323,46.573,0.074,0.003,0.019,0.248
1.907,0.039,1.319,2.193,17.158,47.237,6.593,37.047,0.063,0.001,0.02,0.229
2.451,0.785,1.541,7.278,12.75,52.399,5.263,34.091,0.102,0.005,0.029,0.281
2.154,0.127,1.418,3.667,14.704,46.112,5.679,31.508,0.077,0.003,0.02,0.294
1.976,0.077,1.297,2.919,15.642,40.144,6.317,35.836,0.068,0.001,0.02,0.196
1.82,0.06,1.216,2.594,19.108,55.892,10.659,42.85,0.056,0.001,0.02,0.117
1.7,0.052,1.133,2.378,19.967,48.951,10.151,51.54,0.052,0.0,0.019,0.124
2.206,0.297,1.372,3.967,14.395,30.981,6.429,32.949,0.069,0.001,0.02,0.176
1.938,0.115,1.186,2.857,17.37,35.971,6.996,32.984,0.059,0.001,0.019,0.118
1.792,0.089,1.08,2.511,18.128,34.638,9.223,33.34,0.056,0.001,0.013,0.131
1.658,0.072,1.056,2.267,18.93,43.721,8.846,36.118,0.06,0.001,0.019,0.156
1.573,0.066,0.991,2.168,17.945,36.75,8.219,31.052,0.061,0.001,0.025,0.175
1.913,0.156,0.974,3.29,15.511,24.93,7.703,30.313,0.069,0.001,0.02,0.175
1.718,0.089,0.912,2.318,17.807,29.134,7.275,30.631,0.059,0.001,0.015,0.144
1.566,0.07,0.86,2.026,18.564,52.398,8.733,41.574,0.066,0.001,0.019,0.142
1.455,0.063,0.787,1.845,18.984,59.037,8.411,43.285,0.063,0.001,0.013,0.212
1.345,0.051,0.742,1.703,19.236,61.879,7.605,53.848,0.058,0.001,0.02,0.134
1.718,0.195,0.678,3.563,17.711,42.627,7.623,37.387,0.06,0.001,0.013,0.156
1.541,0.099,0.629,2.368,18.279,81.395,7.934,64.769,0.065,0.001,0.007,0.149
1.409,0.078,0.587,2.038,19.608,76.89,8.92,53.48,0.07,0.002,0.013,0.219
1.282,0.068,0.538,1.833,18.131,36.681,7.925,33.814,0.065,0.001,0.013,0.146
1.192,0.052,0.497,1.659,20.673,80.276,9.512,41.998,0.062,0.001,0.007,0.183
1.58,0.195,0.454,3.108,17.454,50.388,6.343,40.411,0.071,0.003,0.013,0.291
1.378,0.123,0.418,2.23,18.089,35.914,6.857,32.735,0.071,0.002,0.02,0.26
1.258,0.096,0.387,1.945,17.115,39.561,7.553,35.357,0.069,0.002,0.019,0.197
