,TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
0,2.674,0.017,2.432,2.838,8.174,0.956,6.681,9.717,0.49,0.011,0.351,0.708
1,1.432,0.065,0.858,1.857,4.491,0.57,3.167,5.588,0.727,0.007,0.559,0.901
2,0.899,0.063,0.464,1.297,3.03,0.345,1.653,3.865,0.802,0.003,0.663,0.916
3,0.64,0.044,0.289,0.984,2.358,0.238,1.21,3.252,0.826,0.002,0.729,0.938
4,0.503,0.027,0.201,0.797,2.002,0.187,1.042,2.973,0.845,0.002,0.755,0.939
5,0.446,0.023,0.192,0.935,1.85,0.181,0.933,2.824,0.857,0.001,0.784,0.938
6,0.973,0.526,0.371,2.785,2.96,2.404,1.403,7.383,0.813,0.007,0.501,0.941
7,0.586,0.069,0.247,1.334,2.193,0.59,1.099,4.156,0.846,0.002,0.764,0.939
8,0.475,0.033,0.2,0.98,1.912,0.288,0.966,3.142,0.857,0.002,0.784,0.944
9,0.413,0.019,0.178,0.769,1.758,0.211,0.889,2.914,0.865,0.001,0.793,0.948
10,0.428,0.142,0.163,2.896,1.731,0.33,0.847,4.332,0.863,0.003,0.573,0.944
11,0.875,1.001,0.196,3.801,2.447,2.974,0.896,8.215,0.829,0.011,0.447,0.953
12,0.493,0.08,0.172,1.179,1.92,0.65,0.847,4.33,0.863,0.002,0.772,0.948
13,0.402,0.028,0.157,0.857,1.711,0.302,0.81,3.143,0.871,0.001,0.801,0.948
14,0.364,0.018,0.146,0.693,1.619,0.218,0.776,2.888,0.876,0.001,0.823,0.949
15,0.336,0.013,0.137,0.593,1.56,0.19,0.756,2.787,0.879,0.001,0.827,0.953
16,0.814,1.102,0.167,4.139,2.176,2.603,0.803,7.546,0.847,0.009,0.48,0.954
17,0.44,0.068,0.151,1.071,1.753,0.581,0.775,4.069,0.874,0.002,0.801,0.955
18,0.368,0.025,0.141,0.747,1.603,0.287,0.741,3.067,0.879,0.001,0.811,0.951
19,0.332,0.016,0.131,0.625,1.531,0.221,0.722,2.858,0.882,0.001,0.825,0.955
20,0.312,0.012,0.124,0.552,1.487,0.188,0.705,2.715,0.886,0.001,0.839,0.954
21,0.768,0.944,0.153,3.682,2.029,2.121,0.726,7.097,0.86,0.006,0.601,0.96
22,0.393,0.048,0.139,0.932,1.621,0.419,0.71,3.427,0.881,0.002,0.811,0.956
23,0.342,0.021,0.128,0.68,1.528,0.27,0.683,2.951,0.884,0.001,0.822,0.956
24,0.312,0.014,0.121,0.572,1.47,0.21,0.673,2.773,0.889,0.001,0.835,0.958
25,0.297,0.011,0.114,0.514,1.437,0.183,0.677,2.648,0.889,0.001,0.829,0.965
26,0.715,0.836,0.142,3.634,1.893,1.745,0.694,6.656,0.869,0.005,0.631,0.965
27,0.374,0.045,0.131,0.94,1.566,0.431,0.669,3.632,0.885,0.002,0.811,0.961
28,0.32,0.019,0.123,0.631,1.46,0.248,0.653,2.863,0.888,0.001,0.827,0.963
29,0.296,0.013,0.115,0.533,1.418,0.201,0.633,2.694,0.891,0.001,0.827,0.963
30,0.279,0.011,0.109,0.484,1.395,0.184,0.644,2.628,0.893,0.001,0.841,0.963
31,0.667,0.708,0.125,3.368,1.79,1.458,0.654,6.255,0.877,0.004,0.664,0.965
