,TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
32,0.353,0.038,0.124,0.883,1.501,0.387,0.644,3.46,0.89,0.001,0.806,0.963
33,0.307,0.018,0.114,0.589,1.423,0.245,0.627,2.826,0.892,0.001,0.83,0.96
34,0.281,0.012,0.107,0.516,1.378,0.194,0.612,2.664,0.894,0.001,0.838,0.963
35,0.268,0.011,0.101,0.472,1.355,0.178,0.594,2.573,0.896,0.001,0.838,0.965
36,0.636,0.646,0.128,3.382,1.709,1.259,0.63,5.82,0.882,0.003,0.654,0.966
37,0.332,0.033,0.117,0.827,1.444,0.337,0.605,3.254,0.893,0.001,0.811,0.968
38,0.295,0.017,0.108,0.561,1.383,0.231,0.589,2.747,0.894,0.001,0.832,0.966
39,0.273,0.013,0.102,0.5,1.347,0.195,0.589,2.607,0.896,0.001,0.835,0.966
40,0.261,0.011,0.096,0.457,1.325,0.177,0.595,2.569,0.899,0.001,0.833,0.963
41,0.599,0.562,0.121,3.197,1.636,1.099,0.602,5.574,0.886,0.003,0.677,0.965
42,0.322,0.031,0.11,0.793,1.414,0.336,0.591,3.138,0.894,0.002,0.811,0.968
43,0.281,0.016,0.102,0.548,1.349,0.226,0.58,2.726,0.898,0.001,0.835,0.968
44,0.263,0.013,0.094,0.483,1.321,0.192,0.566,2.598,0.899,0.001,0.841,0.963
45,0.248,0.011,0.088,0.445,1.298,0.174,0.554,2.52,0.9,0.001,0.829,0.968
46,0.561,0.478,0.116,3.016,1.585,1.0,0.595,5.452,0.889,0.003,0.705,0.965
47,0.31,0.029,0.104,0.781,1.378,0.325,0.579,3.092,0.897,0.002,0.821,0.97
48,0.274,0.016,0.096,0.536,1.321,0.225,0.585,2.69,0.899,0.001,0.832,0.97
49,0.254,0.013,0.086,0.48,1.294,0.194,0.55,2.604,0.9,0.001,0.84,0.97
50,0.241,0.011,0.082,0.443,1.276,0.172,0.554,2.496,0.902,0.001,0.832,0.968
51,0.542,0.441,0.112,2.901,1.532,0.887,0.57,5.139,0.892,0.003,0.737,0.971
52,0.296,0.026,0.099,0.744,1.341,0.318,0.578,3.018,0.899,0.002,0.822,0.97
53,0.265,0.016,0.09,0.523,1.295,0.231,0.552,2.72,0.902,0.001,0.832,0.971
54,0.246,0.013,0.084,0.473,1.267,0.194,0.537,2.577,0.903,0.001,0.838,0.971
55,0.258,0.043,0.079,1.51,1.265,0.19,0.526,2.51,0.903,0.001,0.818,0.973
56,0.582,0.536,0.105,2.989,1.552,0.961,0.557,4.951,0.89,0.003,0.694,0.971
57,0.298,0.029,0.094,0.711,1.35,0.34,0.537,2.892,0.899,0.002,0.816,0.968
58,0.261,0.017,0.085,0.51,1.296,0.247,0.556,2.683,0.902,0.001,0.838,0.97
59,0.243,0.014,0.077,0.468,1.272,0.208,0.524,2.568,0.902,0.001,0.832,0.968
60,0.229,0.012,0.072,0.431,1.252,0.181,0.535,2.461,0.904,0.001,0.844,0.971
61,0.512,0.393,0.098,2.632,1.475,0.777,0.523,4.736,0.895,0.003,0.758,0.97
62,0.287,0.026,0.088,0.696,1.321,0.319,0.521,2.838,0.902,0.002,0.821,0.971
63,0.256,0.017,0.081,0.505,1.275,0.241,0.514,2.646,0.903,0.001,0.835,0.971
64,0.236,0.013,0.075,0.463,1.251,0.199,0.503,2.505,0.905,0.001,0.838,0.973
65,0.225,0.012,0.069,0.433,1.233,0.184,0.523,2.458,0.906,0.001,0.843,0.973
66,0.5,0.33,0.096,2.607,1.454,0.73,0.518,4.558,0.895,0.002,0.775,0.973
67,0.275,0.023,0.085,0.574,1.293,0.288,0.516,2.812,0.903,0.002,0.832,0.973
68,0.249,0.016,0.077,0.5,1.259,0.239,0.499,2.656,0.904,0.001,0.836,0.973
69,0.231,0.013,0.07,0.449,1.238,0.209,0.496,2.601,0.905,0.001,0.84,0.971
70,0.222,0.012,0.065,0.42,1.22,0.187,0.491,2.495,0.906,0.001,0.838,0.971
71,0.442,0.251,0.093,2.544,1.377,0.615,0.503,4.378,0.901,0.002,0.785,0.971
72,0.266,0.022,0.081,0.652,1.252,0.281,0.499,2.776,0.906,0.001,0.829,0.971
73,0.237,0.015,0.073,0.484,1.219,0.215,0.494,2.603,0.906,0.001,0.833,0.971
74,0.222,0.013,0.066,0.443,1.2,0.197,0.503,2.553,0.907,0.001,0.845,0.971
75,0.209,0.011,0.061,0.41,1.183,0.178,0.48,2.466,0.908,0.001,0.833,0.975
76,0.454,0.27,0.082,2.442,1.386,0.637,0.489,4.167,0.9,0.002,0.775,0.973
77,0.265,0.024,0.077,0.629,1.261,0.307,0.492,2.752,0.904,0.002,0.822,0.973
78,0.237,0.016,0.069,0.482,1.224,0.241,0.487,2.619,0.908,0.001,0.835,0.975
79,0.219,0.013,0.063,0.444,1.2,0.207,0.47,2.502,0.908,0.001,0.846,0.973
