TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.65,0.01,2.458,2.826,6.115,0.025,5.827,6.483,0.075,0.001,0.025,0.132
1.802,0.025,1.323,2.107,5.984,0.172,4.703,6.748,0.126,0.002,0.043,0.265
1.386,0.011,1.199,1.574,5.291,0.322,4.381,6.799,0.218,0.004,0.104,0.324
1.04,0.007,0.893,1.199,4.521,0.389,3.691,6.392,0.323,0.006,0.196,0.457
0.74,0.007,0.486,0.886,4.222,0.178,3.348,5.058,0.375,0.003,0.252,0.49
0.582,0.039,0.454,1.907,4.219,0.204,3.507,5.531,0.378,0.003,0.233,0.469
1.866,0.236,1.375,3.477,4.329,0.222,3.542,5.2,0.335,0.005,0.209,0.494
1.247,0.073,0.754,2.136,4.103,0.168,3.325,4.981,0.375,0.003,0.227,0.493
0.931,0.037,0.644,1.625,4.07,0.166,3.385,5.083,0.391,0.003,0.264,0.512
0.685,0.026,0.442,1.191,3.997,0.26,3.139,5.572,0.412,0.004,0.264,0.518
0.58,0.085,0.273,1.447,4.062,0.312,3.325,6.351,0.408,0.004,0.215,0.502
1.613,0.37,0.958,3.725,3.886,0.221,3.027,4.989,0.406,0.005,0.239,0.516
1.064,0.084,0.549,1.982,3.785,0.249,2.924,4.917,0.425,0.005,0.282,0.553
0.738,0.05,0.404,1.487,3.855,0.24,2.992,5.202,0.432,0.004,0.282,0.547
0.544,0.032,0.298,1.113,3.926,0.294,2.975,5.481,0.439,0.003,0.288,0.555
0.392,0.018,0.191,0.829,3.962,0.269,3.261,5.397,0.432,0.003,0.294,0.53
1.31,0.321,0.661,2.948,3.748,0.234,2.706,4.897,0.439,0.004,0.282,0.599
0.85,0.088,0.488,1.666,3.701,0.307,2.628,5.213,0.455,0.005,0.295,0.615
0.591,0.047,0.304,1.196,3.754,0.321,2.939,4.919,0.454,0.004,0.314,0.557
0.401,0.026,0.185,0.832,3.788,0.296,2.824,4.987,0.461,0.004,0.313,0.589
0.305,0.024,0.136,0.94,3.933,0.351,3.023,5.502,0.453,0.003,0.319,0.563
1.233,0.342,0.744,3.104,3.632,0.274,2.805,5.224,0.455,0.005,0.258,0.607
