TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.092,0.049,1.705,2.495,5.543,2.618,3.1,8.713,0.134,0.003,0.061,0.337
1.336,0.041,0.964,1.795,4.772,1.541,2.411,6.901,0.212,0.011,0.073,0.46
1.025,0.026,0.732,1.317,3.933,0.72,2.265,5.608,0.335,0.022,0.074,0.592
0.764,0.017,0.53,1.033,3.373,0.494,2.17,4.94,0.428,0.017,0.157,0.633
0.559,0.012,0.317,0.803,3.089,0.573,1.818,5.282,0.493,0.015,0.215,0.686
0.46,0.044,0.268,1.788,2.945,0.552,1.648,4.971,0.511,0.012,0.131,0.686
1.546,0.705,0.533,3.877,3.363,0.591,2.481,4.966,0.413,0.035,0.082,0.69
0.937,0.126,0.342,1.688,3.102,0.46,2.114,4.58,0.454,0.033,0.09,0.734
0.713,0.079,0.225,1.309,3.04,0.809,2.042,6.064,0.49,0.023,0.19,0.764
0.531,0.048,0.15,1.017,2.883,0.597,1.823,5.2,0.522,0.016,0.213,0.716
0.559,0.358,0.096,3.671,2.941,0.74,1.499,6.389,0.525,0.023,0.131,0.695
1.361,0.713,0.218,3.729,3.117,0.518,2.014,4.663,0.449,0.041,0.074,0.731
0.863,0.156,0.144,1.669,3.052,0.578,2.057,5.282,0.47,0.04,0.074,0.723
0.611,0.092,0.091,1.315,2.94,0.538,1.802,4.687,0.511,0.022,0.182,0.716
0.467,0.056,0.06,1.024,2.835,0.632,1.758,5.118,0.541,0.015,0.254,0.745
0.347,0.032,0.052,0.763,2.798,0.628,1.62,4.92,0.557,0.011,0.352,0.731
1.036,0.598,0.117,3.997,2.854,0.551,1.734,4.482,0.524,0.015,0.248,0.734
0.659,0.135,0.08,1.744,2.706,0.558,1.515,4.526,0.562,0.012,0.223,0.749
0.485,0.083,0.064,1.428,2.752,0.635,1.437,4.794,0.566,0.008,0.364,0.753
