TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.187,0.051,1.824,2.613,5.718,2.258,3.322,8.218,0.121,0.001,0.056,0.217
1.398,0.043,0.97,1.844,4.81,1.611,2.355,7.055,0.199,0.008,0.066,0.408
1.095,0.029,0.825,1.41,3.816,0.576,2.355,5.013,0.352,0.019,0.117,0.588
0.858,0.022,0.603,1.127,3.279,0.465,2.105,4.598,0.449,0.014,0.208,0.62
0.651,0.015,0.354,0.901,3.079,0.549,1.697,4.454,0.494,0.012,0.225,0.667
0.541,0.036,0.333,1.68,3.04,0.591,1.682,4.447,0.504,0.009,0.233,0.657
1.881,1.484,0.801,4.491,3.458,0.797,2.24,5.756,0.421,0.02,0.158,0.639
1.05,0.152,0.447,1.887,3.277,0.89,1.776,7.046,0.454,0.017,0.193,0.653
0.829,0.1,0.418,1.541,3.052,0.629,1.776,4.91,0.489,0.012,0.233,0.664
0.65,0.073,0.293,1.276,2.972,0.677,1.659,5.178,0.507,0.009,0.3,0.672
0.703,0.627,0.206,4.292,3.084,0.712,1.598,5.003,0.491,0.012,0.192,0.672
1.717,1.603,0.28,4.588,3.252,0.74,1.995,5.228,0.453,0.022,0.15,0.661
0.974,0.195,0.202,1.857,3.151,0.684,1.982,5.345,0.466,0.017,0.208,0.672
0.725,0.117,0.166,1.427,3.095,0.971,1.629,6.903,0.487,0.013,0.267,0.689
0.575,0.081,0.127,1.252,3.226,1.374,1.629,7.86,0.488,0.012,0.278,0.708
0.45,0.054,0.082,1.048,3.289,2.191,1.658,8.902,0.499,0.014,0.199,0.672
1.347,0.829,0.253,4.978,2.96,0.652,1.597,5.574,0.511,0.012,0.208,0.669
0.892,0.198,0.165,2.054,2.856,0.53,1.597,4.647,0.525,0.01,0.308,0.678
0.689,0.129,0.095,1.531,2.927,1.029,1.685,6.56,0.53,0.009,0.342,0.667
0.513,0.08,0.057,1.247,2.94,0.95,1.503,6.587,0.528,0.01,0.324,0.686
0.422,0.069,0.057,1.281,2.979,0.878,1.631,5.599,0.532,0.011,0.298,0.677
1.202,0.667,0.125,4.335,2.871,0.704,1.562,5.006,0.529,0.011,0.278,0.708
0.738,0.135,0.078,1.513,2.758,0.634,1.562,5.143,0.55,0.008,0.361,0.703
0.567,0.082,0.059,1.17,2.766,0.585,1.47,5.092,0.553,0.009,0.283,0.705
0.439,0.054,0.042,0.939,2.896,0.744,1.491,5.146,0.548,0.009,0.281,0.712
0.414,0.131,0.037,2.369,2.934,0.97,1.528,5.493,0.556,0.01,0.351,0.731
1.18,0.619,0.064,2.858,2.782,0.584,1.628,4.66,0.546,0.01,0.374,0.716
0.715,0.168,0.046,1.515,2.649,0.521,1.572,4.805,0.563,0.011,0.358,0.741
0.515,0.089,0.033,1.121,2.806,0.744,1.54,5.321,0.555,0.007,0.333,0.716
0.398,0.06,0.024,0.884,2.728,0.622,1.557,5.321,0.575,0.007,0.392,0.703
0.298,0.035,0.015,0.727,2.842,0.91,1.514,6.188,0.566,0.008,0.317,0.72
1.064,0.483,0.035,2.773,2.788,0.776,1.56,5.949,0.554,0.009,0.339,0.723
0.683,0.161,0.018,1.519,2.671,0.701,1.471,5.719,0.563,0.009,0.342,0.711
0.504,0.097,0.016,1.151,2.693,0.79,1.44,6.767,0.571,0.012,0.283,0.727
0.363,0.053,0.019,0.879,2.771,0.713,1.593,5.398,0.568,0.009,0.367,0.706
0.291,0.049,0.015,1.251,2.84,1.017,1.463,7.048,0.575,0.007,0.375,0.728
1.048,0.492,0.021,2.827,2.646,0.735,1.443,5.86,0.569,0.009,0.392,0.696
0.612,0.134,0.015,1.299,2.659,0.733,1.347,5.667,0.575,0.007,0.383,0.722
0.461,0.079,0.016,0.984,2.711,0.83,1.347,5.837,0.567,0.008,0.387,0.717
0.343,0.045,0.013,0.723,2.719,0.976,1.394,6.432,0.585,0.006,0.417,0.716
0.319,0.078,0.013,1.342,2.772,1.166,1.397,7.943,0.58,0.007,0.433,0.722
0.929,0.333,0.019,2.104,2.63,0.746,1.413,6.321,0.572,0.008,0.339,0.716
0.585,0.12,0.013,1.133,2.703,1.486,1.342,9.035,0.585,0.007,0.4,0.753
0.406,0.066,0.01,0.841,2.66,1.047,1.377,7.454,0.586,0.007,0.367,0.722
0.311,0.039,0.01,0.646,2.679,0.86,1.335,6.563,0.586,0.006,0.417,0.727
0.228,0.022,0.007,0.496,2.738,1.098,1.43,7.518,0.587,0.007,0.433,0.734
0.841,0.281,0.017,2.007,2.639,0.872,1.383,6.636,0.586,0.006,0.433,0.734
0.547,0.109,0.011,1.085,2.608,0.827,1.392,6.538,0.588,0.006,0.433,0.731
0.39,0.058,0.01,0.759,2.642,0.876,1.303,6.785,0.59,0.007,0.433,0.733
0.275,0.031,0.007,0.57,2.65,1.063,1.268,7.019,0.605,0.005,0.408,0.753
0.221,0.033,0.005,1.118,2.742,0.983,1.412,6.614,0.597,0.007,0.427,0.745
0.852,0.308,0.009,1.945,2.698,1.139,1.332,7.628,0.582,0.006,0.433,0.745
0.502,0.108,0.012,1.236,2.609,0.802,1.313,6.333,0.587,0.007,0.415,0.726
0.365,0.058,0.007,0.876,2.592,0.698,1.233,5.946,0.594,0.008,0.398,0.749
0.265,0.03,0.006,0.63,2.705,1.163,1.381,8.169,0.6,0.006,0.433,0.739
0.287,0.128,0.008,1.846,2.787,1.1,1.408,6.135,0.586,0.008,0.263,0.723
0.805,0.265,0.009,1.846,2.58,1.086,1.437,8.223,0.597,0.007,0.425,0.75
0.503,0.099,0.012,1.065,2.698,1.268,1.114,7.632,0.593,0.005,0.456,0.728
0.335,0.048,0.004,0.732,2.65,1.057,1.328,6.755,0.59,0.006,0.442,0.742
0.245,0.026,0.005,0.532,2.638,0.969,1.278,6.953,0.605,0.006,0.433,0.734
0.185,0.015,0.004,0.418,2.764,1.148,1.212,7.063,0.599,0.005,0.4,0.731
0.797,0.33,0.008,2.421,2.6,1.262,1.306,7.05,0.593,0.007,0.429,0.739
0.493,0.107,0.005,1.148,2.587,0.945,1.177,6.771,0.599,0.007,0.45,0.756
0.348,0.054,0.003,0.815,2.568,1.016,1.296,7.785,0.604,0.005,0.445,0.738
0.236,0.027,0.004,0.509,2.672,0.985,1.32,6.27,0.605,0.007,0.425,0.768
0.19,0.028,0.004,0.99,2.79,1.257,1.246,7.318,0.604,0.005,0.425,0.728
0.812,0.329,0.006,2.41,2.613,1.907,1.285,10.038,0.597,0.007,0.4,0.764
0.462,0.099,0.008,1.068,2.673,1.382,1.142,7.574,0.601,0.006,0.417,0.734
0.328,0.05,0.004,0.756,2.628,1.456,1.178,8.11,0.607,0.005,0.409,0.728
0.233,0.026,0.005,0.534,2.823,1.828,1.283,8.974,0.599,0.005,0.409,0.712
0.208,0.035,0.005,0.933,2.824,1.599,1.27,7.537,0.609,0.005,0.363,0.742
0.77,0.298,0.006,1.859,2.635,1.289,1.233,7.846,0.599,0.007,0.392,0.771
0.457,0.093,0.002,0.963,2.596,1.016,1.187,5.743,0.597,0.007,0.403,0.745
0.291,0.04,0.002,0.624,2.644,1.05,1.22,6.332,0.605,0.007,0.439,0.757
0.211,0.021,0.002,0.458,2.644,1.387,1.23,8.613,0.609,0.007,0.433,0.734
0.148,0.011,0.001,0.325,2.672,0.972,1.253,6.476,0.617,0.005,0.433,0.75
0.717,0.272,0.003,1.813,2.647,1.272,1.209,7.44,0.609,0.005,0.45,0.733
0.437,0.088,0.005,0.982,2.63,1.347,1.154,7.748,0.611,0.006,0.474,0.739
0.297,0.043,0.002,0.673,2.634,1.237,1.255,8.017,0.611,0.005,0.408,0.738
0.201,0.021,0.002,0.474,2.694,1.546,1.296,8.22,0.611,0.006,0.48,0.768
