TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
4.162,0.008,4.024,4.279,9.913,2.971,8.797,13.029,0.031,0.0,0.004,0.072
3.536,0.015,3.287,3.697,8.79,1.765,6.962,11.241,0.037,0.0,0.015,0.079
3.295,0.006,3.106,3.397,7.954,1.149,6.593,9.882,0.064,0.002,0.0,0.148
3.139,0.005,2.934,3.218,7.621,1.343,6.593,9.942,0.07,0.002,0.0,0.167
3.011,0.006,2.777,3.116,7.821,2.847,6.39,12.564,0.061,0.001,0.013,0.133
2.932,0.009,2.7,3.323,8.782,8.03,6.381,16.642,0.059,0.001,0.01,0.17
3.628,0.729,2.88,7.188,8.616,7.116,6.991,23.277,0.048,0.001,0.0,0.136
3.164,0.081,2.771,4.249,8.521,7.468,6.597,18.487,0.047,0.001,0.013,0.125
3.008,0.026,2.673,3.436,10.017,25.275,6.592,32.457,0.041,0.001,0.01,0.125
2.911,0.02,2.595,3.242,12.347,65.876,6.876,54.617,0.034,0.0,0.005,0.084
2.89,0.119,2.516,5.034,14.414,78.968,6.655,51.632,0.034,0.0,0.005,0.08
3.326,1.064,2.684,9.904,10.686,24.034,6.808,22.345,0.041,0.001,0.0,0.118
3.03,0.221,2.595,6.058,11.592,26.752,6.655,28.22,0.04,0.0,0.013,0.085
2.874,0.041,2.519,3.846,14.311,35.776,6.959,29.94,0.037,0.0,0.013,0.072
2.792,0.025,2.453,3.334,15.889,44.922,7.418,41.367,0.035,0.0,0.013,0.08
2.719,0.021,2.39,3.146,20.114,65.763,8.132,39.344,0.034,0.0,0.013,0.084
3.265,1.019,2.457,6.829,15.367,55.051,6.842,34.322,0.035,0.0,0.0,0.076
2.893,0.103,2.457,3.996,17.374,76.702,7.263,37.581,0.035,0.0,0.01,0.087
2.759,0.033,2.405,3.168,19.296,78.797,8.288,46.828,0.035,0.0,0.01,0.087
2.671,0.024,2.341,3.042,20.833,63.488,8.066,44.871,0.033,0.0,0.004,0.069
