TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.834,0.014,2.628,3.032,6.822,0.092,6.324,7.315,0.084,0.001,0.031,0.151
2.01,0.024,1.58,2.299,5.66,0.083,4.692,6.321,0.144,0.002,0.062,0.269
1.671,0.013,1.39,1.89,4.835,0.231,3.937,5.524,0.265,0.006,0.136,0.421
1.386,0.009,1.224,1.617,4.267,0.149,3.53,5.125,0.348,0.003,0.231,0.44
1.129,0.012,0.843,1.333,4.107,0.112,3.559,4.929,0.376,0.003,0.225,0.454
0.96,0.025,0.806,1.963,4.07,0.133,3.477,5.175,0.383,0.002,0.263,0.475
2.454,0.826,1.619,5.885,4.471,0.198,3.49,5.438,0.331,0.004,0.191,0.504
1.662,0.081,1.284,2.237,4.173,0.136,3.518,5.059,0.365,0.002,0.235,0.461
1.371,0.048,1.033,1.835,4.087,0.13,3.392,4.906,0.374,0.003,0.27,0.525
1.139,0.037,0.786,1.542,4.034,0.112,3.458,4.959,0.385,0.002,0.27,0.481
1.097,0.382,0.623,4.643,4.127,0.269,3.285,5.334,0.377,0.004,0.204,0.484
2.303,1.007,1.474,5.478,4.232,0.273,3.399,5.838,0.356,0.006,0.17,0.488
1.568,0.085,1.185,2.476,4.09,0.158,3.337,4.981,0.373,0.003,0.269,0.537
1.241,0.056,0.938,1.948,4.065,0.162,3.229,5.094,0.385,0.003,0.264,0.515
1.034,0.042,0.754,1.609,4.051,0.201,3.164,5.22,0.395,0.003,0.281,0.525
0.848,0.033,0.603,1.375,4.161,0.306,3.212,6.065,0.383,0.004,0.216,0.537
1.795,0.174,1.109,2.772,3.974,0.157,2.98,4.778,0.4,0.003,0.281,0.533
1.358,0.046,1.0,1.837,3.999,0.172,3.019,4.948,0.39,0.003,0.236,0.512
1.094,0.03,0.765,1.479,4.1,0.268,3.181,6.042,0.383,0.004,0.216,0.488
0.863,0.022,0.603,1.12,4.071,0.253,3.064,5.188,0.399,0.004,0.274,0.545
0.727,0.03,0.483,1.525,4.172,0.419,3.148,6.045,0.391,0.005,0.212,0.51
1.712,0.186,1.17,2.928,3.836,0.167,3.026,5.085,0.414,0.003,0.298,0.529
1.216,0.045,0.889,1.817,3.948,0.233,3.033,5.205,0.401,0.003,0.266,0.502
0.982,0.031,0.689,1.446,3.948,0.259,2.876,5.395,0.408,0.004,0.259,0.545
0.787,0.022,0.505,1.186,4.075,0.327,2.979,6.111,0.401,0.004,0.239,0.564
0.705,0.07,0.397,1.489,4.099,0.476,3.01,6.799,0.403,0.005,0.168,0.521
1.651,0.261,1.074,3.528,3.781,0.185,2.837,4.863,0.428,0.003,0.29,0.545
