TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.731,0.015,2.514,2.943,6.434,0.053,5.994,6.84,0.077,0.001,0.031,0.167
1.916,0.023,1.411,2.2,5.847,0.161,4.158,6.906,0.13,0.004,0.038,0.363
1.533,0.012,1.332,1.72,5.037,0.306,4.077,6.003,0.241,0.006,0.133,0.386
1.215,0.009,1.073,1.497,4.366,0.205,3.585,5.362,0.336,0.003,0.228,0.46
0.924,0.008,0.672,1.094,4.192,0.217,3.434,5.321,0.366,0.004,0.222,0.47
0.756,0.035,0.621,1.99,4.163,0.212,3.399,5.43,0.382,0.004,0.179,0.483
2.834,1.347,1.478,5.048,4.824,0.235,4.023,5.854,0.274,0.005,0.13,0.41
1.679,0.128,1.126,2.276,4.34,0.235,3.354,5.816,0.328,0.005,0.136,0.474
1.336,0.084,0.873,1.867,4.176,0.175,3.288,5.256,0.364,0.004,0.205,0.479
1.06,0.054,0.697,1.486,4.08,0.203,3.269,5.07,0.382,0.004,0.234,0.521
0.893,0.068,0.527,1.627,4.174,0.273,3.203,5.313,0.381,0.004,0.239,0.521
1.899,0.911,0.417,4.641,4.171,0.254,3.147,5.067,0.365,0.005,0.215,0.527
1.29,0.16,0.324,2.269,4.183,0.236,3.342,5.161,0.378,0.003,0.248,0.493
0.972,0.111,0.221,1.707,4.346,0.431,3.334,6.561,0.373,0.006,0.184,0.521
0.77,0.073,0.187,1.419,4.34,0.496,3.251,6.174,0.381,0.005,0.228,0.51
0.59,0.046,0.129,1.14,4.226,0.294,3.271,5.51,0.393,0.004,0.259,0.507
1.638,0.279,0.855,3.339,4.063,0.262,3.224,5.803,0.387,0.005,0.222,0.512
1.182,0.084,0.615,1.994,3.992,0.297,2.945,6.063,0.395,0.005,0.228,0.54
0.9,0.047,0.486,1.455,3.924,0.24,3.008,5.37,0.406,0.003,0.273,0.544
