TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.564,0.006,3.413,3.67,9.084,1.957,7.981,11.769,0.039,0.0,0.013,0.089
2.85,0.018,2.449,3.005,7.582,0.978,6.168,9.702,0.086,0.003,0.013,0.209
2.504,0.011,2.209,2.656,6.878,0.526,5.476,8.374,0.15,0.007,0.033,0.303
2.218,0.008,2.045,2.353,6.514,1.056,5.472,9.153,0.206,0.002,0.106,0.299
1.947,0.012,1.644,2.112,7.288,14.106,4.943,25.471,0.206,0.004,0.022,0.294
1.77,0.021,1.615,2.627,8.434,33.161,4.898,28.449,0.2,0.006,0.026,0.311
2.878,0.592,1.427,5.217,8.603,27.819,5.677,30.11,0.142,0.004,0.046,0.292
2.285,0.186,1.271,3.06,8.043,23.025,5.224,25.282,0.18,0.004,0.044,0.318
2.02,0.139,1.126,2.565,8.969,42.731,5.108,38.664,0.168,0.006,0.026,0.283
1.787,0.104,0.987,2.259,9.467,32.262,4.953,26.636,0.153,0.008,0.02,0.298
1.795,0.763,0.862,6.221,10.231,41.424,5.033,33.855,0.141,0.008,0.02,0.329
2.921,1.693,0.796,6.794,8.62,54.937,4.893,43.958,0.183,0.006,0.048,0.329
2.157,0.259,0.7,3.156,9.529,67.445,4.66,50.492,0.175,0.007,0.018,0.342
1.855,0.175,0.601,2.694,10.656,63.249,4.852,47.458,0.127,0.004,0.018,0.27
1.651,0.143,0.519,2.392,11.951,54.432,5.838,39.762,0.097,0.002,0.02,0.219
1.461,0.114,0.448,2.152,14.472,38.853,6.098,31.214,0.074,0.002,0.015,0.236
2.235,0.645,0.755,5.017,9.683,38.686,5.215,32.411,0.146,0.005,0.018,0.274
1.857,0.211,0.681,2.782,11.694,46.737,5.66,38.026,0.097,0.003,0.02,0.232
1.624,0.159,0.575,2.297,14.458,52.917,5.998,41.872,0.072,0.002,0.015,0.225
1.405,0.12,0.504,1.992,15.85,38.853,6.782,35.033,0.067,0.001,0.015,0.185
1.246,0.101,0.433,1.742,17.531,51.262,7.169,39.611,0.064,0.002,0.015,0.251
2.209,1.46,1.03,6.399,13.533,37.332,6.459,29.569,0.074,0.002,0.013,0.28
1.654,0.314,0.82,3.015,14.76,27.924,7.169,30.044,0.069,0.002,0.013,0.177
1.431,0.208,0.681,2.471,16.677,52.12,6.723,36.488,0.072,0.003,0.013,0.277
1.248,0.159,0.57,2.133,15.474,38.45,7.181,35.14,0.079,0.003,0.013,0.284
1.16,0.151,0.485,2.3,16.452,34.136,6.069,39.506,0.071,0.002,0.015,0.207
1.779,0.543,0.814,5.405,13.333,20.678,6.648,28.731,0.079,0.002,0.015,0.203
1.441,0.187,0.654,2.958,14.861,28.163,6.24,33.622,0.081,0.004,0.007,0.321
1.209,0.128,0.539,2.423,15.302,27.16,6.435,28.093,0.073,0.002,0.02,0.225
1.056,0.105,0.452,2.05,15.74,36.915,6.432,41.315,0.082,0.004,0.02,0.281
0.913,0.081,0.392,1.781,16.173,36.351,6.919,37.131,0.08,0.003,0.013,0.221
1.413,0.208,0.576,2.702,13.545,21.175,5.801,25.885,0.088,0.005,0.015,0.31
1.174,0.143,0.457,1.928,14.245,22.313,7.083,27.188,0.086,0.002,0.015,0.256
0.999,0.11,0.378,1.636,14.317,25.704,6.173,30.484,0.098,0.005,0.02,0.266
0.84,0.086,0.252,1.42,15.901,31.956,6.863,31.079,0.081,0.003,0.007,0.252
0.738,0.078,0.252,1.48,15.981,33.692,7.115,33.222,0.091,0.006,0.013,0.31
1.417,0.568,0.408,5.298,12.648,17.183,6.55,20.651,0.098,0.005,0.02,0.306
1.068,0.181,0.305,2.396,14.394,22.424,5.607,31.127,0.087,0.004,0.02,0.27
