TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.736,0.049,2.406,3.126,7.161,2.458,4.096,9.156,0.125,0.003,0.049,0.262
1.833,0.036,1.507,2.22,5.123,1.556,2.622,7.849,0.181,0.005,0.073,0.393
1.557,0.045,1.223,1.943,4.367,0.966,2.379,6.671,0.268,0.013,0.082,0.491
1.358,0.042,1.048,1.71,3.92,0.781,2.373,5.621,0.342,0.017,0.131,0.592
1.187,0.036,0.844,1.541,3.936,1.875,1.999,8.256,0.37,0.01,0.221,0.608
1.084,0.054,0.794,2.144,5.108,11.163,1.956,17.1,0.334,0.011,0.092,0.542
2.367,1.046,1.113,5.612,4.734,2.306,3.079,9.271,0.285,0.015,0.082,0.503
1.517,0.11,0.923,1.98,5.939,25.586,2.351,30.172,0.255,0.011,0.059,0.503
1.312,0.075,0.81,1.7,7.691,48.289,2.194,30.598,0.237,0.01,0.059,0.429
1.157,0.062,0.69,1.509,10.148,93.261,2.14,50.75,0.216,0.011,0.055,0.581
1.094,0.144,0.608,2.274,11.213,81.32,1.93,40.051,0.209,0.013,0.057,0.522
1.96,1.952,0.599,7.668,7.631,36.901,2.637,30.135,0.227,0.014,0.0,0.494
1.322,0.207,0.552,2.796,8.876,50.911,2.359,30.251,0.196,0.01,0.059,0.494
1.118,0.122,0.458,2.143,10.331,74.181,2.131,41.842,0.192,0.008,0.055,0.489
0.995,0.099,0.413,1.872,10.711,59.864,2.048,32.765,0.203,0.009,0.074,0.492
0.889,0.079,0.375,1.649,11.167,60.413,1.857,31.734,0.215,0.008,0.062,0.423
1.532,0.42,0.315,3.133,6.615,17.798,1.91,20.255,0.259,0.012,0.055,0.507
1.196,0.156,0.283,2.05,7.676,31.38,1.91,30.238,0.261,0.014,0.055,0.503
1.037,0.116,0.251,1.757,8.407,29.016,1.815,23.387,0.246,0.011,0.062,0.462
0.9,0.083,0.22,1.503,9.921,41.967,1.824,28.476,0.232,0.01,0.068,0.508
0.819,0.089,0.192,1.764,10.718,40.033,1.807,24.133,0.221,0.012,0.062,0.508
1.572,1.115,0.157,5.172,7.153,38.417,1.756,40.533,0.282,0.013,0.059,0.517
1.08,0.197,0.151,2.169,7.942,23.121,1.748,23.803,0.249,0.014,0.055,0.614
0.94,0.149,0.123,1.834,9.456,31.595,1.874,24.327,0.218,0.013,0.089,0.585
0.825,0.116,0.098,1.59,10.989,43.152,2.114,32.941,0.203,0.013,0.068,0.6
0.768,0.106,0.085,1.559,12.317,59.303,1.99,35.055,0.194,0.015,0.041,0.525
1.37,0.622,0.451,3.478,7.613,20.059,2.259,19.511,0.249,0.013,0.055,0.532
1.01,0.202,0.345,2.07,8.943,19.871,2.523,19.244,0.212,0.015,0.051,0.653
0.857,0.143,0.291,1.726,10.285,26.328,3.345,21.457,0.2,0.017,0.068,0.655
0.755,0.111,0.241,1.496,11.644,38.795,3.658,29.558,0.195,0.015,0.057,0.581
0.666,0.088,0.198,1.319,11.919,26.677,3.895,21.488,0.182,0.011,0.057,0.498
1.203,0.567,0.342,4.822,7.466,11.462,2.318,17.668,0.243,0.02,0.073,0.615
0.915,0.165,0.284,1.815,9.117,24.215,2.708,23.258,0.21,0.018,0.059,0.638
0.782,0.124,0.222,1.533,10.299,26.591,3.051,25.304,0.202,0.013,0.082,0.623
0.671,0.092,0.18,1.304,11.125,45.659,3.088,33.822,0.213,0.022,0.049,0.634
0.601,0.082,0.16,1.361,10.457,28.046,2.962,23.839,0.224,0.019,0.057,0.604
1.266,0.682,0.315,3.453,7.353,14.071,2.192,15.495,0.253,0.022,0.08,0.623
0.87,0.161,0.213,1.684,8.563,16.296,2.323,18.896,0.221,0.019,0.089,0.657
