TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.879,0.006,3.758,3.978,9.474,2.342,8.39,12.296,0.03,0.0,0.005,0.059
3.307,0.008,3.069,3.42,8.283,1.71,6.722,10.683,0.045,0.001,0.007,0.112
3.093,0.006,2.924,3.216,7.662,1.403,6.408,9.987,0.072,0.001,0.013,0.161
2.906,0.006,2.713,3.028,7.574,2.013,6.408,11.042,0.086,0.002,0.02,0.18
2.722,0.008,2.473,2.866,8.303,8.032,6.186,19.036,0.088,0.002,0.02,0.185
2.6,0.011,2.386,3.092,11.676,68.084,6.104,45.131,0.076,0.002,0.01,0.171
3.274,1.005,2.283,7.807,12.007,124.979,6.609,66.622,0.059,0.001,0.0,0.127
2.844,0.104,2.159,3.861,12.697,137.97,6.327,57.771,0.066,0.001,0.019,0.164
2.669,0.061,2.057,3.213,15.233,230.662,6.065,63.204,0.066,0.001,0.019,0.171
2.523,0.05,1.962,2.981,15.378,178.777,6.121,66.045,0.057,0.001,0.01,0.145
2.515,0.449,1.862,6.821,17.308,159.132,6.988,58.12,0.048,0.001,0.0,0.099
2.928,0.67,1.908,6.821,12.6,112.084,6.392,55.686,0.063,0.001,0.0,0.176
2.61,0.114,1.803,3.623,14.014,126.167,6.223,58.919,0.056,0.001,0.015,0.158
2.439,0.076,1.711,3.091,18.005,153.374,7.819,65.396,0.045,0.0,0.007,0.118
2.321,0.066,1.648,2.903,23.663,292.16,8.45,93.181,0.044,0.001,0.005,0.141
2.206,0.059,1.568,2.743,25.102,143.458,9.671,53.251,0.042,0.001,0.005,0.125
2.603,0.769,1.573,7.89,25.65,283.317,7.634,100.236,0.039,0.0,0.0,0.087
2.361,0.197,1.509,4.438,25.859,173.134,9.135,71.732,0.037,0.0,0.008,0.073
2.216,0.108,1.458,3.113,29.123,200.303,9.7,77.018,0.039,0.0,0.008,0.084
2.087,0.084,1.394,2.73,29.843,207.153,10.182,70.332,0.037,0.0,0.008,0.083
2.0,0.078,1.33,2.527,32.012,274.905,13.251,84.278,0.036,0.0,0.01,0.078
2.189,0.096,1.276,2.666,27.56,173.164,12.113,72.232,0.041,0.0,0.01,0.11
2.044,0.076,1.232,2.421,28.109,240.236,8.646,73.497,0.039,0.0,0.011,0.117
1.947,0.067,1.181,2.3,29.189,207.991,8.743,74.269,0.042,0.0,0.013,0.103
1.855,0.06,1.134,2.188,31.7,179.717,10.936,78.457,0.038,0.0,0.01,0.087
1.787,0.063,1.09,2.314,29.719,184.126,10.516,59.87,0.04,0.001,0.005,0.125
1.941,0.102,1.04,2.488,25.48,98.244,11.017,51.199,0.043,0.001,0.007,0.125
1.825,0.084,0.991,2.223,28.182,226.925,9.859,85.351,0.041,0.0,0.005,0.098
1.718,0.068,0.954,2.122,29.529,208.975,11.451,80.554,0.044,0.0,0.013,0.088
1.641,0.063,0.912,2.018,30.747,229.73,9.633,76.839,0.044,0.001,0.01,0.171
1.563,0.058,0.87,1.919,30.722,212.702,9.819,77.745,0.043,0.001,0.007,0.167
1.741,0.128,0.847,2.441,26.746,165.513,10.186,60.235,0.045,0.001,0.005,0.103
1.634,0.102,0.799,2.28,29.761,244.082,10.528,78.757,0.042,0.0,0.005,0.103
1.548,0.09,0.764,2.149,29.768,272.513,10.055,87.166,0.047,0.001,0.015,0.125
1.46,0.077,0.728,2.013,29.669,233.484,9.265,81.759,0.045,0.0,0.013,0.111
1.399,0.075,0.697,1.959,28.733,202.544,7.448,81.759,0.052,0.001,0.005,0.148
1.584,0.163,0.679,2.421,25.909,186.222,8.117,59.901,0.052,0.001,0.005,0.167
1.461,0.126,0.623,2.236,26.617,178.376,9.404,62.448,0.052,0.001,0.019,0.175
1.385,0.11,0.6,2.102,27.978,176.949,9.836,59.721,0.053,0.001,0.02,0.148
1.314,0.098,0.573,2.007,27.033,180.307,8.219,69.318,0.054,0.001,0.005,0.19
1.302,0.13,0.544,2.373,28.24,221.114,6.841,73.303,0.052,0.001,0.007,0.16
1.507,0.161,0.523,2.373,23.814,127.116,6.841,62.092,0.058,0.001,0.005,0.167
1.388,0.129,0.496,2.161,25.024,167.202,6.551,57.648,0.063,0.002,0.015,0.202
1.297,0.109,0.479,2.002,24.746,214.541,8.324,70.688,0.061,0.002,0.007,0.217
1.23,0.096,0.458,1.874,25.157,190.345,8.84,67.154,0.065,0.002,0.02,0.221
1.165,0.085,0.427,1.772,25.586,134.114,6.345,55.524,0.062,0.002,0.005,0.191
1.484,0.178,0.455,2.25,21.72,143.246,7.456,63.294,0.078,0.004,0.01,0.255
1.372,0.145,0.426,2.021,23.042,123.745,7.443,49.372,0.079,0.005,0.005,0.289
1.285,0.125,0.402,1.89,22.511,154.422,7.791,61.846,0.082,0.004,0.015,0.236
1.2,0.111,0.391,1.78,24.588,231.464,7.811,85.256,0.079,0.004,0.02,0.259
1.15,0.107,0.371,1.776,25.183,273.744,7.368,85.256,0.087,0.006,0.015,0.302
1.694,1.034,0.351,5.899,23.471,327.443,7.562,98.708,0.086,0.005,0.02,0.285
1.439,0.338,0.336,3.123,23.255,327.246,7.658,86.276,0.096,0.007,0.02,0.319
1.335,0.263,0.321,2.696,23.081,239.229,6.421,76.229,0.094,0.007,0.007,0.304
1.25,0.22,0.299,2.427,24.092,235.211,6.764,57.35,0.093,0.008,0.007,0.3
1.207,0.216,0.293,2.231,23.155,207.39,7.182,60.599,0.098,0.007,0.02,0.281
1.581,0.404,0.379,3.108,21.292,220.087,6.998,83.81,0.099,0.006,0.02,0.331
1.416,0.288,0.347,2.559,20.843,334.669,6.625,98.067,0.109,0.008,0.02,0.347
1.306,0.241,0.332,2.284,19.727,191.571,5.827,79.538,0.111,0.008,0.007,0.323
1.226,0.21,0.305,2.11,20.248,192.628,5.959,85.701,0.108,0.009,0.02,0.309
1.155,0.185,0.291,1.954,18.581,138.213,6.234,62.609,0.119,0.01,0.007,0.338
1.614,0.804,0.275,6.073,19.053,213.791,6.56,95.699,0.109,0.009,0.02,0.342
1.412,0.352,0.258,3.145,18.817,198.699,6.689,92.652,0.117,0.01,0.02,0.365
1.303,0.285,0.238,2.689,18.583,129.035,6.582,52.497,0.117,0.009,0.026,0.323
1.209,0.244,0.223,2.41,18.694,146.336,6.644,66.66,0.12,0.01,0.02,0.336
1.15,0.22,0.212,2.223,18.47,120.974,6.771,56.997,0.119,0.01,0.02,0.346
1.753,1.187,0.207,6.804,15.16,131.533,6.42,75.576,0.129,0.013,0.0,0.357
1.457,0.338,0.189,3.197,15.032,97.206,6.25,66.969,0.13,0.011,0.026,0.361
1.348,0.271,0.177,2.815,15.652,144.439,5.703,69.623,0.139,0.012,0.02,0.365
1.256,0.23,0.163,2.561,14.555,87.81,5.326,51.339,0.145,0.011,0.026,0.346
1.221,0.205,0.152,2.353,15.155,154.275,5.197,82.501,0.152,0.012,0.026,0.35
1.961,1.599,0.642,7.282,13.654,177.683,5.088,93.166,0.144,0.013,0.0,0.376
1.589,0.372,0.59,3.342,13.011,116.732,5.205,68.119,0.166,0.012,0.026,0.365
1.44,0.276,0.553,2.78,14.652,156.163,5.534,74.56,0.151,0.012,0.02,0.365
1.342,0.227,0.527,2.451,14.443,184.812,5.204,90.114,0.155,0.011,0.026,0.351
1.253,0.193,0.476,2.206,12.364,75.103,4.944,37.906,0.177,0.01,0.026,0.361
1.947,1.445,0.434,5.715,11.656,49.365,5.53,35.241,0.159,0.012,0.013,0.354
1.603,0.422,0.435,3.21,12.799,116.662,5.003,56.943,0.171,0.012,0.02,0.38
1.46,0.316,0.388,2.809,11.864,107.552,5.28,65.809,0.182,0.01,0.026,0.373
1.34,0.249,0.359,2.522,11.923,85.028,4.945,52.622,0.183,0.011,0.026,0.335
