TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
2.602,0.058,2.263,3.017,6.874,2.032,4.063,8.569,0.146,0.003,0.049,0.303
1.727,0.045,1.362,2.16,4.81,1.251,2.499,6.895,0.222,0.006,0.078,0.387
1.463,0.047,1.143,1.846,4.004,0.621,2.336,5.732,0.321,0.014,0.09,0.526
1.268,0.043,0.981,1.618,3.652,0.787,2.29,6.586,0.389,0.01,0.189,0.57
1.093,0.034,0.729,1.416,4.084,4.721,2.033,11.487,0.391,0.012,0.14,0.606
0.991,0.054,0.729,2.135,5.668,28.968,1.907,29.405,0.351,0.016,0.083,0.576
2.101,0.684,1.075,4.132,4.606,4.757,2.321,15.906,0.313,0.019,0.049,0.61
1.435,0.108,0.806,2.155,5.849,19.602,2.066,23.59,0.28,0.009,0.049,0.503
1.231,0.075,0.769,1.77,7.21,25.799,1.97,20.427,0.261,0.012,0.091,0.491
1.073,0.059,0.643,1.537,9.221,71.089,1.956,50.761,0.24,0.013,0.064,0.497
1.099,0.368,0.544,3.56,10.774,118.739,1.915,64.194,0.243,0.015,0.048,0.505
2.29,2.651,0.66,7.316,6.263,40.704,2.23,44.357,0.278,0.015,0.0,0.526
1.382,0.259,0.58,2.525,6.976,32.618,1.968,30.142,0.26,0.008,0.068,0.452
1.147,0.163,0.442,2.058,8.045,33.784,2.018,27.941,0.231,0.01,0.064,0.522
1.006,0.126,0.442,1.776,9.258,32.596,2.018,30.554,0.206,0.01,0.077,0.48
0.88,0.099,0.389,1.576,9.555,24.802,2.374,26.465,0.202,0.011,0.055,0.5
1.648,0.801,0.55,5.007,5.782,11.156,2.106,19.334,0.266,0.01,0.079,0.537
1.196,0.18,0.476,2.254,6.692,13.39,1.931,17.498,0.246,0.011,0.074,0.493
1.024,0.132,0.407,1.881,7.343,14.253,2.329,20.192,0.217,0.012,0.045,0.485
0.873,0.093,0.337,1.46,8.781,21.099,3.009,24.168,0.205,0.012,0.033,0.446
0.77,0.076,0.295,1.46,9.779,23.552,4.345,24.168,0.18,0.01,0.033,0.466
1.407,0.46,0.235,3.538,5.878,4.883,2.077,12.507,0.251,0.013,0.066,0.602
1.037,0.155,0.205,1.937,7.611,12.575,2.567,21.979,0.207,0.009,0.067,0.606
0.89,0.11,0.186,1.631,8.376,12.963,3.196,19.87,0.193,0.008,0.074,0.398
0.766,0.084,0.142,1.403,8.086,17.204,3.032,23.354,0.218,0.015,0.082,0.633
0.732,0.122,0.126,1.929,7.816,15.571,2.934,20.019,0.236,0.016,0.067,0.613
1.304,0.66,0.495,4.034,5.516,5.482,2.378,13.566,0.283,0.015,0.074,0.569
0.953,0.147,0.382,2.059,6.295,11.654,2.336,19.978,0.264,0.013,0.072,0.567
0.789,0.101,0.322,1.69,6.212,9.768,2.679,17.199,0.268,0.016,0.066,0.563
0.686,0.076,0.251,1.437,7.032,13.194,2.5,18.159,0.256,0.016,0.072,0.599
0.592,0.058,0.207,1.251,7.428,15.614,2.685,19.725,0.253,0.018,0.055,0.615
1.274,0.94,0.389,5.292,5.343,5.762,2.268,13.469,0.296,0.016,0.067,0.622
0.884,0.176,0.297,2.033,6.067,8.449,1.83,13.734,0.27,0.016,0.074,0.563
0.735,0.116,0.212,1.679,6.779,11.07,1.884,16.188,0.259,0.016,0.067,0.558
0.614,0.088,0.176,1.429,6.565,10.395,2.159,19.009,0.26,0.016,0.072,0.673
0.543,0.07,0.133,1.244,6.597,8.926,2.095,15.225,0.275,0.014,0.057,0.604
1.486,0.885,0.291,4.406,4.463,4.648,2.1,12.789,0.35,0.016,0.083,0.581
0.961,0.201,0.21,1.816,5.908,18.429,1.902,22.605,0.301,0.017,0.067,0.656
0.803,0.148,0.156,1.583,5.461,12.91,2.041,20.37,0.332,0.023,0.067,0.664
0.676,0.105,0.139,1.278,5.622,9.248,1.978,13.4,0.307,0.022,0.078,0.664
0.641,0.137,0.129,2.179,6.039,12.243,2.074,19.561,0.303,0.017,0.072,0.656
1.184,0.288,0.261,2.61,4.222,4.066,1.863,11.128,0.388,0.02,0.083,0.656
0.882,0.144,0.175,1.586,5.034,7.326,1.973,13.719,0.327,0.019,0.067,0.634
0.715,0.099,0.13,1.277,4.968,5.485,2.012,13.242,0.331,0.02,0.072,0.675
0.611,0.075,0.099,1.091,5.375,10.579,1.923,19.628,0.327,0.023,0.083,0.704
0.517,0.055,0.082,0.949,5.572,13.236,2.007,21.65,0.328,0.023,0.067,0.647
1.151,0.348,0.22,2.863,3.814,2.183,1.812,8.417,0.415,0.02,0.083,0.673
0.856,0.157,0.13,1.542,4.06,2.347,1.83,7.312,0.384,0.022,0.111,0.681
0.706,0.11,0.109,1.19,4.316,3.828,2.042,10.531,0.373,0.024,0.072,0.665
0.583,0.078,0.088,1.033,4.435,3.136,2.21,11.152,0.352,0.025,0.072,0.67
0.514,0.07,0.069,1.335,5.219,7.284,2.083,14.938,0.333,0.031,0.066,0.68
1.182,0.393,0.188,2.83,3.515,1.448,1.766,7.43,0.444,0.018,0.155,0.71
0.828,0.158,0.109,1.559,4.021,3.124,1.796,11.009,0.403,0.024,0.072,0.668
0.685,0.106,0.101,1.221,4.182,3.521,1.796,13.71,0.377,0.027,0.089,0.674
0.574,0.076,0.082,1.012,3.998,2.299,1.691,12.611,0.396,0.026,0.072,0.693
0.579,0.2,0.073,2.279,4.102,4.071,1.592,11.868,0.404,0.029,0.078,0.675
1.195,0.452,0.161,2.805,3.343,1.004,1.592,7.407,0.466,0.019,0.122,0.71
0.845,0.184,0.091,1.595,3.724,2.405,1.92,9.146,0.424,0.026,0.083,0.704
0.672,0.115,0.069,1.23,3.862,2.236,1.751,8.242,0.409,0.027,0.1,0.7
0.566,0.084,0.057,0.998,3.949,3.12,2.103,12.48,0.41,0.03,0.072,0.678
0.477,0.06,0.047,0.841,4.279,7.714,1.917,15.607,0.417,0.035,0.067,0.693
1.071,0.293,0.131,2.031,3.264,1.499,1.824,8.864,0.475,0.019,0.072,0.7
0.797,0.156,0.07,1.39,3.731,3.523,1.836,11.421,0.431,0.027,0.072,0.684
0.65,0.109,0.054,1.129,3.337,0.959,1.792,6.322,0.462,0.024,0.094,0.691
0.526,0.071,0.051,0.928,3.777,3.167,1.77,10.068,0.44,0.033,0.089,0.693
0.464,0.073,0.04,1.449,3.902,3.452,1.915,11.465,0.435,0.031,0.072,0.675
1.144,0.367,0.101,2.229,3.29,0.975,1.716,7.009,0.479,0.02,0.133,0.684
0.788,0.157,0.063,1.511,3.351,1.4,1.669,7.46,0.468,0.021,0.161,0.703
0.64,0.104,0.046,1.209,3.573,2.29,1.557,10.877,0.449,0.026,0.072,0.696
0.533,0.075,0.036,0.948,3.643,2.831,1.783,10.125,0.449,0.03,0.072,0.711
0.517,0.131,0.028,1.642,3.851,5.852,1.466,15.564,0.464,0.028,0.072,0.7
1.116,0.422,0.087,2.936,3.154,0.967,1.777,7.061,0.497,0.018,0.117,0.711
0.784,0.18,0.053,1.879,3.295,1.079,1.872,6.363,0.472,0.023,0.161,0.699
0.617,0.112,0.037,1.411,3.388,1.897,1.861,9.696,0.483,0.025,0.111,0.717
0.511,0.074,0.022,1.063,3.516,2.357,1.703,9.832,0.473,0.028,0.089,0.7
0.425,0.054,0.021,0.882,3.605,2.658,1.728,9.634,0.468,0.03,0.123,0.69
1.114,0.433,0.077,2.95,3.133,1.279,1.666,7.922,0.522,0.016,0.083,0.7
0.786,0.18,0.038,1.798,3.205,1.616,1.666,7.922,0.502,0.022,0.083,0.71
0.625,0.113,0.033,1.347,3.122,1.055,1.566,6.067,0.505,0.024,0.189,0.725
0.504,0.075,0.022,1.055,3.375,1.845,1.529,7.658,0.496,0.021,0.122,0.678
